Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Hellen OBIRI,1617.1523686864673,17,2019,KEN,13-Dec-89
Sifan HASSAN,1556.320079109681,8,2019,NED,1-Jan-93
Margaret Chelimo KIPKEMBOI,1543.1470750579265,12,2019,KEN,9-Feb-93
Agnes Jebet TIROP,1538.5133566120555,11,2019,KEN,23-Oct-95
Almaz AYANA,1533.2890560374144,17,2017,ETH,21-Nov-91
Genzebe DIBABA,1526.9777495575474,17,2018,ETH,8-Feb-91
Konstanze KLOSTERHALFEN,1526.7484684815124,4,2019,GER,18-Feb-97
Vivian Jepkemoi CHERUIYOT,1524.524185410027,19,2016,KEN,11-Sep-83
Senbere TEFERI,1520.1538275649777,16,2018,ETH,3-May-95
Letesenbet GIDEY,1519.4916470526682,11,2019,ETH,20-Mar-98
Tsehay GEMECHU,1516.9828869301573,2,2019,ETH,12-Dec-98
Lilian Kasait RENGERUK,1516.1361326159192,8,2019,KEN,3-May-97
Fantu WORKU,1514.3057962130865,4,2019,ETH,29-Mar-99
Mercy CHERONO,1512.7686969260487,29,2016,KEN,7-May-91
Viola Jelagat KIBIWOT,1508.460106659751,25,2016,KEN,22-Dec-83
Meseret DEFAR,1506.9031926694324,14,2013,ETH,19-Nov-83
Laura WEIGHTMAN,1505.4925559777712,3,2019,GBR,1-Jul-91
Laura MUIR,1504.4058217005734,2,2017,GBR,9-May-93
Tirunesh DIBABA,1504.2864037405002,9,2013,ETH,1-Oct-85
Sheila Chepkirui KIPROTICH,1503.4916782928224,2,2017,KEN,27-Dec-90
Shannon ROWBURY,1502.7151446911425,7,2017,USA,19-Sep-84
Janet KISA,1502.4581262960744,9,2016,KEN,5-Dec-92
Gudaf TSEGAY,1501.5130715446098,1,2018,ETH,23-Jan-97
Susan KRUMINS,1501.5080150561757,12,2017,NED,8-Jul-86
Faith KIPYEGON,1501.1992942254137,2,2015,KEN,10-Jan-94
Hawi FEYSA,1501.1983526908034,2,2019,ETH,1-Feb-99
Sentayehu EJIGU,1500.73945941799,11,2011,ETH,28-Jun-85
Sally KIPYEGO,1500.6931880137558,13,2016,KEN,19-Dec-85
Linet Chepkwemoi MASAI,1500.4679366936894,10,2013,KEN,5-Dec-89
Beatrice CHEBET,1500.451882015298,1,2019,KEN,5-Mar-00
Shelby HOULIHAN,1500.3637766143502,4,2017,USA,8-Feb-93
Margaret Wangari MURIUKI,1500.3232711696485,8,2013,KEN,21-Mar-86
Emily CHEBET,1500.2846759089016,1,2013,KEN,18-Feb-86
Lauren FLESHMAN,1500.2724088340656,6,2011,USA,26-Sep-81
Buze DIRIBA,1500.270837315469,8,2013,ETH,9-Feb-94
Olga KUNGINA,1500.2343711444864,2,2012,RUS,17-Dec-86
Gladys CHERONO,1500.1399271209268,1,2013,KEN,12-May-83
Tejitu DABA,1500.1178148916733,6,2013,BRN,20-Aug-91
