Athlete,Rating,Number Of Races
Younéss ESSALHI,1499.670583196766,1
Timothy TOROITICH,1499.6677227209184,1
Rinas AKHMADEYEV,1499.6526682801018,1
Alistair Ian CRAGG,1499.6281735758853,8
Yitayal Atnafu ZERIHUN,1499.613361985501,4
Nixon Kiplimo CHEPSEBA,1499.6036325449054,1
Diego ESTRADA,1499.598987614703,2
Birhan NEBEBEW,1499.5987983155414,2
Goitom KIFLE,1499.5984404071064,2
Phillip KIPYEKO,1499.5953545626257,3
Tsegay TUEMAY,1499.5740444810358,1
Emmanuel KIPSANG,1499.5611670811604,2
Elroy GELANT,1499.5446974784554,7
Grevazio MPANI,1499.5301569415033,1
Yuki SATO,1499.4777451564803,4
Dejene DEBELA,1499.4555912417031,1
Jake ROBERTSON,1499.454701001298,3
Jonathan MELLOR,1499.447669874316,2
Youssouf HISS BACHIR,1499.443737058443,1
Zersenay TADESE,1499.427686242209,1
Dennis LICHT,1499.4179948952683,1
Luke CALDWELL,1499.3954724784348,1
Leonard BARSOTON,1499.3834627022636,1
Alemayehu BEZABEH,1499.383126483956,3
Chris THOMPSON,1499.3712154613115,6
David TORRENCE,1499.337704389529,2
Namakoe NKHASI,1499.335871689455,1
Aziz LAHBABI,1499.3337068800615,3
Yasin HAJI,1499.3318113708815,3
Zelalem BACHA,1499.317734339148,1
William Malel SITONIK,1499.2358053099274,1
Ross MILLINGTON,1499.211224453592,1
Kevin BATT,1499.1991598613345,1
Getaneh MOLLA,1499.195923866666,5
Yoann KOWAL,1499.1901716809862,1
Imane MERGA,1499.1790368436791,25
Juan Luis BARRIOS,1499.1711282722426,8
Felicien MUHITIRA,1499.1672670625687,1
Meresa KAHSAY,1499.1664210487054,1
Moses Ndiema KIPSIRO,1499.0911749983602,13
Tetsuya YOROIZAKA,1499.0636858928592,1
Victor ARAVENA PINCHEIRA,1499.0508392678066,1
David MCNEILL,1499.0455642806182,3
Hiskel TEWELDE,1499.020633249422,1
Jeroen D'HOEDT,1499.012223903043,1
Ali KAYA,1498.9963703770322,5
Nicholas Mboroto KOSIMBEI,1498.994678460187,1
Suleiman ABDILLE BORAI,1498.9879420813675,1
Olivier IRABARUTA,1498.968065577721,2
Leonard KORIR,1498.930683553895,2
Arne GABIUS,1498.92374559285,7
Jesús ESPANA,1498.922061863736,6
Ouassim OUMAIZ,1498.90194021252,2
Shadrack KIPCHIRCHIR,1498.8941151042848,1
Luc BRUCHET,1498.8886933291235,1
Charles MUNERIA,1498.8869272840948,1
Zane ROBERTSON,1498.8823980174939,6
Suguru OSAKO,1498.881741630758,2
Emanuel Giniki GISAMODA,1498.8570981718603,1
Adel MECHAAL,1498.8565269771038,1
Chala REGASA,1498.8544929049817,1
Stuart BANDA,1498.8156822284573,1
Hayle IBRAHIMOV,1498.793663503157,10
Rob MULLETT,1498.7854760801342,1
Abdessamad OUKHELFEN,1498.7695279823097,1
Awet Kibrab NFTALEM,1498.763435166436,1
Abdullah AL-QWABANI,1498.7632898965703,1
Samuel CHELANGA,1498.7538856037972,2
Stephen SAMBU,1498.7435563578263,2
Emmanuel BOR,1498.717533293789,1
Andy VERNON,1498.6917417454342,5
Djamal Abdi DIREH,1498.6911714610292,1
Morhad AMDOUNI,1498.595309241792,2
Lakshmanan GOVINDAN,1498.5856544098538,1
Hari Kumar RIMAL,1498.5539113846971,1
Cameron LEVINS,1498.467368303532,7
Dawit FIKADU,1498.4298405904606,1
Jimmy GRESSIER,1498.3624418280633,1
Kefasi CHITSALA,1498.3489006679847,1
Sylvester KIPCHIRCHIR,1498.3331527406663,1
Zouhaïr AWAD,1498.2858852685954,1
Kadar Omar ABDULLAHI,1498.2386885691888,1
Collis BIRMINGHAM,1498.219871256305,17
San NAING,1498.1755993916495,1
Andreas VOJTA,1498.1349746140081,1
Kemoy CAMPBELL,1498.1148102084508,5
Frederick Kipkosgei KIPTOO,1498.097604381257,2
Awet HABTE,1498.0871049670077,2
Morgan MCDONALD,1498.0781765928134,3
Ben TRUE,1498.0049092023582,25
Rosefelo SIOSI,1497.986641654723,1
Ronald KWEMOI,1497.9727692863394,1
Kota MURAYAMA,1497.9625415650817,2
Aweke AYALEW,1497.9353481901321,7
Per SVELA,1497.9268963600975,1
Dawit WOLDE,1497.9248292131065,2
Thomas FARRELL,1497.9122449862207,5
Sondre Nordstad MOEN,1497.911641558287,3
Bujie DUO,1497.8944172935664,2
Richard YATOR,1497.8597883532384,5
Riley MASTERS,1497.8306055776368,1
Romario LEITAO,1497.8099248810695,1
Bashir ABDI,1497.7714506112827,6
Ilias FIFA,1497.6567141921128,4
Tsegay KIDANU,1497.6136106439153,1
Chris DERRICK,1497.58909099038,5
Cyrus RUTTO,1497.5802117938179,4
David KULANG,1497.5516801061103,1
Antonio ABADÍA,1497.527710466877,4
Josphat Kiprono MENJO,1497.461261115892,1
Mogos TUEMAY,1497.4460849276347,1
Birhanu LEGESE,1497.427207052495,5
Suldan HASSAN,1497.3600331158407,1
Yohans KIFLE,1497.2736778542326,1
Sindre BURAAS,1497.2632225317652,9
Nibret MELAK,1496.9765882325087,2
Mohamed SAMBE,1496.9406532624464,1
Mohamed Daud MOHAMED,1496.625701320725,2
Bethwell BIRGEN,1496.576063489951,4
Eric JENKINS,1496.5403428995878,4
Abe GASHAHUN,1496.5373665151997,2
Elzan BIBIĆ,1496.3665792346374,1
Bouh IBRAHIM,1496.3301837080985,2
Ryan HILL,1496.3177392585317,14
Joel AYEKO,1496.3039863442434,1
Soufiane BOUCHIKHI,1496.21269453553,2
Said EL OTMANI,1496.0139245621322,2
Yemaneberhan CRIPPA,1495.9923283331846,4
Milkesa MENGESHA,1495.6544870402595,1
Hassan MEAD,1495.4887265870211,13
Aron KIFLE,1495.34610100779,8
Melesse BIRHAN,1495.267089685532,1
Nick WILLIS,1495.102264285229,2
Jonas RAESS,1495.058377218264,1
Patrick TIERNAN,1494.6545959892726,7
Jianhua PENG,1494.3918198078977,1
Brett ROBINSON,1494.314598174184,11
Alexander YEE,1494.2376690032106,2
Nick GOOLAB,1494.1877492227027,1
Sam MCENTEE,1493.8012999632476,3
Mathew Job CHEKWURUI,1493.7426705731268,1
Robin HENDRIX,1493.7262401755297,2
Jamal Abdelmaji EISA MOHAMMED,1493.2972737163443,1
Davis KIPLANGAT,1493.2021715071696,5
Ben CONNOR,1493.071894105167,2
Florian ORTH,1492.6076543486756,2
Mouhcine OUTALHA,1492.4238068828763,2
Paul Kipngetich TANUI,1492.1661693942583,11
Oscar CHELIMO,1492.0046106296936,2
Filip INGEBRIGTSEN,1491.8600960996564,3
Stewart MCSWEYN,1491.13873216009,8
Stephen KISSA,1491.0869758215358,5
Henrik INGEBRIGTSEN,1490.9885874115162,5
Braima Suncar DABÓ,1490.7893849985498,1
Sam PARSONS,1490.624315590466,2
Soufiyan BOUQANTAR,1490.1824670972892,10
Tachlowini GABRIYESOS,1490.0564724419385,1
Tariq Ahmed AL AMRI,1489.4492104501016,3
Marc SCOTT,1488.4638947466356,3
Julien WANDERS,1483.2202607486824,5
Richard RINGER,1482.969702787233,9
