Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Dayron ROBLES,1603.8987541038468,9,2011,CUB,19-Nov-86
Jason RICHARDSON,1597.2200851981975,17,2011,USA,4-Apr-86
David OLIVER,1581.4500578829359,18,2011,USA,24-Apr-82
Xiang LIU,1576.8284860958224,6,2011,CHN,13-Jul-83
Dwight THOMAS,1537.2163551540575,19,2011,JAM,23-Sep-80
Aries MERRITT,1527.3220097024514,12,2011,USA,24-Jul-85
Andrew TURNER,1516.4710793808408,17,2011,GBR,19-Sep-80
Ronald FORBES,1504.1749942668234,2,2011,CAY,5-Apr-85
Dimitri BASCOU,1504.140127033247,3,2011,FRA,20-Jul-87
Dongpeng SHI,1501.8553740956434,5,2011,CHN,6-Jan-84
Paulo César VILLAR,1501.7247127806884,2,2011,COL,28-Jul-78
Konstantinos DOUVALIDIS,1501.529524720675,1,2011,GRE,10-Mar-87
Erik BALNUWEIT,1499.2820496650318,1,2011,GER,21-Sep-88
Omoghan OSAGHAE,1498.0239203269043,2,2011,USA,18-May-88
Artur NOGA,1497.598694237218,1,2010,POL,2-May-88
Allen JOHNSON,1497.5457766625018,1,2010,USA,1-Mar-71
Ashton EATON,1496.943594762951,1,2011,USA,21-Jan-88
Christopher BAILLIE,1496.8615304080408,1,2010,GBR,21-Apr-81
Richard PHILLIPS,1496.5040164427144,2,2011,JAM,26-Jan-83
Antwon HICKS,1496.4959473168215,1,2010,USA,12-Mar-83
Petr SVOBODA,1495.676840935133,4,2010,CZE,10-Oct-84
Héctor COTTO,1495.4499451477368,1,2011,PUR,25-Apr-84
Philip NOSSMY,1495.4215148971907,1,2011,SWE,6-Dec-82
Damien BROOTHAERTS,1495.305010259064,1,2010,BEL,13-Mar-83
Yin JING,1495.2858924908078,1,2010,CHN,23-May-88
Gianni FRANKIS,1495.256256615678,1,2011,GBR,16-Apr-88
Garfield DARIEN,1494.669940454241,5,2011,FRA,22-Dec-87
Dániel KISS,1494.041131517469,1,2011,HUN,12-Feb-82
Joel BROWN,1493.6514273211046,11,2011,USA,31-Jan-80
Bano TRAORE,1493.6269749766097,1,2010,FRA,25-Apr-85
Fan JIANG,1493.5920196321472,2,2011,CHN,16-Sep-89
Mike VAN KRUCHTEN,1493.3453740243765,1,2010,NED,7-Apr-87
Dayron CAPETILLO,1493.2654856895074,1,2010,CUB,11-Sep-87
Wei JI,1493.2125039702232,1,2010,CHN,5-Feb-84
David PAYNE,1492.9530807880442,4,2010,USA,24-Jul-82
Helge SCHWARZER,1492.8674314865834,1,2010,GER,26-Nov-85
Emanuele ABATE,1492.8004548837703,1,2011,ITA,8-Jul-85
Tyron AKINS,1492.1959822262338,7,2011,USA,6-Jan-86
Wenjun XIE,1491.674626836782,2,2011,CHN,11-Jul-90
John YARBROUGH,1491.4846268587626,2,2010,USA,16-Aug-85
Kevin CRADDOCK,1490.3103610965973,3,2011,USA,25-Jun-87
Ronnie ASH,1490.1236631433692,4,2011,USA,2-Jul-88
Willi MATHISZIK,1489.9923228215812,2,2011,GER,17-Jun-84
Lawrence CLARKE,1489.6631872374655,3,2011,GBR,12-Mar-90
Tasuku TANONAKA,1489.581692171172,1,2011,JPN,23-Sep-78
Terrence TRAMMELL,1489.5630128189846,1,2011,USA,23-Nov-78
Jeff PORTER,1489.0298741380702,1,2011,USA,27-Nov-85
Lehann FOURIE,1488.9102661858988,1,2011,RSA,16-Feb-87
Athmane HADJ LAZIB,1488.7148188123429,1,2011,ALG,10-May-83
Ryan WILSON,1488.4726856427183,12,2011,USA,19-Dec-80
Dominik BOCHENEK,1487.759800738721,1,2011,POL,14-May-87
Andrew RILEY,1487.1730907578144,2,2011,JAM,6-Sep-88
Sergey SHUBENKOV,1484.2140319251025,2,2011,RUS,4-Oct-90
Alexander JOHN,1483.886146675552,2,2011,GER,3-May-86
Tae-kyong PARK,1483.3942071462275,1,2011,KOR,30-Jul-80
Ryan BRATHWAITE,1482.9942408116776,4,2011,BAR,6-Jun-88
Kim Fai IONG,1482.9867445579184,1,2011,MAC,12-Jan-89
Andreas KUNDERT,1482.895208604559,2,2011,SUI,1-Oct-84
Ahmad HAZER,1482.329686556642,1,2011,LBN,4-Sep-89
William SHARMAN,1482.1077108874206,11,2011,GBR,12-Sep-84
Dominic BERGER,1480.775305037877,2,2011,USA,19-May-86
Balázs BAJI,1476.2583309834076,2,2011,HUN,9-Jun-89
