Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
David GREENE,1608.9265916531565,13,2011,GBR,11-Apr-86
Javier CULSON,1596.265231862697,14,2011,PUR,25-Jul-84
Bershawn JACKSON,1562.60818911989,15,2011,USA,8-May-83
LJ VAN ZYL,1545.609796116061,12,2011,RSA,20-Jul-85
Angelo TAYLOR,1534.606564912464,10,2011,USA,29-Dec-78
Cornel FREDERICKS,1515.3794948201507,7,2011,RSA,3-Mar-90
Leford GREEN,1508.841298380907,2,2011,JAM,14-Nov-86
Jeshua ANDERSON,1505.2175533807358,3,2011,USA,22-Jun-89
Félix SÁNCHEZ,1504.835125816087,11,2011,DOM,30-Aug-77
Jack GREEN,1501.1614740007712,4,2011,GBR,6-Oct-91
Stanislav MELNYIKOV,1498.6692779662442,2,2011,UKR,26-Feb-87
Nathan WOODWARD,1498.2996537924973,2,2011,GBR,17-Oct-89
Andrés Byron SILVA,1497.3613555037798,2,2011,URU,27-Mar-86
Jehue GORDON,1496.9395008909964,11,2011,TTO,15-Dec-91
Wen CHENG,1496.6410091753346,1,2011,CHN,6-Apr-89
Sébastien MAILLARD,1495.5407558279187,1,2010,FRA,2-May-81
Héni KECHI,1495.25092236709,1,2010,FRA,31-Aug-80
LaRon BENNETT,1495.1238057661762,1,2011,USA,25-Nov-82
Aleksandr DEREVYAGIN,1494.143070529728,4,2011,RUS,24-Mar-79
Zhilong LI,1493.8825849459881,1,2011,CHN,9-Mar-88
Nils DUERINCK,1493.748102547399,1,2010,BEL,20-Mar-84
Andreas TOTSÅS,1493.3486221846647,1,2010,NOR,1-Jul-81
Bandar Yahya AL SHARAKILI,1493.3453740243765,1,2010,KSA,6-Mar-87
Takayuki KISHIMOTO,1492.9436890688644,2,2011,JPN,6-May-90
Jorge PAULA,1492.6572693463459,1,2011,POR,8-Oct-84
Vincent Kiplangat KOSGEI,1492.652761189014,2,2011,KEN,11-Nov-85
Emir BEKRIĆ,1491.0874042077976,2,2011,SRB,14-Mar-91
Josef ROBERTSON,1490.5496071560192,2,2011,JAM,14-May-87
Kenneth MEDWOOD,1490.4053479046352,1,2011,BIZ,14-Dec-87
Yuta IMAZEKI,1489.5588811456796,1,2011,JPN,6-Nov-87
Justin GAYMON,1489.2720696937608,8,2011,USA,13-Dec-86
Michael BULTHEEL,1488.7312767404637,2,2011,BEL,30-Jun-86
Richard DAVENPORT,1488.2785942158948,1,2011,GBR,12-Sep-85
Richard YATES,1488.1948419887538,2,2011,GBR,26-Jan-86
Mahau SUGUIMATI,1488.1101897608632,2,2011,BRA,13-Nov-84
Rhys WILLIAMS,1487.546319993521,3,2011,GBR,27-Feb-84
Seung-yun LEE,1485.9206917314518,1,2011,KOR,28-Feb-89
Kerron CLEMENT,1485.320459484054,9,2011,USA,31-Oct-85
Jamele MASON,1484.8995953984167,1,2011,PUR,19-Oct-89
Takatoshi ABE,1484.811848578991,1,2011,JPN,12-Nov-91
Kurt Leone COUTO,1484.7598273417689,3,2011,MOZ,14-May-85
Georg FLEISCHHAUER,1484.477001235702,4,2011,GER,21-Oct-88
Jean Antonio VIEILLESSE,1484.2128693149687,1,2011,MRI,24-Jan-86
Michael TINSLEY,1484.1684903340692,8,2011,USA,21-Apr-84
Omar CISNEROS,1481.5034698228942,3,2011,CUB,19-Nov-89
Isa PHILLIPS,1480.2593614302477,9,2011,JAM,22-Apr-84
Johnny DUTCH,1463.932777330707,5,2011,USA,20-Jan-89
