Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Usain BOLT,1623.7032222449568,9,2011,JAM,21-Aug-86
Yohan BLAKE,1615.6026607433746,12,2011,JAM,26-Dec-89
Asafa POWELL,1600.0367634902486,14,2011,JAM,23-Nov-82
Tyson GAY,1558.8864046606463,8,2011,USA,9-Aug-82
Nesta CARTER,1547.664670410189,15,2011,JAM,11-Oct-85
Steve MULLINGS,1544.9852635532243,2,2011,JAM,29-Nov-82
Walter DIX,1538.3336639849615,6,2011,USA,31-Jan-86
Christophe LEMAITRE,1536.0264004932592,8,2011,FRA,11-Jun-90
Daniel BAILEY,1526.3577629376941,10,2011,ANT,9-Sep-86
Michael FRATER,1526.172989810781,14,2011,JAM,6-Oct-82
Kim COLLINS,1526.1054119622765,7,2011,SKN,5-Apr-76
Richard THOMPSON,1524.3016933146232,18,2011,TTO,7-Jun-85
Harry AIKINES-ARYEETEY,1507.3966277106288,6,2011,GBR,29-Aug-88
Jimmy VICAUT,1506.9612986231132,4,2011,FRA,27-Feb-92
Keston BLEDMAN,1506.1242077435297,7,2011,TTO,8-Mar-88
Dwain CHAMBERS,1504.8052859165973,1,2011,GBR,5-Apr-78
Justin GATLIN,1503.4514038737589,4,2011,USA,10-Feb-82
Jaysuma SAIDY NDURE,1502.0326655513973,13,2011,NOR,1-Jul-84
Ngonidzashe MAKUSHA,1502.0263113976785,2,2011,ZIM,11-Mar-87
Michael RODGERS,1501.8095746958672,9,2011,USA,24-Apr-85
Simon MAGAKWE,1501.629924987847,1,2011,RSA,14-May-86
Rytis SAKALAUSKAS,1500.0378657155193,1,2011,LTU,27-Jun-87
Wallace SPEARMON,1499.6430862475909,2,2010,USA,24-Dec-84
Suwaibou SANNEH,1498.6636707621647,1,2011,GAM,10-Mar-90
Darvis PATTON,1498.6095330963349,1,2011,USA,4-Dec-77
Ramon GITTENS,1498.2994919222583,1,2011,BAR,20-Jul-87
Ainsley WAUGH,1498.2059588139673,1,2010,JAM,17-Sep-81
Remaldo ROSE,1498.150523781455,1,2011,JAM,18-Nov-87
Lerone CLARKE,1497.6788878010855,7,2011,JAM,7-Jul-81
Jason SMYTH,1497.2741495073406,1,2011,IRL,4-Jul-87
Nick SMITH,1496.9929214105755,1,2010,GBR,6-Dec-82
Carlos Rafael JORGE,1496.9866574766472,1,2011,DOM,24-Sep-86
Nickel ASHMEADE,1496.9058158104328,1,2011,JAM,7-Apr-90
Omar Jouma Bilal AL SALFA,1496.8061076888878,1,2010,UAE,15-Oct-89
Shawn CRAWFORD,1496.8007884194585,1,2010,USA,14-Jan-78
Trell KIMMONS,1496.6291462292784,18,2011,USA,13-Jul-85
Brian DZINGAI,1496.5759010882111,1,2010,ZIM,29-Apr-81
Leroy DIXON,1496.433664660005,2,2010,USA,20-Jun-83
Emmanuel CALLENDER,1495.787102672621,1,2010,TTO,10-May-84
Dexter LEE,1495.7169720138975,1,2010,JAM,18-Jan-91
Brendan CHRISTIAN,1495.4057906279838,1,2010,ANT,11-Dec-83
Nilson Andre DE OLIVEIRA,1495.1913742861252,1,2011,BRA,30-Jan-86
Reto Amaru SCHENKEL,1495.168859801212,2,2011,SUI,28-Apr-88
Ryan BAILEY,1495.129281125406,3,2010,USA,13-Apr-89
Roberto DONATI,1494.6,1,2010,ITA,15-Mar-83
Dariusz KUĆ,1494.5204578376479,2,2011,POL,24-Apr-86
James ELLINGTON,1494.2753968570933,1,2011,GBR,6-Sep-85
Peimeng ZHANG,1494.2073094219136,1,2011,CHN,13-Mar-87
Simone COLLIO,1493.6781828678083,2,2010,ITA,27-Dec-79
Aaron ARMSTRONG,1493.5234061454357,2,2011,TTO,14-Oct-77
Yahya Hassan HABEEB,1493.3058160997589,1,2010,KSA,2-Apr-86
Tony DARKWAH,1493.2663057948098,1,2010,SWE,15-Jun-86
Tyron AKINS,1493.1531160660197,1,2010,USA,6-Jan-86
Ángel David RODRÍGUEZ,1493.1451453436184,2,2011,ESP,25-Apr-80
Junior EJEHU,1493.1088576501036,1,2010,GBR,1-Feb-91
Marek NIIT,1493.0532245955133,1,2011,EST,9-Aug-87
Francis OBIKWELU,1493.0195726779366,1,2011,POR,22-Nov-78
Philip Bjørnå BERNTSEN,1492.9868626595114,1,2010,NOR,13-Dec-89
Alexander NORDKVIST,1492.9584382517733,1,2010,SWE,15-Jun-90
J-Mee SAMUELS,1492.5808086308707,3,2011,USA,20-May-87
Felix GÖLTL,1492.551605762536,1,2011,GER,23-Mar-90
Ryan MOSELEY,1492.4669618041141,2,2010,AUT,8-Oct-82
Yi LAO,1492.2856077384595,1,2011,CHN,11-Oct-85
Ronalds ARAJS,1492.0225783804976,1,2011,LAT,29-Nov-87
Ben Youssef MEITÉ,1492.0144086895511,1,2011,CIV,11-Nov-86
Ronald POGNON,1491.7379482164997,2,2010,FRA,16-Nov-82
Ogho-Oghene EGWERO,1491.1941347576171,1,2011,NGR,26-Nov-88
Gabriel MVUMVURE,1490.9641411330624,1,2011,ZIM,23-Feb-88
Alvaro GOMEZ,1490.9032232538166,1,2011,COL,21-Feb-89
Mario FORSYTHE,1490.8827662192057,8,2011,JAM,30-Oct-85
Justyn WARNER,1489.4480989526728,2,2011,CAN,28-Jun-87
Pascal MANCINI,1489.3027014119912,1,2011,SUI,18-Apr-89
Shinji TAKAHIRA,1489.0522638316916,1,2011,JPN,18-Jul-84
Travis PADGETT,1488.9062820568527,7,2011,USA,13-Dec-86
Aziz ZAKARI,1488.6966878113242,1,2011,GHA,2-Sep-76
Tremayne GILLING,1488.4341711892394,2,2010,GBR,27-Jul-90
Abdourahim HAROUN,1488.3648408211589,1,2011,CHA,12-Apr-92
Rikki FIFTON,1488.1573329506612,1,2011,GBR,17-Jun-85
Gerard KOBEANE,1488.0597803171604,1,2011,BUR,24-Apr-88
Andrew HINDS,1488.0425058550363,3,2011,BAR,25-Apr-84
Peter EMELIEZE,1487.8721708393118,1,2011,NGR,19-Apr-88
Chi Ho TSUI,1487.7234324712065,1,2011,HKG,17-Feb-90
Ivory WILLIAMS,1487.6911085108072,2,2011,USA,2-May-85
Geronimo GOELOE,1487.3762187072155,1,2011,ARU,18-Nov-81
Keiron ROGERS,1487.18455735342,1,2011,AIA,8-Sep-88
Aziz OUHADI,1487.0316761394151,3,2011,MAR,24-Jul-84
Rae Monzavous EDWARDS,1486.8635969226066,6,2011,USA,7-May-81
Christian MALCOLM,1485.7850576106557,2,2011,GBR,3-Jun-79
Marlon DEVONISH,1485.3231019783211,9,2011,GBR,1-Jun-76
Moudjib TOYB,1483.4933027440416,1,2011,COM,14-Oct-88
Ee Foo YEO GARY,1483.0513891668727,1,2011,SGP,30-Aug-86
Jurgen THEMEN,1482.8327455789286,1,2011,SUR,26-Oct-85
Tilak Ram THARU,1482.7958639005,1,2011,NEP,10-Apr-93
Craig PICKERING,1482.741281144944,3,2011,GBR,16-Oct-86
Devilert Arsene KIMBEMBE,1482.3642916901954,1,2011,CGO,14-Sep-84
Mohd FADLIN,1482.2468356275467,1,2011,INA,28-Oct-89
Dmitriy ILYIN,1482.0825544671507,1,2011,KGZ,24-May-89
Gerald PHIRI,1481.4910702444681,2,2011,ZAM,6-Oct-88
Churandy MARTINA,1481.0492558214733,11,2011,AHO,3-Jul-84
Martial MBANDJOCK,1479.1437973209886,6,2011,FRA,14-Oct-85
Mark LEWIS-FRANCIS,1477.477990641852,6,2011,GBR,4-Sep-82
