Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Usain BOLT,1631.9035300443843,21,2015,JAM,21-Aug-86
Alonso EDWARD,1589.3615609564933,22,2015,PAN,8-Dec-89
Justin GATLIN,1586.0747883820782,7,2015,USA,10-Feb-82
Zharnel HUGHES,1567.1797845378067,6,2015,AIA,13-Jul-95
Anaso JOBODWANA,1556.3218695356068,15,2015,RSA,30-Jul-92
Warren WEIR,1548.943918796198,20,2015,JAM,31-Oct-89
Femi OGUNODE,1543.2277069997324,10,2015,QAT,15-May-91
Christophe LEMAITRE,1539.596386907665,20,2015,FRA,11-Jun-90
Nickel ASHMEADE,1529.8606105288322,30,2015,JAM,7-Apr-90
Lykourgos-Stefanos TSAKONAS,1526.756406838461,9,2015,GRE,8-Mar-90
Ramil GULIYEV,1524.3611359513775,4,2015,TUR,29-May-90
Walter DIX,1519.9898434185302,14,2013,USA,31-Jan-86
Miguel FRANCIS,1516.1260531422938,4,2015,ANT,28-Mar-95
Yancarlos MARTÍNEZ,1515.70770130467,2,2015,DOM,8-Jul-92
Churandy MARTINA,1514.8622478253446,34,2015,AHO,3-Jul-84
Yohan BLAKE,1513.8283804290763,8,2014,JAM,26-Dec-89
Jason YOUNG,1511.0329022544406,8,2013,JAM,21-Mar-91
Dedric DUKES,1510.3100427862005,1,2015,USA,4-Feb-92
Adam GEMILI,1509.4572911716596,4,2013,GBR,6-Oct-93
Abdul Hakim SANI BROWN,1508.3367136643778,2,2015,JPN,6-Mar-99
Roberto SKYERS,1507.9488687595845,3,2015,CUB,12-Nov-91
Wallace SPEARMON,1506.6194707186132,18,2014,USA,24-Dec-84
Rasheed DWYER,1506.1577499745633,14,2015,JAM,29-Jan-89
Jimmy VICAUT,1505.1923175071547,4,2013,FRA,27-Feb-92
Bruno Lins TENORIO DE BARROS,1502.7896203907449,7,2015,BRA,7-Jan-87
Alex QUIÑÓNEZ,1502.598327182918,5,2013,ECU,11-Aug-89
Tyson GAY,1502.0959295808825,3,2014,USA,9-Aug-82
Julian REUS,1501.9057884927145,1,2015,GER,29-Apr-88
Reynier MENA,1501.3321541013033,2,2015,CUB,21-Nov-96
Christian MALCOLM,1501.2331616410556,10,2012,GBR,3-Jun-79
Akani SIMBINE,1501.2034007635648,2,2015,RSA,21-Sep-93
Michael MATHIEU,1500.5930965356065,2,2012,BAH,24-Jun-84
Kamil KRYŃSKI,1500.5915205687304,2,2012,POL,12-May-87
Wilfried KOFFI HUA,1500.5211745761976,1,2015,CIV,12-Oct-87
Jared CONNAUGHTON,1500.441551925565,3,2012,CAN,20-Jul-85
Angelo TAYLOR,1500.4205269313939,2,2010,USA,29-Dec-78
Hitoshi SAITO,1500.2989612013967,2,2011,JPN,9-Oct-86
Winston GEORGE,1500.0883262735042,1,2013,GUY,19-May-87
Daniel Alfonso GRUESO,1500.0336762498973,1,2011,COL,30-Jul-85
Kim COLLINS,1499.8820332158205,3,2011,SKN,5-Apr-76
Michael HERRERA,1499.7786144448987,3,2012,CUB,5-Jun-85
Noah AKWU,1499.7530831457334,1,2012,NGR,23-Sep-90
Jason LIVERMORE,1499.7043543918385,3,2014,JAM,25-Apr-88
Steve MULLINGS,1499.6382908927035,2,2010,JAM,29-Nov-82
Ronald POGNON,1499.6374932506887,1,2010,FRA,16-Nov-82
Wayde VAN NIEKERK,1499.6197266689264,2,2015,RSA,15-Jul-92
Amr Ibrahim Mostafa SEOUD,1499.560374935128,3,2012,EGY,10-Jun-86
Andrew HOWE,1499.4819433927464,2,2014,ITA,12-May-85
Yuichi KOBAYASHI,1499.4805257614348,2,2013,JPN,25-Aug-89
Calvin SMITH,1499.4185003990447,1,2010,USA,10-Dec-87
Brendan CHRISTIAN,1499.392801548404,2,2012,ANT,11-Dec-83
Bruno HORTELANO-ROIG,1499.3896557609955,3,2013,ESP,18-Sep-91
Aaron ARMSTRONG,1499.383284214186,1,2010,TTO,14-Oct-77
Ben Youssef MEITÉ,1499.2458267227144,1,2011,CIV,11-Nov-86
Peimeng ZHANG,1499.2336720895423,2,2013,CHN,13-Mar-87
Brijesh LAWRENCE,1499.2124565621853,1,2011,SKN,27-Dec-89
Isaac MAKWALA,1499.1889243304108,1,2013,BOT,24-Sep-85
Pierre Alexis PESSONNEAUX,1499.169998999604,1,2011,FRA,25-Nov-87
Craig PICKERING,1499.1649966080417,1,2010,GBR,16-Oct-86
Lalonde GORDON,1499.1600265429922,2,2013,TTO,25-Nov-88
Rondel SORRILLO,1499.1537398220285,9,2012,TTO,21-Jan-86
Mingxuan LI,1499.1513305637873,1,2010,CHN,4-Mar-86
Chijindu UJAH,1499.1218310710096,1,2015,GBR,5-Mar-94
Kind BUTLER,1499.1195203129819,1,2013,USA,8-Apr-89
Jordan BOASE,1499.1048548783444,2,2011,USA,10-Oct-85
Teddy TINMAR,1499.0136806505093,1,2011,FRA,30-May-87
Marlon DEVONISH,1498.9856131613851,3,2010,GBR,1-Jun-76
Richard KILTY,1498.928936778033,2,2015,GBR,2-Sep-89
Lebogang MOENG,1498.9255355884097,1,2011,RSA,10-Oct-89
Thuso MPUANG,1498.7790487215593,1,2011,RSA,1-Mar-84
Nilson Andre DE OLIVEIRA,1498.7782676567451,1,2011,BRA,30-Jan-86
Pavel MASLÁK,1498.6951947251032,3,2012,CZE,21-Feb-91
Shinji TAKAHIRA,1498.6762162772288,5,2012,JPN,18-Jul-84
Rytis SAKALAUSKAS,1498.6727234186965,1,2011,LTU,27-Jun-87
Jonathan ÅSTRAND,1498.6615701267574,4,2012,FIN,9-Sep-85
Bryan BARNETT,1498.6216764819037,1,2011,CAN,10-Feb-87
Leroy DIXON,1498.5963426758235,1,2011,USA,20-Jun-83
Xavier CARTER,1498.5779968124275,7,2011,USA,8-Dec-85
Brian DZINGAI,1498.5666546498474,1,2011,ZIM,29-Apr-81
Leon BAPTISTE,1498.5629781548607,1,2011,GBR,23-May-85
Gabriel MVUMVURE,1498.4281020964406,1,2011,ZIM,23-Feb-88
Marc SCHNEEBERGER,1498.39071398336,3,2011,SUI,5-Jul-81
David BOLARINWA,1498.346847326894,1,2013,GBR,20-Oct-93
Sebastian ERNST,1498.32010334441,2,2011,GER,11-Oct-84
