Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Kaliese SPENCER,1635.8501809177092,26,2012,JAM,6-May-87
Lashinda DEMUS,1595.8332698273098,15,2012,USA,10-Mar-83
Natalya ANTYUKH,1572.9991020157695,17,2012,RUS,26-Jun-81
Perri SHAKES-DRAYTON,1566.0493586952684,14,2012,GBR,21-Dec-88
Zuzana HEJNOVÁ,1562.839754169495,20,2012,CZE,19-Dec-86
Melaine WALKER,1545.0547181172572,17,2012,JAM,1-Mar-83
T'erea BROWN,1524.8728411962363,9,2012,USA,24-Oct-89
Georganne MOLINE,1522.3439267361841,3,2012,USA,6-Mar-90
Anna RYZHYKOVA,1509.014155800914,7,2012,UKR,24-Nov-89
Vanya STAMBOLOVA,1507.7890331290832,4,2011,BUL,28-Nov-83
Anastasiya RABCHENYUK,1507.766353957094,5,2011,UKR,14-Sep-83
Denisa ROSOLOVÁ,1507.0555712334321,5,2012,CZE,21-Aug-86
Yelena CHURAKOVA,1500.6704693260015,6,2012,RUS,16-Dec-86
Ajoke ODUMOSU,1500.3173591514794,15,2012,NGR,27-Oct-87
Elodie OUÉDRAOGO,1499.3451117189338,6,2012,BEL,27-Feb-81
Hanna TITIMETS,1498.4943849836834,2,2011,UKR,5-Mar-89
Nagihan KARADERE,1498.3925360056114,1,2011,TUR,1-Jan-84
Xiaoxiao HUANG,1497.3798423215903,1,2012,CHN,3-Mar-83
Fawn DORR,1497.2457601908388,1,2010,USA,19-Apr-87
Qi YANG,1496.5179525301126,1,2011,CHN,13-Apr-91
Eglė STAISIUNAITĖ,1496.4652257514156,1,2012,LTU,30-Sep-88
Ebony COLLINS,1496.0782588034476,1,2010,USA,11-Mar-89
Birsen ENGIN,1495.8062631180403,1,2011,TUR,18-Oct-80
Hayat LAMBARKI,1495.6610488504973,3,2012,MAR,18-May-88
Irina KOLESNICHENKO,1495.5674222471157,5,2012,RUS,27-May-88
Queen HARRISON,1495.2280628858898,9,2012,USA,10-Sep-88
Stine TOMB,1495.1805968854196,1,2011,NOR,27-Jun-86
Christine SPENCE,1494.9839600481087,1,2011,USA,25-Nov-81
Sara Slott PETERSEN,1494.8368229377493,4,2012,DEN,9-Apr-87
Yevgeniya ISAKOVA,1494.3406861756039,2,2010,RUS,27-Nov-78
Amaliya SHAROYAN,1493.8138115823203,1,2011,ARM,19-Jun-88
Phara ANACHARSIS,1493.7254377864779,1,2011,FRA,17-Dec-83
Aurelie CHABOUDEZ,1493.2019646817744,1,2012,FRA,9-May-93
Wenda NEL,1493.092391898018,2,2011,RSA,30-Jul-88
Hanitrasoa Olga RAZANAMALALA,1493.0797025122115,1,2011,MAD,8-Sep-88
Lucy María JARAMILLO,1492.6978242636949,1,2012,ECU,23-Feb-83
Sheena JOHNSON-TOSTA,1492.1933097846745,6,2011,USA,1-Oct-82
Bimbo Miel AYEDOU,1491.4778140592011,1,2011,BEN,17-Aug-91
Fatima Sulaiman DAHMAN,1490.8907346541996,1,2011,YEM,10-Nov-92
Sarah-Lynn WELLS,1490.8393236099316,2,2012,CAN,10-Nov-89
Kyeong-mi SON,1490.725912564069,1,2011,KOR,9-Feb-90
Jessica AGUILERA,1490.4438302023277,1,2011,NCA,26-Jun-85
Nicole LEACH,1489.8835883738504,5,2012,USA,18-Jul-87
Tatyana AZAROVA,1489.401288736046,1,2012,KAZ,2-Dec-85
Stephenie Ann MCPHERSON,1489.3516524271254,1,2012,JAM,25-Nov-88
Eilidh DOYLE,1489.256365509832,10,2012,GBR,20-Feb-87
Nickiesha WILSON,1489.2321365510643,10,2012,JAM,28-Jul-86
Natalya ASANOVA,1488.833297184453,1,2012,UZB,29-Nov-89
Angela MOROŞANU,1488.7788243081804,5,2012,ROU,26-Jul-86
Raasin MCINTOSH,1488.691959518866,2,2012,USA,29-Apr-82
Jailma SALES DE LIMA,1486.9953129058486,2,2012,BRA,31-Dec-86
Janeil BELLILLE,1486.9602410413218,1,2012,TTO,18-Jun-89
Ristananna TRACEY,1486.8554319516115,6,2012,JAM,9-May-92
Dominique DARDEN,1486.6191456653564,4,2010,USA,9-Dec-83
Déborah RODRÍGUEZ,1485.618219715784,2,2012,URU,2-Dec-92
Sharolyn Shantell SCOTT,1485.369333313989,2,2012,CRC,27-Oct-83
Manuela GENTILI,1484.9837713925385,3,2012,ITA,7-Feb-78
Josanne LUCAS,1484.631872229571,5,2011,TTO,14-May-84
Princesa María OLIVEROS,1483.8107083640984,1,2012,COL,10-Aug-75
Tiffany WILLIAMS,1483.4902943540224,2,2012,USA,5-Feb-83
Anna JESIEŃ,1483.4689070623267,6,2012,POL,10-Dec-78
Maureen Jelagat MAIYO,1483.0760566041408,1,2012,KEN,28-May-85
Noraseela MOHD KHALID,1482.9934228741533,1,2012,MAS,27-Sep-79
Satomi KUBOKURA,1482.506742983262,6,2012,JPN,27-Apr-82
Lauren BODEN,1481.324537118212,7,2012,AUS,3-Aug-88
Jasmine HYDER,1481.295292938251,4,2012,USA,25-Aug-88
Christine Sonali MERRILL,1479.4786260810438,2,2012,SRI,20-Aug-87
Vera BARBOSA,1476.635400327652,5,2012,POR,13-Jan-89
Nikolina HORVAT,1474.2954831412035,3,2012,CRO,18-Sep-86
