Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Usain BOLT,1657.1833190451487,12,2012,JAM,21-Aug-86
Walter DIX,1583.9317632866441,12,2012,USA,31-Jan-86
Yohan BLAKE,1583.3145786360055,7,2012,JAM,26-Dec-89
Nickel ASHMEADE,1573.743800924232,9,2012,JAM,7-Apr-90
Churandy MARTINA,1553.053590451446,19,2012,AHO,3-Jul-84
Christophe LEMAITRE,1552.0882651585634,9,2012,FRA,11-Jun-90
Wallace SPEARMON,1546.5550590447242,13,2012,USA,24-Dec-84
Warren WEIR,1539.812428459546,8,2012,JAM,31-Oct-89
Alonso EDWARD,1521.714989576881,4,2011,PAN,8-Dec-89
Jason YOUNG,1519.3852915458758,3,2012,JAM,21-Mar-91
Jaysuma SAIDY NDURE,1517.2455100592824,17,2012,NOR,1-Jul-84
Andrew HOWE,1514.3567993464249,1,2011,ITA,12-May-85
Alex QUIÑÓNEZ,1513.4282553984347,3,2012,ECU,11-Aug-89
Aaron BROWN,1512.4362864811894,2,2012,CAN,27-May-92
Tyson GAY,1510.9035752394002,2,2010,USA,9-Aug-82
Maurice MITCHELL,1509.8269929193875,3,2012,USA,22-Dec-89
Bruno Lins TENORIO DE BARROS,1509.6915680632874,5,2012,BRA,7-Jan-87
Femi OGUNODE,1509.0914986302923,3,2011,QAT,15-May-91
Anaso JOBODWANA,1507.1862548836057,3,2012,RSA,30-Jul-92
Lykourgos-Stefanos TSAKONAS,1506.1936082909424,2,2012,GRE,8-Mar-90
Christian MALCOLM,1505.7090816715538,10,2012,GBR,3-Jun-79
Aldemir JUNIOR,1505.0722996181812,2,2012,BRA,8-Jun-92
Michael MATHIEU,1502.7458172944753,2,2012,BAH,24-Jun-84
Kamil KRYŃSKI,1502.7385211515302,2,2012,POL,12-May-87
Jared CONNAUGHTON,1502.0442218776157,3,2012,CAN,20-Jul-85
Angelo TAYLOR,1501.9468839416377,2,2010,USA,29-Dec-78
Hitoshi SAITO,1501.3840796360962,2,2011,JPN,9-Oct-86
Darvis PATTON,1500.2060839458768,4,2012,USA,4-Dec-77
Daniel Alfonso GRUESO,1500.1559085643394,1,2011,COL,30-Jul-85
Kim COLLINS,1499.45385748065,3,2011,SKN,5-Apr-76
Serhiy SMELYK,1499.3621946431504,1,2012,UKR,19-Apr-87
Michael HERRERA,1498.9750668745323,3,2012,CUB,5-Jun-85
Noah AKWU,1498.8568664154318,1,2012,NGR,23-Sep-90
Antoine ADAMS,1498.7915534758438,1,2012,SKN,31-Aug-88
Daniel TALBOT,1498.7210135388782,1,2012,GBR,1-May-91
Steve MULLINGS,1498.3254207995546,2,2010,JAM,29-Nov-82
Ronald POGNON,1498.3217280124495,1,2010,FRA,16-Nov-82
Amr Ibrahim Mostafa SEOUD,1497.9646987737403,3,2012,EGY,10-Jun-86
Ryan BAILEY,1497.6921674006107,6,2012,USA,13-Apr-89
Calvin SMITH,1497.3078722177984,1,2010,USA,10-Dec-87
Brendan CHRISTIAN,1497.1888960574265,2,2012,ANT,11-Dec-83
Peimeng ZHANG,1497.152737400148,1,2010,CHN,13-Mar-87
Diego MARANI,1497.1466756467244,1,2010,ITA,27-Apr-90
