Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Shelly-Ann FRASER-PRYCE,1595.4641554838763,30,2014,JAM,27-Dec-86
Tori BOWIE,1577.0469233615381,4,2014,USA,27-Aug-90
Veronica CAMPBELL-BROWN,1559.5999720548562,17,2014,JAM,15-May-82
Carmelita JETER,1554.256127304584,35,2014,USA,24-Nov-79
Blessing OKAGBARE-IGHOTEGUONOR,1552.9867909367586,32,2014,NGR,9-Oct-88
Kerron STEWART,1549.7282652473232,27,2014,JAM,16-Apr-84
Murielle AHOURÉ,1546.5581995675752,20,2014,CIV,23-Aug-87
Michelle-Lee AHYE,1522.0467710899154,7,2014,TTO,10-Apr-92
Myriam SOUMARE,1521.280143495559,18,2014,FRA,29-Oct-86
Kelly-Ann BAPTISTE,1520.3101936627158,18,2012,TTO,14-Oct-86
Ivet LALOVA-COLLIO,1516.751929565662,16,2013,BUL,18-May-84
Tianna BARTOLETTA,1515.9131122423837,9,2014,USA,30-Aug-85
Alexandria ANDERSON,1511.9707458687235,15,2014,USA,28-Jan-87
Ana Claudia LEMOS,1507.4045940819415,5,2013,BRA,6-Nov-88
Rosângela SANTOS,1507.3187012617832,4,2012,BRA,20-Dec-90
Marshevet HOOKER,1506.5246820213765,11,2013,USA,25-Sep-84
Allyson FELIX,1506.061794310121,10,2014,USA,18-Nov-85
LaVerne JONES-FERRETTE,1504.470023274715,3,2012,ISV,16-Sep-81
English GARDNER,1504.2556826867215,9,2014,USA,22-Apr-92
Simone FACEY,1504.2382386243648,1,2014,JAM,7-May-85
Aleen BAILEY,1503.8342736136683,13,2014,JAM,25-Nov-80
Patricia BUVAL,1502.5549512883485,1,2013,FRA,22-Jan-76
Sheniqua FERGUSON,1501.6307495446881,6,2013,BAH,24-Nov-89
Stella AKAKPO,1501.4413223451925,3,2014,FRA,28-Feb-94
Asha PHILIP,1501.1743846210736,6,2014,GBR,25-Oct-90
Octavious FREEMAN,1501.0787946527653,4,2014,USA,20-Apr-92
Olga BELKINA,1500.7528817136767,1,2012,RUS,23-Aug-90
Ángela Gabriela TENORIO,1500.6799823766469,1,2013,ECU,27-Jan-96
Nelky CASABONA,1500.5913178471937,1,2011,CUB,12-May-84
Lekeisha LAWSON,1500.4492742227885,4,2014,USA,3-Jun-87
Jura LEVY,1500.3294686472377,3,2011,JAM,4-Nov-90
Guzel KHUBBIEVA,1500.3081107335288,2,2012,UZB,2-May-76
Tameka WILLIAMS,1500.1089989908762,1,2012,SKN,31-Aug-89
Chandra STURRUP,1500.0347236817825,5,2010,BAH,12-Sep-71
Aleksandra FEDORIVA-SPAYER,1499.9199475224761,2,2011,RUS,13-Sep-88
Charonda WILLIAMS,1499.8861712339033,4,2013,USA,27-Mar-87
Leena GÜNTHER,1499.6021148337386,1,2011,GER,16-Apr-91
Me'Lisa BARBER,1499.5945939712287,1,2010,USA,4-Oct-80
Candyce MCGRONE,1499.5893828518797,2,2011,USA,24-Mar-89
Ashleigh NELSON,1499.2897926059363,3,2014,GBR,20-Feb-91
Céline BAUSIVOIR,1499.19739104657,1,2013,FRA,8-Sep-94
Yujia TAO,1498.999004746151,1,2010,CHN,16-Feb-87
Oludamola OSAYOMI,1498.9673230194821,4,2012,NGR,26-Jun-86
Consuella MOORE,1498.93435023842,1,2010,USA,29-Aug-81
Laura TURNER,1498.8844266466217,2,2011,GBR,12-Aug-82
Yasmin KWADWO,1498.8190186104275,2,2011,GER,9-Nov-90
Jeanette KWAKYE,1498.6305698145668,3,2011,GBR,20-Mar-83
Ruddy ZANG MILAMA,1498.6146526862062,7,2013,GAB,6-Jun-87
Mikele BARBER,1498.5676634157458,11,2013,USA,4-Oct-80
