Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
David RUDISHA,1659.4882357625086,11,2011,KEN,17-Dec-88
Abubaker KAKI,1599.2897431101,11,2011,SUD,21-Jun-89
Yuriy BORZAKOVSKIY,1537.45978103367,3,2011,RUS,12-Apr-81
Marcin LEWANDOWSKI,1534.4641266515011,11,2011,POL,13-Jun-87
Khadevis ROBINSON,1533.2639428299417,6,2011,USA,19-Jul-76
Nick SYMMONDS,1523.5303339083903,11,2011,USA,30-Dec-83
Asbel KIPROP,1521.242172597248,7,2011,KEN,30-Jun-89
Mbulaeni MULAUDZI,1519.3549341257908,8,2011,RSA,8-Sep-80
Adam KSZCZOT,1515.5381558759032,4,2011,POL,2-Sep-89
Kléberson DAVIDE,1513.2148773374734,2,2011,BRA,20-Jul-85
Mohammed AMAN,1510.8899447625063,4,2011,ETH,10-Jan-94
Rafith RODRÍGUEZ,1509.64510792812,2,2011,COL,1-Jun-89
Boaz Kiplagat LALANG,1507.9821101510279,8,2011,KEN,8-Feb-89
Amine LAALOU,1507.7390066720864,3,2011,MAR,13-May-82
Tamás KAZI,1505.3008880968205,2,2011,HUN,16-May-85
Andrew OSAGIE,1502.927074792834,3,2011,GBR,19-Feb-88
Jackson Mumbwa KIVUVA,1501.8718888084882,11,2011,KEN,11-Aug-89
Alfred Kirwa YEGO,1501.5629175039862,14,2011,KEN,28-Nov-86
Daniel NGHIPANDULWA,1500.9097998379243,1,2011,NAM,8-Jun-89
Mahfoud BRAHIMI,1500.3631774713685,2,2011,ALG,24-Feb-85
Darren ST. CLAIR,1500.0612141147556,1,2010,GBR,6-Apr-85
Mohammed Khalaf AL AZEMI,1499.9636908424457,2,2011,KUW,16-Jun-82
Andreas BUBE,1499.7414097621845,3,2011,DEN,13-Jul-87
Mouhcine EL AMINE,1498.9090194288347,1,2011,MAR,18-Jan-82
Yeimer LÓPEZ,1498.632505699567,1,2010,CUB,20-Aug-82
Kevin LÓPEZ,1498.342917281836,2,2011,ESP,12-Jun-90
Andrew WHEATING,1498.2266917927634,4,2011,USA,21-Nov-87
James SHANE,1497.7038367976193,1,2011,GBR,18-Dec-89
Charles JOCK,1497.3738101850226,1,2011,USA,23-Nov-89
David TORRENCE,1497.2484228738829,1,2010,USA,26-Nov-85
Leonel MANZANO,1497.2403225613882,1,2010,USA,12-Sep-84
Jacob HERNANDEZ,1496.3817515170954,1,2010,USA,8-Sep-85
Sadjad MORADI,1496.2455451348137,2,2011,IRI,30-Mar-83
Musaeb Abdulrahman BALLA,1496.209156488182,1,2010,QAT,19-Mar-89
David Mutinda MUTUA,1496.0309809981045,3,2011,KEN,20-Apr-92
Nick WILLIS,1495.8777954057668,1,2011,NZL,25-Apr-83
Thomas Arne ROTH,1495.336196536374,1,2010,NOR,11-Feb-91
Gilbert KIPCHOGE,1495.288452191749,1,2010,KEN,4-May-83
Rizak DIRSHE,1495.2516247205826,1,2010,SWE,5-Jan-72
Lutimar PAES,1495.0497736060852,1,2011,BRA,14-Dec-88
Abraham KIPLAGAT,1494.496135882523,2,2010,KEN,9-Aug-84
Mukhtar MOHAMMED,1494.451131259193,2,2011,GBR,1-Dec-90
Ashot HAYRAPETYAN,1493.739686474629,1,2011,ARM,13-Feb-86
Niall BROOKS,1493.6665702344894,1,2010,GBR,8-Jul-91
Christian SMITH,1493.4725043243689,1,2010,USA,31-Oct-83
Yusuf Saad KAMEL,1493.4595213307607,1,2010,BRN,29-Mar-83
Hamid OUALICH,1493.4383454678737,1,2010,FRA,26-Apr-88
Andrew ELLERTON,1492.9816092906253,1,2011,CAN,18-Nov-83
Tyler MULDER,1492.6674572942818,1,2011,USA,15-Feb-87
Belal Mansoor ALI,1492.3128978789211,2,2010,BRN,17-Oct-88
Lachlan RENSHAW,1492.3046725056702,2,2011,AUS,2-Apr-87
Karjuan WILLIAMS,1490.5240120350622,2,2011,USA,5-Jul-87
Augustine Kiprono CHOGE,1490.4394794837278,2,2010,KEN,21-Jan-87
Prince MUMBA,1490.1382241937768,2,2011,ZAM,28-Aug-84
Julius MUTEKANGA,1489.9825228962427,1,2011,UGA,1-Dec-87
Abraham CHEPKIRWOK,1489.5923163148047,1,2011,UGA,18-Nov-88
Masato YOKOTA,1489.487506023857,1,2011,JPN,19-Nov-87
Moise JOSEPH,1489.2778279968675,1,2011,HAI,27-Dec-81
Derek MANDELL,1489.0532128930934,1,2011,GUM,18-Sep-86
Rob NOVAK,1488.6883323202856,1,2011,USA,20-Mar-86
Luis Alberto MARCO,1488.434140198855,3,2011,ESP,20-Aug-86
Moussa CAMARA,1488.2137598293093,2,2011,MLI,12-Feb-88
Brice ETES,1486.9402839440781,2,2011,MON,11-Apr-84
Michael RIMMER,1486.6253557195319,9,2011,GBR,3-Feb-86
Ismail Ahmed ISMAIL,1486.348081260694,2,2011,SUD,10-Sep-84
Hamza DRIOUCH,1486.0465685104682,2,2011,QAT,16-Nov-94
Fernando Lina DA SILVA,1485.8016096719857,1,2011,BRA,10-Oct-86
Edgar Alejandro CORTEZ,1485.27143785706,1,2011,NCA,8-Aug-89
Richard BLAGG,1484.7229027651847,1,2011,GIB,3-Nov-88
Ahmad FARHAN,1484.4215866273253,1,2011,PAK,11-Jan-90
Zaw Win THET,1484.3722486558513,1,2011,MYA,1-Mar-91
Shifaz MOHAMED,1484.1342083586796,1,2011,MDV,17-Aug-86
Richard KIPLAGAT,1483.880450052623,5,2011,KEN,3-May-84
Jeff LASTENNET,1483.7450727501646,2,2011,FRA,26-Aug-87
Gareth WARBURTON,1483.2053655121908,3,2011,GBR,23-Apr-83
Duane SOLOMON,1481.5267232110743,3,2011,USA,28-Dec-84
Antonio Manuel REINA,1479.0543768506536,5,2011,ESP,13-Jun-81
Bram SOM,1471.9285249264713,10,2011,NED,20-Feb-80
