Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Ezekiel KEMBOI,1637.3408798193693,18,2013,KEN,25-May-82
Conseslus KIPRUTO,1606.6599575739783,11,2013,KEN,8-Dec-94
Hillary Kipsang YEGO,1573.1258797858143,14,2013,KEN,2-Apr-92
Paul Kipsiele KOECH,1573.0447656544584,27,2013,KEN,10-Nov-81
Mahiedine MEKHISSI,1572.2465185047922,14,2013,FRA,15-Mar-85
Brimin Kiprop KIPRUTO,1552.703751374077,20,2013,KEN,31-Jul-85
Jairus Kipchoge BIRECH,1537.5249961193178,15,2013,KEN,14-Dec-92
Evan JAGER,1534.7281441184746,6,2013,USA,8-Mar-89
Gilbert KIRUI,1528.108144423672,7,2013,KEN,22-Jan-94
Abel Kiprop MUTAI,1524.8255822344668,12,2013,KEN,2-Oct-88
Hamid EZZINE,1512.5553900052573,8,2013,MAR,5-Oct-83
Bouabdellah TAHRI,1510.783988451923,4,2011,FRA,20-Dec-78
Willy Rutto KOMEN,1509.5230910717278,1,2011,KEN,22-Dec-87
Brahim TALEB,1505.5710735423806,4,2012,MAR,16-Feb-85
Matthew HUGHES,1502.849086096238,7,2013,CAN,3-Aug-89
De'Sean TURNER,1502.7885626202724,2,2013,USA,16-Sep-88
Brian OLINGER,1502.4230815582496,2,2011,USA,2-Jun-83
Linus Kipwambok CHUMBA,1502.363274600612,5,2011,KEN,9-Feb-80
Clement Kimutai KEMBOI,1501.7493572745493,1,2013,KEN,10-Feb-92
Donald CABRAL,1501.622118649644,4,2012,USA,12-Dec-89
Yoann KOWAL,1501.6215866660455,5,2013,FRA,28-May-87
Víctor GARCÍA,1500.9389748735794,1,2011,ESP,13-Mar-85
John KOECH,1500.0352683462988,1,2013,KEN,23-Aug-95
Saif Saaeed SHAHEEN,1499.9085379616413,1,2010,QAT,15-Oct-82
Albert Kiptoo YATOR,1499.8710032128624,1,2010,KEN,6-Sep-93
Ivan LUKYANOV,1499.4208431765446,11,2013,MDA,31-Jan-81
Roba GARI,1499.4121033317529,17,2013,ETH,12-Apr-82
Abdelmadjed TOUIL,1499.3912295931902,1,2013,ALG,11-Feb-89
Jacob ARAPTANY,1499.2923924148956,6,2013,UGA,11-Feb-92
Anthony FAMIGLIETTI,1499.2656087324729,1,2010,USA,8-Nov-78
Michael KIPYEGO,1499.1472032056827,4,2010,KEN,2-Oct-83
Bisluke Kipkorir KIPLAGAT,1499.146851931499,1,2010,KEN,8-Aug-88
Patrick Kipyegon TERER,1498.865381649844,1,2010,KEN,6-Jul-89
Yuri FLORIANI,1498.6848024809665,3,2012,ITA,25-Dec-81
Haron LAGAT,1498.676078179633,1,2012,KEN,15-Aug-83
Wesley KIPROTICH,1498.6022637123058,1,2010,KEN,1-Aug-79
Hichem BOUCHICHA,1498.4952306736695,1,2013,ALG,19-May-89
Richard Kipkemboi MATEELONG,1498.3960204242162,13,2013,KEN,14-Oct-83
Mário TEIXEIRA,1498.2578609058442,1,2010,POR,20-Sep-74
Nouredine SMAIL,1498.109746784419,3,2013,FRA,6-Feb-87
Jukka KESKISALO,1497.9989877977441,4,2012,FIN,27-Mar-81
Nordine GEZZAR,1497.9867044091643,2,2011,FRA,17-Feb-80
Rabie MAKHLOUFI,1497.8849326115064,1,2010,ALG,11-Nov-86
Irba LAKHAL,1497.880221508322,1,2010,FRA,12-Dec-75
Jonathan Muia NDIKU,1497.766122897635,6,2012,KEN,18-Sep-91
Scott MACPHERSON,1497.7658649728073,1,2010,USA,27-Feb-87
Hubert POKROP,1497.683023175875,1,2011,POL,2-Nov-85
Yang LE,1497.320073414008,1,2011,CHN,9-Apr-87
Birhan GETAHUN,1497.233634393995,1,2012,ETH,5-Sep-91
Mohamed-Khaled BELABBAS,1497.1729762255754,4,2012,FRA,4-Jul-81
Mustafa MOHAMED,1497.1041888709342,2,2010,SWE,1-Mar-79
Łukasz OSLIZLO,1497.067419986909,1,2012,POL,14-May-89
Andrew POORE,1496.6712593510817,1,2013,USA,3-Dec-88
Amor BEN YAHIA,1496.5998930358219,2,2012,TUN,1-Jul-85
Xiangqian LIN,1496.5659293981632,1,2011,CHN,27-Jan-87
Nelson KIPKOGEI,1496.3475972331653,1,2012,KEN,9-Mar-93
Tomas TAJADURA JUEZ,1495.9288354811683,1,2011,ESP,25-Jun-85
Nikolay CHAVKIN,1495.8764276617403,2,2012,RUS,24-Apr-84
Abraham CHIRCHIR,1495.6399132455513,3,2011,KEN,1-Aug-80
Rob MULLETT,1495.494869131238,1,2012,GBR,31-Jul-87
Habtamu FAYISA,1495.4636160148673,1,2013,ETH,19-Apr-93
Abdelkader HACHLAF,1495.3591425957231,1,2011,MAR,3-Jul-79
José Gregorio PEÑA,1495.3431613803555,2,2013,VEN,12-Jan-87
Abdelhakim ZILALI,1495.2192144936723,2,2011,FRA,20-Jun-83
Abubaker Ali KAMAL,1494.7648884837274,2,2011,QAT,8-Nov-83
Timothy TOROITICH,1494.7419839907825,1,2013,UGA,10-Oct-91
Ilgizar SAFIULIN,1494.4567707436302,1,2013,RUS,9-Dec-92
Simon AYEKO,1494.1903212195466,3,2012,UGA,10-May-87
Tanguy PEPIOT,1493.9156777010176,1,2012,FRA,6-Jul-91
Benjamin KIPLAGAT,1493.8605247829094,18,2013,UGA,4-Mar-89
Abdelhamid ZERRIFI,1493.8110568886382,1,2013,ALG,20-Jun-86
Krijn VAN KOOLWIJK,1493.783617975994,3,2011,BEL,30-Aug-81
