Athlete,Rating,Number Of Races
Mo FARAH,1601.4328598109132,4
Ibrahim JEILAN,1546.5073447785167,2
Kenenisa BEKELE,1541.844119039852,3
Galen RUPP,1526.2377980486012,4
Paul Kipngetich TANUI,1518.6879228401258,3
Emmanuel Kipkemei BETT,1512.6591780555136,3
Imane MERGA,1510.6053254521657,5
Bedan KAROKI,1509.8014869214512,3
Abera KUMA,1507.5901248629184,4
Tariku BEKELE,1505.648029794157,2
Vincent Kiprop CHEPKOK,1505.3576910369438,2
Zersenay TADESE,1504.633973935282,3
Kenneth Kiprop KIPKEMOI,1504.5419252570905,2
Lucas Kimeli ROTICH,1502.0584171846397,2
Birhan NEBEBEW,1501.1064143489627,1
Martin Irungu MATHATHI,1500.8034989869918,1
Gebregziabher GEBREMARIAM,1500.2911871821536,1
Peter Cheruiyot KIRUI,1499.834896693686,1
Mathew Kipkoech KISORIO,1499.7471375810844,1
Polat Kemboi ARIKAN,1499.5092857230634,1
Mark Kosgei KIPTOO,1499.466533127867,1
Eliud KIPCHOGE,1499.385371329071,1
Leonard Patrick KOMON,1499.2293245929272,2
Geoffrey KAMWOROR,1499.0334559367388,1
Yigrem DEMELASH,1498.9229340071115,2
Sileshi SIHINE,1498.6617464043352,2
Teklemariam MEDHIN,1498.5997067627113,3
John Kemboi CHERUIYOT,1498.517701145715,1
Titus Kipjumba MBISHEI,1498.4651136936259,1
Paul LONYANGATA,1498.0602465632355,1
Isiah Kiplangat KOECH,1498.0543909254873,1
Nguse AMLOSOM,1497.8345348907078,2
Ayele ABSHERO,1497.7016984656893,1
Chesari Kirui JACOB,1497.5180666370202,1
Rui SILVA,1497.2357884515404,1
Robert KAJUGA,1496.968590131447,1
Moses Ndiema MASAI,1496.8801214828977,2
Geoffrey KIRUI,1496.00440465956,2
Dathan RITZENHEIN,1495.9766939203391,2
Moukhled AL OUTAIBI,1495.8822048394013,1
Scott BAUHS,1495.8103469771531,1
Kaan Kigen ÖZBILEN,1495.6137204230974,3
Moses Ndiema KIPSIRO,1495.141950712068,2
Ben ST. LAWRENCE,1494.7542158587305,1
Tsuyoshi UGACHI,1494.5878547132827,1
Thomas AYEKO,1494.466031073775,2
Diego ESTRADA,1494.3203665039118,1
Dejen GEBREMESKEL,1493.93687834281,1
Cameron LEVINS,1493.8361203992686,2
Josphat Kipkoech BETT,1493.7932475810508,3
Juan Carlos ROMERO BERNAL,1493.6056184739718,1
Juan Luis BARRIOS,1493.547110711063,1
Ayad LAMDASSEM,1493.2856606257174,1
Matt TEGENKAMP,1493.1865666780718,2
Daniel Lemashon SALEL,1492.8516765197378,2
Chris DERRICK,1492.5484226686121,1
Dennis MASAI,1491.6483199953918,3
Chris THOMPSON,1491.606006744773,1
Mohammed AHMED,1491.5263983876607,3
Suguru OSAKO,1490.6914426536864,1
Abdi NAGEEYE,1490.2058394186388,1
Goitom KIFLE,1489.8734375840359,2
Yuki SATO,1489.623301280079,2
Mykola LABOVSKIY,1489.5881362716855,1
Bashir ABDI,1488.8301114000553,1
Stephen MOKOKA,1488.1609093739717,2
Collis BIRMINGHAM,1487.2547694930324,1
Timothy TOROITICH,1486.9611823247096,2
Yevgeniy RYBAKOV,1484.0714395259247,1
Daniele MEUCCI,1477.3756717824874,4
