Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Conseslus KIPRUTO,1580.72785898456,46,2019,KEN,8-Dec-94
Soufiane EL BAKKALI,1575.9774060936265,22,2020,MAR,7-Jan-96
Getnet WALE,1544.3928046518558,10,2020,ETH,16-Jul-00
Benjamin KIGEN,1544.18425604071,16,2019,KEN,5-Jul-93
Lamecha GIRMA,1537.7287438906926,5,2020,ETH,26-Nov-00
Evan JAGER,1524.8966585897788,24,2018,USA,8-Mar-89
Chala BEYO,1523.4568573726488,13,2019,ETH,18-Jan-96
Hillary BOR,1519.6420632668373,17,2019,USA,22-Nov-89
Leonard Kipkemoi BETT,1511.7611185748003,8,2020,KEN,3-Nov-00
Abraham KIBIWOT,1511.1529709324036,21,2019,KEN,6-Apr-96
Mahiedine MEKHISSI,1511.1401511671218,21,2018,FRA,15-Mar-85
Djilali BEDRANI,1508.4459562552054,9,2020,FRA,1-Oct-93
Jairus Kipchoge BIRECH,1508.1618106722465,42,2018,KEN,14-Dec-92
Ezekiel KEMBOI,1504.685142612014,32,2017,KEN,25-May-82
Stanley Kipkoech KEBENEI,1503.406600883889,12,2019,USA,6-Nov-89
Brimin Kiprop KIPRUTO,1502.4136060209485,39,2017,KEN,31-Jul-85
Tafese SOBOKA,1502.3249232935866,5,2017,ETH,29-Sep-93
Paul Kipsiele KOECH,1501.934036886335,49,2018,KEN,10-Nov-81
Brahim TALEB,1501.6314045760867,12,2015,MAR,16-Feb-85
Hamid EZZINE,1501.061584616827,15,2016,MAR,5-Oct-83
Hillary Kipsang YEGO,1500.8929556927092,28,2016,KEN,2-Apr-92
Fernando CARRO,1500.6567936385627,13,2020,ESP,1-Apr-92
Jonathan Muia NDIKU,1500.4491845646376,11,2015,KEN,18-Sep-91
Daniel HULING,1500.3993210213425,18,2015,USA,16-Jul-83
Bouabdellah TAHRI,1500.3018826591274,4,2011,FRA,20-Dec-78
Willy Rutto KOMEN,1500.2665856022254,1,2011,KEN,22-Dec-87
Avinash Mukund SABLE,1500.2441543754207,2,2019,IND,13-Sep-94
Dikotsi LEKOPA,1500.1680405717627,1,2015,RSA,7-Jul-88
Abel Kiprop MUTAI,1500.160917737081,23,2016,KEN,2-Oct-88
Albert CHEMUTAI,1500.1182263570622,8,2019,UGA,25-Nov-99
De'Sean TURNER,1500.0780619065667,2,2013,USA,16-Sep-88
Brian OLINGER,1500.0678307759085,2,2011,USA,2-Jun-83
Linus Kipwambok CHUMBA,1500.0661565638597,5,2011,KEN,9-Feb-80
Donald CABRAL,1500.0364392606689,14,2017,USA,12-Dec-89
Saif Saaeed SHAHEEN,1499.997439648283,1,2010,QAT,15-Oct-82
Albert Kiptoo YATOR,1499.9963889155397,1,2010,KEN,6-Sep-93
Roba GARI,1499.9835426558275,17,2013,ETH,12-Apr-82
Abdelmadjed TOUIL,1499.9829583247397,1,2013,ALG,11-Feb-89
Anthony FAMIGLIETTI,1499.9794417446133,1,2010,USA,8-Nov-78
Michael KIPYEGO,1499.9761271476582,4,2010,KEN,2-Oct-83
Bisluke Kipkorir KIPLAGAT,1499.9761173142294,1,2010,KEN,8-Aug-88
Patrick Kipyegon TERER,1499.9682379477529,1,2010,KEN,6-Jul-89
Wesley KIPROTICH,1499.9608723294568,1,2010,KEN,1-Aug-79
Richard Kipkemboi MATEELONG,1499.9550988373471,13,2013,KEN,14-Oct-83
Mário TEIXEIRA,1499.9512312550537,1,2010,POR,20-Sep-74
Nouredine SMAIL,1499.9470850075845,3,2013,FRA,6-Feb-87
Nordine GEZZAR,1499.9436406085483,2,2011,FRA,17-Feb-80
Rabie MAKHLOUFI,1499.9407916495534,1,2010,ALG,11-Nov-86
Irba LAKHAL,1499.9406597688153,1,2010,FRA,12-Dec-75
Scott MACPHERSON,1499.937458517703,1,2010,USA,27-Feb-87
Hubert POKROP,1499.9351394775765,1,2011,POL,2-Nov-85
Yang LE,1499.9249792071223,1,2011,CHN,9-Apr-87
Birhan GETAHUN,1499.9225594677714,1,2012,ETH,5-Sep-91
Mohamed-Khaled BELABBAS,1499.9208614272684,4,2012,FRA,4-Jul-81
Mustafa MOHAMED,1499.9189358215776,2,2010,SWE,1-Mar-79
Łukasz OSLIZLO,1499.9179065281457,1,2012,POL,14-May-89
Andrew POORE,1499.9068165657704,1,2013,USA,3-Dec-88
Xiangqian LIN,1499.9038680012004,1,2011,CHN,27-Jan-87
Tomas TAJADURA JUEZ,1499.886033448926,1,2011,ESP,25-Jun-85
Abraham CHIRCHIR,1499.8779454754308,3,2011,KEN,1-Aug-80
Abdelkader HACHLAF,1499.8700856941678,1,2011,MAR,3-Jul-79
Abdelhakim ZILALI,1499.86616860285,2,2011,FRA,20-Jun-83
Timothy TOROITICH,1499.8528092030447,1,2013,UGA,10-Oct-91
Simon AYEKO,1499.8373661760916,3,2012,UGA,10-May-87
Tanguy PEPIOT,1499.829677915291,1,2012,FRA,6-Jul-91
Jacob ARAPTANY,1499.8280681466026,10,2017,UGA,11-Feb-92
Krijn VAN KOOLWIJK,1499.8259810881727,3,2011,BEL,30-Aug-81
