Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Kendra HARRISON,1631.1084640130537,31,2019,USA,18-Sep-92
Danielle WILLIAMS,1626.5721432684252,28,2019,JAM,14-Sep-92
Nia ALI,1598.8027053923224,42,2019,USA,23-Oct-88
Brianna MCNEAL,1558.3986252593554,32,2019,USA,18-Aug-91
Tobi AMUSAN,1543.4275227160745,19,2019,NGR,23-Apr-97
Sally PEARSON,1535.317343550393,45,2017,AUS,19-Sep-86
Megan TAPPER,1531.541368091749,12,2019,JAM,18-Mar-94
Sharika NELVIS,1529.6004849074502,30,2019,USA,10-May-90
Kendell WILLIAMS,1528.9809762148207,1,2019,USA,14-Jun-95
Kateřina CACHOVÁ,1527.4,1,2019,CZE,26-Feb-90
Katarina JOHNSON-THOMPSON,1524.1333924438272,2,2019,GBR,9-Jan-93
Pamela DUTKIEWICZ,1523.2409718073704,10,2018,GER,28-Sep-91
Queen HARRISON,1520.1419235125156,31,2018,USA,10-Sep-88
Andrea Carolina VARGAS,1515.7495157442136,3,2019,CRC,28-May-96
Christina CLEMONS,1515.1575645989847,5,2019,USA,29-May-90
Yanique THOMPSON,1509.4212188119936,8,2019,JAM,12-Mar-96
Alina TALAY,1508.552070736478,32,2018,BLR,14-May-89
Christina MANNING,1508.046909504214,16,2018,USA,29-May-90
Jasmin STOWERS,1505.697117743885,22,2018,USA,23-Sep-91
Anouk VETTER,1505.6776695296635,1,2019,NED,4-Feb-93
Verena PREINER,1505.461199285643,1,2019,AUT,1-Feb-95
Kristi CASTLIN,1505.2607450241894,29,2017,USA,7-Jul-88
Janeek BROWN,1505.0702169345705,6,2019,JAM,14-May-98
Solène NDAMA,1504.8857967993881,2,2019,FRA,23-Sep-98
Shermaine WILLIAMS,1502.9881890719703,12,2016,JAM,4-Feb-90
Kellie WELLS,1502.5642315145346,29,2013,USA,16-Jul-82
Cindy ROLEDER,1502.4085742734646,30,2019,GER,21-Aug-89
Lolo JONES,1501.6139015025028,24,2015,USA,5-Aug-82
Payton CHADWICK,1501.5047788921884,2,2019,USA,29-Nov-95
Jasmine CAMACHO-QUINN,1500.9972195506557,2,2019,PUR,21-Aug-96
Rushelle BURTON,1500.9681510063235,2,2017,JAM,4-Dec-97
Mathilde RAIBAUT,1500.9478070933765,1,2015,FRA,18-Apr-92
Danielle CARRUTHERS,1500.8677765370803,28,2012,USA,22-Dec-79
Virginia CRAWFORD,1500.8249309455941,21,2013,USA,7-Sep-83
Dawn HARPER-NELSON,1500.8163866726345,56,2018,USA,13-May-84
Franziska HOFMANN,1500.4686630641859,1,2014,GER,27-Mar-94
Tatyana DEMENTYEVA,1500.4668092491688,8,2013,RUS,8-May-81
Priscilla SCHLIEP,1500.3579160708173,18,2012,CAN,26-Aug-82
Nina MOROZOVA,1500.3209913228384,2,2015,RUS,3-Apr-89
Sara AERTS,1500.3164912812322,1,2013,BEL,25-Jan-84
Abigail LEWIS,1500.229761964741,1,2015,JAM,7-May-93
Gnima FAYE,1500.2204210748764,2,2013,SEN,17-Nov-84
Linda ZÜBLIN,1500.2149851108024,2,2015,SUI,21-Mar-86
Brigitte Ann FOSTER-HYLTON,1500.1845472207342,8,2012,JAM,7-Nov-74
Yuliya KONDAKOVA,1500.1806296945383,6,2013,RUS,4-Dec-81
Christina VUKICEVIC,1500.1760426485653,12,2012,NOR,18-Jun-87
Lisa URECH,1500.0615699373466,7,2012,SUI,27-Jul-89
Michelle PERRY,1500.017014977503,1,2012,USA,1-May-79
Indira SPENCE,1500.0021982602002,2,2011,JAM,8-Sep-86
Derval O'ROURKE,1499.991065207078,7,2012,IRL,28-May-81
Nichole DENBY,1499.9581406621671,5,2011,USA,10-Oct-82
Nataliya IVONINSKAYA,1499.9512115146736,2,2011,KAZ,22-Feb-85
Aleksandra ANTONOVA,1499.9497979539526,2,2011,RUS,24-Mar-80
Candice PRICE,1499.9457181108871,1,2011,USA,26-Oct-85
Jana SOTÁKOVÁ,1499.9340551977828,1,2013,CZE,25-Apr-93
Vonette DIXON,1499.9245968827,9,2011,JAM,26-Nov-75
Marie HAGLE,1499.9231128043998,2,2011,NOR,17-Feb-87
Perdita FELICIEN,1499.9213974497343,16,2012,CAN,29-Aug-80
Louise WOOD,1499.9051335476463,1,2011,GBR,13-May-83
Elisabeth DAVIN,1499.8970687691626,1,2010,BEL,3-Jun-81
Yawei SUN,1499.8915225735202,3,2012,CHN,17-Oct-87
Anay TEJEDA,1499.88490439113,1,2010,CUB,3-Apr-83
Celriece LAW,1499.8697668420477,1,2011,USA,2-Sep-86
Alice DECAUX,1499.866817755487,1,2012,FRA,10-Apr-85
Ashley HELSBY,1499.8651009288535,1,2011,GBR,1-Jul-90
Carolin DIETRICH,1499.8604077856671,5,2012,GER,26-Feb-85
Latoya GREAVES,1499.8573470472684,1,2012,JAM,31-May-86
Audrey CIREDEM,1499.8489333026018,1,2015,FRA,30-Apr-95
Eveline REBSAMEN,1499.8450038346045,1,2013,SUI,8-Apr-94
Loreal SMITH,1499.8413053208396,3,2012,USA,12-Oct-85
Nevin YANIT,1499.8299445354714,3,2011,TUR,16-Feb-86
Yevheniya SNIHUR,1499.8221492563814,5,2011,UKR,7-Mar-84
Tale ØRVING,1499.812183266024,2,2011,NOR,17-Mar-89
Aisseta DIAWARA,1499.808871931667,1,2012,FRA,29-Jun-89
Rosvitha Bodjiho OKOU,1499.8061432864815,2,2013,CIV,5-Sep-86
Stephanie GAYNOR,1499.8041808037228,1,2011,GBR,27-Sep-90
Lauren SMITH,1499.802250750528,1,2011,USA,27-Aug-81
Lene MYRMEL,1499.7986095206925,1,2011,NOR,18-May-85
Sonata TAMOSAITYTÉ,1499.798455544811,2,2012,LTU,21-Apr-87
Dedeh ERAWATI,1499.7917376127793,1,2011,INA,25-May-79
Gemma BENNETT,1499.7909633685174,4,2011,GBR,4-Jan-84
Andrea MILLER,1499.7875751134502,1,2012,NZL,13-Mar-82
Suzanne WILLIAMS,1499.7733039120367,1,2013,NED,7-Oct-93
Kine AALTVEDT,1499.7687485596498,2,2011,NOR,30-Aug-91
Tine Teigene DALEN,1499.742685986826,3,2011,NOR,2-Nov-90
Yekaterina GALITSKAYA,1499.7417022519608,3,2015,RUS,24-Feb-87
Lina Marcela FLORES,1499.7386331193522,5,2013,COL,1-Nov-84
Béatrice KAMBOULÉ,1499.7268601116539,1,2011,BUR,25-Feb-80
Ivanique KEMP,1499.7215281872873,2,2012,BAH,11-Jun-91
Jessica ZELINKA,1499.7170428465292,6,2013,CAN,3-Sep-81
Pak Yan POON,1499.7167163449458,1,2011,HKG,2-Jan-90
Heloise KANE,1499.7046228888328,1,2013,FRA,25-Dec-95
Noemi ZBÄREN,1499.70053059247,10,2017,SUI,12-Mar-94
Caroline LUNDAHL,1499.7000940086725,1,2012,SWE,16-Oct-91
Latisha HOLDEN,1499.6873068664881,1,2013,USA,29-Aug-89
Rosina HODDE,1499.6805563667049,1,2014,NED,10-Feb-83
Assa-deborah DIAKITE,1499.6737031824928,1,2013,FRA,13-Jan-95
Micol CATTANEO,1499.6668980241725,1,2013,ITA,14-May-82
Marina TOMIČ,1499.6621371818346,3,2013,SLO,30-Apr-83
Sarah MISSINNE,1499.6582152541846,1,2014,BEL,16-May-95
Seun ADIGUN,1499.6558124690148,3,2012,NGR,3-Jan-87
Reetta HURSKE,1499.6459449504828,2,2019,FIN,15-May-95
Andrea BLISS,1499.6224604770396,3,2013,JAM,5-Oct-80
Vashti THOMAS,1499.621822711595,1,2013,USA,21-Apr-90
Louise HAZEL,1499.600017663974,4,2011,GBR,6-Oct-85
Adja Arete NDIAYE,1499.5942197420777,1,2015,SEN,26-Feb-84
Janay DELOACH,1499.5941212003563,1,2015,USA,12-Oct-85
Angelita BROADBELT-BLAKE,1499.575310975149,3,2011,GBR,12-Sep-85
Serita SOLOMON,1499.526535708191,1,2015,GBR,1-Mar-90
Anastasiya SOPRUNOVA,1499.495314735794,3,2013,KAZ,14-Jan-86
Silvia PANGUANE,1499.4926082444135,1,2012,MOZ,16-Feb-93
Martina BIBIANA OLAMA,1499.4853619294054,1,2012,GEQ,2-Dec-82
Lucie KOUDELOVÁ,1499.4733249996962,2,2014,CZE,6-Jul-94
Sandra GOMIS,1499.4628737427902,8,2016,FRA,21-Nov-83
Fatoumata DIABATE,1499.4612900695674,1,2013,FRA,31-Jan-93
Lecabela QUARESMA,1499.4445193255535,1,2012,STP,26-Dec-89
Lucie ŠKROBÁKOVÁ,1499.4059251107437,6,2013,CZE,4-Jan-82
Dipna Lim PRASAD,1499.398526197709,2,2012,SGP,7-Jun-91
Elodie PICAUT RECHAL,1499.3909616833052,1,2015,FRA,11-Oct-87
Erica BOUGARD,1499.3787299735532,1,2019,USA,26-Jul-93
Ellen SPRUNGER,1499.378550078028,1,2014,SUI,5-Aug-86
Delloreen ENNIS,1499.3459754118235,9,2011,JAM,5-Mar-75
Christelle VERTUEUX,1499.3396713409602,2,2013,FRA,17-Aug-94
Marzia CARAVELLI,1499.304743043676,6,2013,ITA,23-Oct-81
Adelly OLIVEIRA SANTOS,1499.2944364210834,1,2015,BRA,8-Jul-87
Aleesha BARBER,1499.2640468554875,4,2013,TTO,16-May-87
Salma EMAM ABOU EL-HASSAN,1499.2474293370415,1,2013,EGY,1-Oct-91
Myriam SOUMARE,1499.19813132436,1,2015,FRA,25-Nov-91
Jeimmy Julissa BERNARDEZ,1499.1877443571752,2,2012,HON,3-Sep-86
Irina STREBEL,1499.12929491372,1,2014,SUI,13-Feb-96
Elodie JAKOB,1498.9857550856045,1,2015,SUI,8-Oct-93
Marine SAVARY,1498.9715137489275,1,2015,FRA,18-Feb-92
Ricarda LOBE,1498.8987560681007,3,2017,GER,13-Apr-94
Reina-Flor OKORI,1498.83694172775,5,2013,FRA,2-May-80
Valerie REGGEL,1498.8204020820463,2,2015,SUI,3-Jan-87
Kimberley LAING,1498.64888817974,2,2015,JAM,8-Jan-88
Kierre BECKLES,1498.6235000621223,5,2016,BAR,21-May-90
Veronica BORSI,1498.6120903717438,5,2014,ITA,13-Jun-87
Brigith María MERLANO,1498.6014388457113,6,2016,COL,29-Apr-82
Ethelle RUBRICE,1498.5825131889105,1,2015,FRA,14-Jul-92
Monika ZAPALSKA,1498.5684139649343,1,2015,GER,24-May-94
Maíla Paula MACHADO,1498.4876206286694,1,2016,BRA,22-Jan-81
Ida Bakke HANSEN,1498.305293340513,2,2015,NOR,7-Jan-93
Emma OOSTERWEGEL,1498.2164245479332,1,2019,NED,29-Jun-98
Annie KUNZ,1498.1081894259228,1,2019,USA,16-Feb-93
Nikkita HOLDER,1498.090373120153,14,2016,CAN,7-May-87
Queen CLAYE,1498.0619164631503,3,2019,USA,10-Sep-88
Jessica ENNIS-HILL,1498.0242122463992,6,2016,GBR,28-Jan-86
Adanaca BROWN,1497.881855229958,1,2015,BAH,23-Oct-93
Lucy HATTON,1497.8575841199818,1,2016,GBR,8-Nov-94
Clélia RARD-REUSE,1497.7966435346762,5,2016,SUI,1-Aug-88
Ana Camila PIRELLI CUBAS,1497.7015959508294,1,2015,PAR,30-Jan-89
Beatriz FLAMENCO,1497.6976740875034,1,2015,ESA,11-Nov-95
Tiffany PORTER,1497.6832297701044,60,2017,USA,13-Nov-87
Pedrya SEYMOUR,1497.6176204340493,6,2019,BAH,29-May-95
Stephanie BENDRAT,1497.4569164845336,1,2017,AUT,5-Mar-91
Hitomi SHIMURA,1497.4079428104064,2,2017,JPN,8-Nov-90
Devynne CHARLTON,1497.3035686948479,3,2017,BAH,26-Nov-95
Valentina KIBALNIKOVA,1497.2970452365664,1,2016,UZB,16-Oct-90
Tenaya JONES,1497.264828592212,3,2015,USA,22-Mar-89
LaVonne IDLETTE,1497.2523941042755,6,2015,DOM,31-Oct-85
Oksana SHKURAT,1497.0950240429465,1,2016,UKR,30-Jul-93
Caridad JEREZ,1497.0469110364538,2,2016,ESP,23-Jan-91
Gréta KEREKES,1496.9395518969436,2,2019,HUN,9-Oct-92
Yekaterina POPLAVSKAYA,1496.905174336227,1,2016,BLR,7-May-87
Susanna KALLUR,1496.7299472910613,4,2016,SWE,16-Feb-81
Andrea IVANČEVIĆ,1496.6436713476398,5,2016,CRO,21-Aug-84
Nickiesha WILSON,1496.5748941608922,2,2016,JAM,28-Jul-86
Luca KOZÁK,1496.5564717772804,5,2019,HUN,1-Jun-96
Jacquelyn COWARD,1496.208753179014,5,2016,USA,5-Nov-89
Sharona BAKKER,1496.2048733706251,3,2017,NED,12-Apr-90
Elisa Maria DI LAZZARO,1496.161041552746,1,2018,ITA,5-Jun-98
Lindsay LINDLEY,1496.0950395483778,3,2017,NGR,6-Oct-89
Olena YANOVSKA,1495.9565648179153,1,2016,UKR,15-Feb-90
Katy Louise SEALY,1495.871438174349,1,2016,BIZ,15-Oct-90
Asuka TERADA,1495.8084235035376,1,2019,JPN,14-Jan-90
Megan MARRS,1495.6066502363265,1,2018,GBR,25-Sep-97
Nadine VISSER,1495.3876464427503,21,2019,NED,9-Feb-95
Anastasiya VINOGRADOVA,1495.337180511028,2,2016,KAZ,13-Sep-86
Elvira HERMAN,1494.9992791697114,14,2019,BLR,9-Jan-97
Bridgette OWENS,1494.9556556960986,2,2018,USA,14-Mar-92
Annimari KORTE,1494.8878344333418,2,2019,FIN,8-Apr-88
Karolina KOŁECZEK,1494.5939738014972,6,2019,POL,15-Jan-93
Elisavet PESIRIDOU,1494.458533252583,2,2017,GRE,12-Feb-92
Cindy BILLAUD,1494.2910379758873,16,2016,FRA,11-Mar-86
Linha Amer Jaber AHMED,1494.2158143935308,1,2017,EGY,11-Mar-97
Angela WHYTE,1494.1885935771502,6,2017,CAN,22-May-80
Géraldine RUCKSTUHL,1493.829156082605,1,2019,SUI,24-Feb-98
Nafissatou THIAM,1493.7569993345983,1,2019,BEL,19-Aug-94
Evonne BRITTON,1493.7408033130096,3,2019,USA,28-Jul-91
Amber HUGHES,1493.6580929691684,1,2019,USA,23-Sep-94
Mulern JEAN,1493.6432029067234,1,2017,HAI,25-Sep-92
Jessica HUNTER,1493.4611594682533,1,2018,GBR,4-Dec-96
Shujiao WU,1493.3900676523185,5,2018,CHN,19-Jun-91
Celeste MUCCI,1493.3271609202186,1,2019,AUS,11-Aug-99
Shimayra Crystal WILLIAMS,1493.2574650183133,1,2018,JAM,2-Dec-95
Fabiana DOS SANTOS MORAES,1493.2065792630087,3,2017,BRA,5-Jun-86
Hyelim JUNG,1493.057126871542,3,2017,KOR,1-Jun-87
Heather PATON,1492.5547201191282,1,2019,GBR,9-Apr-96
Yvette LEWIS,1492.3809862571402,16,2016,USA,16-Mar-85
Chari HAWKINS,1492.3180888772627,1,2019,USA,21-May-91
Kori CARTER,1492.2265250829214,2,2018,USA,3-Jun-92
Tiffani MCREYNOLDS,1492.2242339358108,3,2019,USA,4-Dec-91
Vanessa CLERVEAUX,1492.114920365404,1,2019,HAI,17-Jun-94
Luminosa BOGLIOLO,1491.8869893598767,2,2019,ITA,3-Jul-95
Nadine HILDEBRAND,1491.6507657804782,18,2017,GER,20-Sep-87
Elin WESTERLUND,1491.6016035066646,2,2018,SWE,4-Feb-90
Eline BERINGS,1490.79175732138,8,2018,BEL,28-May-86
Raven CLAY,1490.2468997846045,3,2017,USA,5-Oct-90
Hanne MAUDENS,1490.0740344061155,1,2019,BEL,12-Mar-97
Noor VIDTS,1490.0199168451104,1,2019,BEL,30-May-96
Maria HUNTINGTON,1489.467120650747,1,2019,FIN,13-Mar-97
Stanislava ŠKVARKOVÁ,1488.8758469377433,1,2019,SVK,20-Apr-96
Rikenette STEENKAMP,1488.3488001218102,3,2019,RSA,16-Oct-92
Genesis ROMERO,1487.6214957831362,2,2019,VEN,6-Nov-95
Ayako KIMURA,1486.744792078985,5,2019,JPN,11-Jun-88
Yasmin MILLER,1486.5753200292825,2,2019,GBR,24-May-95
Anne ZAGRE,1485.160857176054,21,2019,BEL,13-Mar-90
Ekaterina VORONINA,1484.8027154336824,1,2019,UZB,16-Feb-92
Nadine BROERSEN,1484.7594213848781,1,2019,NED,29-Apr-90
Odile AHOUANWANOU,1484.4992187911416,2,2019,BEN,5-Jan-91
Brianna BEAHAN,1484.4792590182974,2,2019,AUS,1-Nov-91
Phylicia GEORGE,1484.396509756854,28,2019,CAN,16-Nov-87
Hanna PLOTITSYNA,1483.676232021383,6,2019,UKR,1-Jan-87
Marthe KOALA,1483.6184576814994,5,2019,BUR,8-Mar-94
Laura VALETTE,1483.4713337738099,2,2019,FRA,16-Feb-97
Irina VELIHANOVA,1482.8963066041426,1,2019,TKM,17-Mar-96
Fanny QUENOT,1482.8892390666265,1,2019,FRA,2-Oct-90
Adrine MONAGI,1482.6381884388888,1,2019,PNG,8-Jun-95
Beate SCHROTT,1482.4079298022439,16,2019,AUT,15-Apr-88
Eefje BOONS,1482.3882726037841,5,2019,NED,18-Jul-94
Cindy OFILI,1481.8569549024126,17,2019,GBR,5-Aug-94
Michelle JENNEKE,1478.267313265272,8,2019,AUS,23-Jun-93
Nooralotta NEZIRI,1477.7962878494761,12,2019,FIN,9-Nov-92
Isabelle PEDERSEN,1477.5387227903366,26,2019,NOR,27-Jan-92
Alicia BARRETT,1474.2726285406059,4,2019,GBR,25-Mar-98
