Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Zuzana HEJNOVÁ,1603.509169195773,54,2017,CZE,19-Dec-86
Dalilah MUHAMMAD,1593.9849475767085,24,2017,USA,7-Feb-90
Kori CARTER,1590.560420725635,11,2017,USA,3-Jun-92
Janieve RUSSELL,1553.0243177985267,19,2017,JAM,14-Nov-93
Ashley SPENCER,1551.3794606018964,9,2017,USA,8-Jun-93
Cassandra TATE,1536.6958425691103,25,2017,USA,11-Sep-90
Sara Slott PETERSEN,1525.278846002414,29,2017,DEN,9-Apr-87
Ristananna TRACEY,1524.8931504800782,20,2017,JAM,9-May-92
Lea SPRUNGER,1524.124722566516,15,2017,SUI,5-Mar-90
Kaliese SPENCER,1522.3781544822716,50,2016,JAM,6-May-87
Shamier LITTLE,1519.461678334394,13,2017,USA,20-Mar-95
Sage WATSON,1516.278202225987,7,2017,CAN,20-Jun-94
Petra FONTANIVE,1513.612768169342,10,2017,SUI,10-Oct-88
Eilidh DOYLE,1513.4896444364663,50,2017,GBR,20-Feb-87
Georganne MOLINE,1511.3376213839867,23,2017,USA,6-Mar-90
Perri SHAKES-DRAYTON,1508.2895651379476,22,2013,GBR,21-Dec-88
Wenda NEL,1505.4073905799823,29,2017,RSA,30-Jul-88
Melaine WALKER,1503.503454880798,17,2012,JAM,1-Mar-83
Robine SCHÜRMANN,1503.2784961192315,3,2016,SUI,31-Jan-89
Stina TROEST,1502.2341229908561,4,2016,DEN,17-Jan-94
T'erea BROWN,1501.438379145783,10,2013,USA,24-Oct-89
Grace CLAXTON,1500.9938722646755,4,2017,PUR,19-Aug-93
Anna RYZHYKOVA,1500.8407552979656,18,2015,UKR,24-Nov-89
Sydney MCLAUGHLIN,1500.6047823183453,2,2016,USA,7-Aug-99
Anastasiya RABCHENYUK,1500.6039116837032,5,2011,UKR,14-Sep-83
Yelena CHURAKOVA,1500.0521356947897,6,2012,RUS,16-Dec-86
Elodie OUÉDRAOGO,1499.9490758872644,6,2012,BEL,27-Feb-81
Nagihan KARADERE,1499.875003599796,1,2011,TUR,1-Jan-84
Anastasiya OTT,1499.8630654825815,1,2013,RUS,7-Sep-88
Vanya STAMBOLOVA,1499.8065282075902,6,2013,BUL,28-Nov-83
Xiaoxiao HUANG,1499.796256538927,1,2012,CHN,3-Mar-83
Fawn DORR,1499.7858303124394,1,2010,USA,19-Apr-87
Angela MOROŞANU,1499.758654547969,8,2013,ROU,26-Jul-86
Qi YANG,1499.7292359887415,1,2011,CHN,13-Apr-91
Jennifer ROCKWELL-GROSSARTH,1499.7136807206853,1,2013,ITA,18-May-83
Ebony COLLINS,1499.6950454045564,1,2010,USA,11-Mar-89
Birsen ENGIN,1499.6738950200588,1,2011,TUR,18-Oct-80
Queen HARRISON,1499.628934170007,9,2012,USA,10-Sep-88
Vilde SVORTEVIK,1499.5673232853817,1,2014,NOR,18-May-94
Yevgeniya ISAKOVA,1499.5599317570147,2,2010,RUS,27-Nov-78
Irina KOLESNICHENKO,1499.5116643379347,7,2013,RUS,27-May-88
Hanitrasoa Olga RAZANAMALALA,1499.4618776673497,1,2011,MAD,8-Sep-88
Lucy María JARAMILLO,1499.432182814745,1,2012,ECU,23-Feb-83
Sheena JOHNSON-TOSTA,1499.3929517688562,6,2011,USA,1-Oct-82
Natalya ANTYUKH,1499.3542949573634,23,2014,RUS,26-Jun-81
Bimbo Miel AYEDOU,1499.3373148212436,1,2011,BEN,17-Aug-91
Fatima Sulaiman DAHMAN,1499.2916635267104,1,2011,YEM,10-Nov-92
Sarah-Lynn WELLS,1499.287665803908,2,2012,CAN,10-Nov-89
Kyeong-mi SON,1499.2788469609818,1,2011,KOR,9-Feb-90
Jessica AGUILERA,1499.2569122365328,1,2011,NCA,26-Jun-85
Nickiesha WILSON,1499.2371421797657,13,2013,JAM,28-Jul-86
Nicole LEACH,1499.2133478319504,5,2012,USA,18-Jul-87
Tatyana AZAROVA,1499.175844212115,1,2012,KAZ,2-Dec-85
Stephenie Ann MCPHERSON,1499.1719844927334,1,2012,JAM,25-Nov-88
Raasin MCINTOSH,1499.120686772187,2,2012,USA,29-Apr-82
Jana REISSOVÁ,1499.1164795985005,1,2014,CZE,1-Jan-96
Danielle DOWIE,1499.0077232820292,1,2013,JAM,5-May-92
Jailma SALES DE LIMA,1498.988755531559,2,2012,BRA,31-Dec-86
Dominique DARDEN,1498.9595047669382,4,2010,USA,9-Dec-83
Annerie MOOLMAN,1498.9332147851087,1,2013,RSA,9-Aug-90
Manuela GENTILI,1498.8323380634838,3,2012,ITA,7-Feb-78
Josanne LUCAS,1498.8049743845713,5,2011,TTO,14-May-84
Tereza VOKÁLOVÁ,1498.7489823736646,1,2016,CZE,16-Jun-98
Princesa María OLIVEROS,1498.7411206823922,1,2012,COL,10-Aug-75
Christine SALTERBERG,1498.728491915249,1,2014,GER,9-Jun-94
Christine SPENCE,1498.7163887900538,3,2013,USA,25-Nov-81
Anna JESIEŃ,1498.7145422131664,6,2012,POL,10-Dec-78
Noraseela MOHD KHALID,1498.677568562694,1,2012,MAS,27-Sep-79
Bianca BAAK,1498.6612877385112,2,2015,NED,25-Jan-92
Ugonna NDU,1498.564206193364,1,2013,NGR,27-Jun-91
Jasmine HYDER,1498.5455219788785,4,2012,USA,25-Aug-88
Christine Sonali MERRILL,1498.4042579640618,2,2012,SRI,20-Aug-87
Stine TOMB,1498.3423705384976,2,2013,NOR,27-Jun-86
Kim Carina SCHMIDT,1498.3029212966908,1,2014,GER,21-Jan-92
Ajoke ODUMOSU,1498.0552067004746,17,2013,NGR,27-Oct-87
Nikolina HORVAT,1498.0012167690602,3,2012,CRO,18-Sep-86
Janeil BELLILLE,1497.928612987268,3,2016,TTO,18-Jun-89
Luisa VALESKE,1497.8130591871209,1,2015,GER,9-Jan-94
Vera RUDAKOVA,1497.787373355523,3,2015,RUS,20-Mar-92
Shona RICHARDS,1497.710539567901,1,2014,GBR,1-Sep-95
Amaliya SHAROYAN,1497.6910430054018,2,2013,ARM,19-Jun-88
Nenah DE CONINCK,1497.6043346487754,1,2014,BEL,2-Sep-96
Eileen DEMES,1497.5060326408834,1,2016,GER,13-Oct-97
Lucie TACLÍKOVÁ,1497.1158871859857,1,2015,CZE,30-Dec-93
Lauren BODEN,1497.012864136731,10,2013,AUS,3-Aug-88
Lashinda DEMUS,1496.77103842703,25,2015,USA,10-Mar-83
Katsiaryna BELANOVICH,1496.7552613368998,1,2016,BLR,14-Jan-91
Kemi ADEKOYA,1496.5383390743943,11,2017,BRN,16-Jan-93
Jessica TURNER,1496.454428178036,1,2017,GBR,8-Aug-95
Karoline DALAND,1496.4308608565848,1,2016,NOR,13-Feb-99
Marlen AAKRE,1495.9600682183948,1,2015,NOR,17-Sep-93
Olena KOLESNYCHENKO,1495.7614803623728,3,2017,UKR,3-Jun-93
Jaide STEPTER,1495.6625963335473,3,2017,USA,25-Sep-94
Eglė STAISIUNAITĖ,1495.5948230237327,3,2015,LTU,30-Sep-88
Tereza JONASOVA,1495.2410979073402,1,2016,CZE,24-Jun-98
Shevon STODDART,1494.8132618122388,5,2015,JAM,21-Nov-82
Joanna LINKIEWICZ,1494.7097787902985,8,2017,POL,2-May-90
Satomi KUBOKURA,1494.610582741244,9,2016,JPN,27-Apr-82
Amaka OGOEGBUNAM,1494.1739597890996,3,2016,NGR,3-Mar-90
Leah NUGENT,1494.091532655571,7,2017,JAM,23-Nov-92
Jernail HAYES,1493.4880537551444,1,2016,USA,8-Jul-88
Ayomide FOLORUNSO,1493.3110236666216,6,2017,ITA,17-Oct-96
Vera BARBOSA,1493.1218206281983,6,2016,POR,13-Jan-89
Xia XIAO,1493.0946023984334,2,2015,CHN,4-Jun-91
Phara ANACHARSIS,1493.076469118179,5,2016,FRA,17-Dec-83
Aminat JAMAL,1492.5467272733445,1,2017,BRN,27-Jun-97
