Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Kendra HARRISON,1624.2640145826747,17,2017,USA,18-Sep-92
Sally PEARSON,1598.1037320844255,45,2017,AUS,19-Sep-86
Brianna MCNEAL,1575.8735227403554,21,2016,USA,18-Aug-91
Sharika NELVIS,1554.8344387608292,18,2017,USA,10-May-90
Dawn HARPER-NELSON,1546.9426974795847,49,2017,USA,13-May-84
Pamela DUTKIEWICZ,1543.4594952179234,7,2017,GER,28-Sep-91
Jasmin STOWERS,1537.3579158942575,19,2017,USA,23-Sep-91
Christina MANNING,1533.6235717110205,11,2017,USA,29-May-90
Danielle WILLIAMS,1525.9966379360553,10,2017,JAM,14-Sep-92
Queen HARRISON,1518.6662644941357,27,2017,USA,10-Sep-88
Cindy ROLEDER,1517.117122543652,20,2017,GER,21-Aug-89
Nia ALI,1517.0253871981677,33,2017,USA,23-Oct-88
Cindy OFILI,1515.2604894643232,11,2017,GBR,5-Aug-94
Kristi CASTLIN,1514.613180622749,29,2017,USA,7-Jul-88
Nadine VISSER,1513.8776982890079,8,2017,NED,9-Feb-95
Pedrya SEYMOUR,1511.6523799062525,3,2016,BAH,29-May-95
Tobi AMUSAN,1510.8132569682548,4,2017,NGR,23-Apr-97
Yanique THOMPSON,1509.2449534847274,2,2017,JAM,12-Mar-96
Shermaine WILLIAMS,1508.300525199917,12,2016,JAM,4-Feb-90
Jasmine CAMACHO-QUINN,1507.435301351182,1,2016,PUR,21-Aug-96
Alina TALAY,1507.3455940867746,30,2017,BLR,14-May-89
Kellie WELLS,1507.1228653181513,29,2013,USA,16-Jul-82
Lolo JONES,1504.4830597291746,24,2015,USA,5-Aug-82
Megan TAPPER,1503.607482234288,7,2017,JAM,18-Mar-94
Rushelle BURTON,1502.689308350899,2,2017,JAM,4-Dec-97
Mathilde RAIBAUT,1502.6327974816006,1,2015,FRA,18-Apr-92
Danielle CARRUTHERS,1502.4104903807797,28,2012,USA,22-Dec-79
Virginia CRAWFORD,1502.2914748488724,21,2013,USA,7-Sep-83
Franziska HOFMANN,1501.301841844961,1,2014,GER,27-Mar-94
Tatyana DEMENTYEVA,1501.2966923588028,8,2013,RUS,8-May-81
Priscilla SCHLIEP,1500.994211307825,18,2012,CAN,26-Aug-82
Nina MOROZOVA,1500.8916425634402,2,2015,RUS,3-Apr-89
Sara AERTS,1500.8791424478677,1,2013,BEL,25-Jan-84
Abigail LEWIS,1500.638227679836,1,2015,JAM,7-May-93
Gnima FAYE,1500.612280763545,2,2013,SEN,17-Nov-84
Linda ZÜBLIN,1500.5971808633403,2,2015,SUI,21-Mar-86
Brigitte Ann FOSTER-HYLTON,1500.5126311687059,8,2012,JAM,7-Nov-74
Yuliya KONDAKOVA,1500.501749151496,6,2013,RUS,4-Dec-81
Christina VUKICEVIC,1500.4890073571264,12,2012,NOR,18-Jun-87
Phylicia GEORGE,1500.1891782159446,27,2017,CAN,16-Nov-87
Lisa URECH,1500.1710276037409,7,2012,SUI,27-Jul-89
Michelle PERRY,1500.0472638263973,1,2012,USA,1-May-79
Indira SPENCE,1500.0061062783345,2,2011,JAM,8-Sep-86
Derval O'ROURKE,1499.9751811307726,7,2012,IRL,28-May-81
Nichole DENBY,1499.8837240615753,5,2011,USA,10-Oct-82
Nataliya IVONINSKAYA,1499.8644764296487,2,2011,KAZ,22-Feb-85
Aleksandra ANTONOVA,1499.8605498720908,2,2011,RUS,24-Mar-80
Candice PRICE,1499.849216974687,1,2011,USA,26-Oct-85
Jana SOTÁKOVÁ,1499.816819993841,1,2013,CZE,25-Apr-93
Isabelle PEDERSEN,1499.7989840909504,18,2017,NOR,27-Jan-92
Vonette DIXON,1499.7905468963884,9,2011,JAM,26-Nov-75
Marie HAGLE,1499.7864244566663,2,2011,NOR,17-Feb-87
Perdita FELICIEN,1499.7816595825943,16,2012,CAN,29-Aug-80
Louise WOOD,1499.7364820767953,1,2011,GBR,13-May-83
Elisabeth DAVIN,1499.7140799143403,1,2010,BEL,3-Jun-81
Yawei SUN,1499.6986738153346,3,2012,CHN,17-Oct-87
Anay TEJEDA,1499.6802899753611,1,2010,CUB,3-Apr-83
Celriece LAW,1499.6382412279104,1,2011,USA,2-Sep-86
Alice DECAUX,1499.6300493207978,1,2012,FRA,10-Apr-85
Ashley HELSBY,1499.6252803579262,1,2011,GBR,1-Jul-90
Carolin DIETRICH,1499.6122438490752,5,2012,GER,26-Feb-85
Latoya GREAVES,1499.6037417979674,1,2012,JAM,31-May-86
Audrey CIREDEM,1499.5803702850055,1,2015,FRA,30-Apr-95
Eveline REBSAMEN,1499.569455096124,1,2013,SUI,8-Apr-94
Loreal SMITH,1499.5591814467766,3,2012,USA,12-Oct-85
Nevin YANIT,1499.5276237096425,3,2011,TUR,16-Feb-86
Yevheniya SNIHUR,1499.5059701566156,5,2011,UKR,7-Mar-84
Tale ØRVING,1499.4782868500668,2,2011,NOR,17-Mar-89
Aisseta DIAWARA,1499.4690886990757,1,2012,FRA,29-Jun-89
Rosvitha Bodjiho OKOU,1499.4615091291157,2,2013,CIV,5-Sep-86
Stephanie GAYNOR,1499.4560577881193,1,2011,GBR,27-Sep-90
Lauren SMITH,1499.4506965292449,1,2011,USA,27-Aug-81
Lene MYRMEL,1499.4405820019233,1,2011,NOR,18-May-85
