Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Hyvin KIYENG,1620.7742347228464,14,2015,KEN,13-Jan-92
Habiba GHRIBI,1615.914855890386,18,2015,TUN,9-Apr-84
Hiwot AYALEW,1581.3868674612036,28,2015,ETH,6-Mar-90
Virginia NYAMBURA,1579.4676615836902,9,2015,KEN,20-Jul-93
Sofia ASSEFA,1558.1950428273467,41,2015,ETH,14-Nov-87
Milcah CHEMOS,1551.4872113964461,30,2014,KEN,24-Feb-86
Emma COBURN,1540.473214871439,17,2015,USA,19-Oct-90
Gesa Felicitas KRAUSE,1525.2986988450511,18,2015,GER,3-Aug-92
Stephanie GARCIA,1514.8934402475556,10,2015,USA,3-May-88
Ruth JEBET,1512.7322140252372,5,2015,BRN,17-Nov-96
Lalita BABAR,1510.452518825902,2,2015,IND,2-Jun-89
Purity KIRUI,1510.2286473935205,15,2015,KEN,13-Aug-91
Lidya CHEPKURUI,1507.9440870566114,25,2015,KEN,23-Aug-84
Madeleine HEINER,1506.967264129888,4,2015,AUS,15-May-87
Etenesh DIRO,1506.90788875411,20,2015,ETH,10-May-91
Mercy Wanjiku NJOROGE,1505.9498201766107,15,2012,KEN,10-Jun-86
Yuliya ZARIPOVA,1503.1455723377915,2,2010,RUS,26-Apr-86
Antje MÖLDNER-SCHMIDT,1503.051926651906,6,2013,GER,13-Jun-84
Tigest Getent MEKONEN,1502.5778888809782,4,2015,ETH,7-Jul-97
Fadwa SIDI MADANE,1502.3107580603476,2,2015,MAR,20-Nov-94
Valentyna ZHUDINA,1502.0631479076146,3,2013,UKR,12-Mar-83
Gulnara GALKINA,1501.9656088530037,2,2012,RUS,9-Jul-78
Yelena ORLOVA,1501.1591599199337,1,2012,RUS,30-May-80
Ashley HIGGINSON,1501.125987227137,7,2015,USA,17-Mar-89
Zemzem AHMED,1500.4447455551358,2,2012,ETH,27-Dec-84
Salima EL OUALI ALAMI,1500.1810878478288,14,2015,MAR,29-Dec-83
Fionnuala MCCORMACK,1500.0453045055542,4,2011,IRL,24-Sep-84
Valentyna HORPYNYCH-ZHUDINA,1499.72377485163,1,2012,UKR,12-Mar-83
Gülcan MINGIR,1499.5774106841418,2,2012,TUR,21-May-89
Giulia MARTINELLI,1499.556925475314,1,2011,ITA,16-Jun-91
Tina BROWN,1499.5232096383434,1,2010,GBR,22-Aug-76
Shayla HOULIHAN,1499.4064862193318,1,2010,USA,26-Feb-85
Ulrika FLODIN,1499.390490283171,1,2010,SWE,9-Feb-75
Lyudmila REMESLOVA,1499.3582798971656,1,2012,RUS,13-Aug-87
Lydia Chebet ROTICH,1499.3568599503121,21,2013,KEN,8-Aug-88
Hatti ARCHER,1499.3426870183582,2,2011,GBR,2-Feb-82
Caroline TUIGONG,1499.2707704524823,1,2015,KEN,12-Mar-90
Ruth Bosibori NYANGAU,1499.223882188568,1,2013,KEN,2-Jan-88
Zenaide VIEIRA,1499.2000139364557,1,2010,BRA,25-Jun-85
Barbara PARKER,1499.1990199930765,10,2012,GBR,8-Nov-82
Kara JUNE,1499.1712624328457,1,2010,USA,10-Aug-82
Delilah DICRESCENZO,1499.1458539976165,2,2011,USA,9-Feb-83
Christine Kambua MUYANGA,1499.1248338228334,1,2011,KEN,21-Mar-91
Mardrea HYMAN,1499.1011613257192,1,2011,JAM,22-Dec-72
Zhenzhu LI,1498.8984684142602,2,2012,CHN,13-Dec-85
Minori HAYAKARI,1498.877969174629,1,2011,JPN,29-Nov-72
Elizabeth MUENI,1498.8659508143733,2,2010,KEN,28-Dec-91
Helen CLITHEROE,1498.8571298445252,2,2010,GBR,2-Jan-74
Eva ARIAS,1498.7662763890673,1,2011,ESP,8-Oct-80
Elodie OLIVARES,1498.7503900965764,1,2012,FRA,22-May-76
Daisy JEPKEMEI,1498.72173006891,1,2015,KEN,13-Feb-96
Sophie DUARTE,1498.6928285635536,3,2011,FRA,31-Jul-81
Lindsay ALLEN,1498.6907241169333,1,2011,USA,30-Jun-86
Jana SUSSMANN,1498.6729411869492,1,2011,GER,12-Oct-90
Natalya GORCHAKOVA,1498.6426879859437,2,2013,RUS,17-Apr-83
Almaz AYANA,1498.6171054514293,6,2013,ETH,21-Nov-91
Marіya SHATALOVA,1498.2371441697683,1,2015,UKR,1-Mar-89
Emily STEWART,1498.214232040176,1,2012,GBR,24-Dec-91
Phanencer CHEMION,1498.0499920086704,2,2012,KEN,8-Apr-89
Lennie WAITE,1498.0459052255337,1,2013,GBR,4-Feb-86
Clarisse CRUZ,1498.0052691490982,3,2013,POR,9-Jul-78
Magdalyne MASAI,1497.9898290796732,2,2015,KEN,21-Nov-93
Colleen QUIGLEY,1497.9626222276152,3,2015,USA,20-Nov-92
Yuan JIN,1497.9124183303425,1,2012,CHN,11-Feb-88
Svitlana SHMIDT,1497.8150756090854,1,2011,UKR,20-Mar-90
Marcela LUSTIGOVÁ,1497.8145567260608,1,2011,CZE,11-Nov-82
Kaltoum BOUAASAYRIYA,1497.7833083105884,1,2012,MAR,23-Aug-82
Wioletta FRANKIEWICZ,1497.7747005768106,3,2012,POL,9-Jun-77
Ancuţa BOBOCEL,1497.5925390578402,12,2013,ROU,3-Oct-87
Dorcus INZIKURU,1497.5348041692614,3,2012,UGA,2-Feb-82
