Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Kerron CLEMENT,1620.027043406486,29,2016,USA,31-Oct-85
Yasmani COPELLO,1549.2819892292914,11,2016,TUR,15-Apr-87
Javier CULSON,1547.1767048378558,53,2016,PUR,25-Jul-84
Bonface MUCHERU,1541.3356367519432,10,2016,KEN,2-May-92
Nicholas BETT,1535.411139979068,10,2016,KEN,27-Jan-90
Bershawn JACKSON,1534.7911430632973,30,2016,USA,8-May-83
Michael TINSLEY,1531.648776566246,43,2016,USA,21-Apr-84
Rasmus MÄGI,1521.5120295879265,17,2016,EST,4-May-92
Denis KUDRYAVTSEV,1519.3028495878616,5,2015,RUS,13-Apr-92
Thomas BARR,1518.0581953761402,11,2016,IRL,24-Jul-92
Alain-Hervé MFOMKPA,1516.4921073602231,2,2016,SUI,4-Jun-96
Annsert WHYTE,1516.2386778743132,9,2016,JAM,4-Oct-87
LJ VAN ZYL,1514.4027542113522,34,2016,RSA,20-Jul-85
Sergio FERNÁNDEZ,1513.4241661588212,3,2016,ESP,1-Apr-93
Johnny DUTCH,1509.8730778000008,19,2016,USA,20-Jan-89
Cornel FREDERICKS,1509.3106045132918,20,2015,RSA,3-Mar-90
Angelo TAYLOR,1508.7095196480236,17,2012,USA,29-Dec-78
Byron ROBINSON,1508.3532605358714,2,2016,USA,10-May-95
Aron Kipchumba KOECH,1507.8118192716993,5,2016,KEN,27-Jan-90
Emir BEKRIĆ,1506.7890586941344,7,2013,SRB,14-Mar-91
Karsten WARHOLM,1506.374988839254,3,2016,NOR,28-Feb-96
Dany BRAND,1506.2591687825088,1,2016,SUI,23-Feb-96
Jeffery GIBSON,1505.0554117873608,12,2016,BAH,15-Aug-90
Varg KÖNIGSMARK,1505.0405142857144,1,2013,GER,28-Apr-92
Omar CISNEROS,1504.7007227472095,16,2015,CUB,19-Nov-89
Abdelmalik LAHOULOU,1504.2886321524015,5,2016,ALG,7-May-92
David GREENE,1503.569628546482,24,2015,GBR,11-Apr-86
Jordin ANDRADE,1502.6740769848584,2,2016,CPV,5-May-92
Timofey CHALYY,1502.3541313909568,5,2015,RUS,7-Apr-94
Kariem HUSSEIN,1501.6062361112113,13,2016,SUI,4-Jan-89
Brent LARUE,1501.575650124423,2,2012,SLO,26-Apr-87
Joshua ABUAKU,1500.8343191298407,1,2016,GER,7-Jul-96
Brendan COLE,1500.5466167062827,2,2012,AUS,29-May-81
Stanislav MELNYIKOV,1500.2412697945324,4,2012,UKR,26-Feb-87
Silvio SCHIRRMEISTER,1500.2290277534403,1,2012,GER,7-Dec-88
Tetsuya TATENO,1499.9899831036748,1,2012,JPN,5-Aug-91
Sébastien MAILLARD,1499.6532491731791,1,2010,FRA,2-May-81
LaRon BENNETT,1499.620827136378,1,2011,USA,25-Nov-82
Jeshua ANDERSON,1499.6199159818807,4,2013,USA,22-Jun-89
Nathan WOODWARD,1499.6093154054347,3,2012,GBR,17-Oct-89
Mamadou Kasse HANN,1499.597784906809,13,2016,SEN,10-Oct-86
Michal BROŽ,1499.5673232853817,1,2013,CZE,16-Jun-92
Kenneth MEDWOOD,1499.55365088582,3,2012,BIZ,14-Dec-87
Nils DUERINCK,1499.5138524540857,1,2010,BEL,20-Mar-84
Andreas TOTSÅS,1499.4827888610794,1,2010,NOR,1-Jul-81
Bandar Yahya AL SHARAKILI,1499.4825362841357,1,2010,KSA,6-Mar-87
Aleksandr DEREVYAGIN,1499.4062550598278,5,2012,RUS,24-Mar-79
Periklis IAKOVAKIS,1499.3904302389,1,2012,GRE,24-Mar-79
Amaurys VALLE,1499.3488086747652,2,2012,CUB,18-Jan-90
Amaechi MORTON,1499.3339641925763,1,2012,NGR,30-Oct-89
Vyacheslav SAKAYEV,1499.3281302426076,1,2012,RUS,12-Jan-88
Leford GREEN,1499.2192903817,15,2015,JAM,14-Nov-86
Yasuhiro FUEKI,1499.1426559294212,1,2013,JPN,20-Dec-85
