Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Ezekiel KEMBOI,1630.7945607026493,13,2012,KEN,25-May-82
Paul Kipsiele KOECH,1621.5645808847871,20,2012,KEN,10-Nov-81
Brimin Kiprop KIPRUTO,1588.4955084175197,16,2012,KEN,31-Jul-85
Mahiedine MEKHISSI,1570.4008913444393,9,2012,FRA,15-Mar-85
Jairus Kipchoge BIRECH,1547.3515815798246,9,2012,KEN,14-Dec-92
Conseslus KIPRUTO,1544.0065121023372,4,2012,KEN,8-Dec-94
Abel Kiprop MUTAI,1541.1652372566587,7,2012,KEN,2-Oct-88
Roba GARI,1528.8987788121888,14,2012,ETH,12-Apr-82
Evan JAGER,1521.4454579936769,3,2012,USA,8-Mar-89
Bouabdellah TAHRI,1517.9733140865387,4,2011,FRA,20-Dec-78
Willy Rutto KOMEN,1515.8718184528798,1,2011,KEN,22-Dec-87
Hamid EZZINE,1514.5898113125918,4,2012,MAR,5-Oct-83
Richard Kipkemboi MATEELONG,1514.4397532068324,12,2012,KEN,14-Oct-83
Brahim TALEB,1509.2851225706343,4,2012,MAR,16-Feb-85
Benjamin KIPLAGAT,1507.35392505324,14,2012,UGA,4-Mar-89
Brian OLINGER,1504.0384692637494,2,2011,USA,2-Jun-83
Linus Kipwambok CHUMBA,1503.9387910010198,5,2011,KEN,9-Feb-80
Hillary Kipsang YEGO,1503.262604654745,9,2012,KEN,2-Apr-92
Donald CABRAL,1502.70353108274,4,2012,USA,12-Dec-89
Víctor GARCÍA,1501.5649581226323,1,2011,ESP,13-Mar-85
Bernard NGANGA,1500.3353501904953,5,2012,KEN,17-Jan-85
Ivan LUKYANOV,1500.0708497624576,8,2012,MDA,31-Jan-81
Saif Saaeed SHAHEEN,1499.8475632694026,1,2010,QAT,15-Oct-82
Albert Kiptoo YATOR,1499.7850053547709,1,2010,KEN,6-Sep-93
Jacob ARAPTANY,1499.3217298433924,4,2012,UGA,11-Feb-92
Anthony FAMIGLIETTI,1498.7760145541215,1,2010,USA,8-Nov-78
Michael KIPYEGO,1498.5786720094711,4,2010,KEN,2-Oct-83
Bisluke Kipkorir KIPLAGAT,1498.5780865524985,1,2010,KEN,8-Aug-88
Patrick Kipyegon TERER,1498.108969416407,1,2010,KEN,6-Jul-89
Nouredine SMAIL,1498.0696941208294,1,2010,FRA,6-Feb-87
Yuri FLORIANI,1497.8080041349444,3,2012,ITA,25-Dec-81
Haron LAGAT,1497.7934636327213,1,2012,KEN,15-Aug-83
Wesley KIPROTICH,1497.6704395205097,1,2010,KEN,1-Aug-79
Mário TEIXEIRA,1497.0964348430737,1,2010,POR,20-Sep-74
Nahom Mesfin TARIKU,1496.8595104982764,6,2012,ETH,3-Jun-89
Luke GUNN,1496.7971364864165,3,2011,GBR,22-Mar-85
Gilbert KIRUI,1496.7934068575107,2,2012,KEN,22-Jan-94
Jukka KESKISALO,1496.6649796629072,4,2012,FIN,27-Mar-81
Nordine GEZZAR,1496.6445073486072,2,2011,FRA,17-Feb-80
Rabie MAKHLOUFI,1496.474887685844,1,2010,ALG,11-Nov-86
Irba LAKHAL,1496.4670358472033,1,2010,FRA,12-Dec-75
James WILKINSON,1496.4576068437298,1,2011,GBR,13-Jul-90
Jonathan Muia NDIKU,1496.2768714960584,6,2012,KEN,18-Sep-91
Scott MACPHERSON,1496.2764416213458,1,2010,USA,27-Feb-87
Tarik Langat AKDAG,1496.1892960127266,12,2012,KEN,16-Jun-88
Hubert POKROP,1496.1383719597918,1,2011,POL,2-Nov-85
Yoann KOWAL,1495.7503958061332,1,2012,FRA,28-May-87
Yang LE,1495.5334556900134,1,2011,CHN,9-Apr-87
Birhan GETAHUN,1495.3893906566586,1,2012,ETH,5-Sep-91
Mohamed-Khaled BELABBAS,1495.2882937092927,4,2012,FRA,4-Jul-81
Mustafa MOHAMED,1495.173648118224,2,2010,SWE,1-Mar-79
Łukasz OSLIZLO,1495.1123666448489,1,2012,POL,14-May-89
Amor BEN YAHIA,1494.3331550597036,2,2012,TUN,1-Jul-85
Xiangqian LIN,1494.2765489969388,1,2011,CHN,27-Jan-87
Nelson KIPKOGEI,1493.9126620552756,1,2012,KEN,9-Mar-93
Mark DRAPER,1493.5777760388557,1,2011,GBR,28-Jun-84
Elijah CHELIMO,1493.5342526335785,7,2012,KEN,20-Apr-87
Tomas TAJADURA JUEZ,1493.2147258019472,1,2011,ESP,25-Jun-85
Nikolay CHAVKIN,1493.127379436234,2,2012,RUS,24-Apr-84
José Gregorio PEÑA,1493.0284793249334,1,2012,VEN,12-Jan-87
Abraham CHIRCHIR,1492.7331887425858,3,2011,KEN,1-Aug-80
Rob MULLETT,1492.491448552063,1,2012,GBR,31-Jul-87
Abdelkader HACHLAF,1492.2652376595386,1,2011,MAR,3-Jul-79
Abdelhakim ZILALI,1492.0320241561208,2,2011,FRA,20-Jun-83
Vadim SLOBODENYUK,1491.715256872896,1,2012,UKR,17-Mar-81
Abubaker Ali KAMAL,1491.2748141395455,2,2011,QAT,8-Nov-83
Simon AYEKO,1490.3172020325778,3,2012,UGA,10-May-87
Tanguy PEPIOT,1489.8594628350293,1,2012,FRA,6-Jul-91
Krijn VAN KOOLWIJK,1489.6393632933236,3,2011,BEL,30-Aug-81
Silas Kosgei KITUM,1489.575118846174,7,2012,KEN,25-May-90
Hicham SIGUENI,1489.3520831738883,1,2012,MAR,30-Jan-93
Ali Ahmed AL AMRI,1489.3333357739825,3,2012,KSA,28-Dec-87
Tareq Mubarak TAHER,1489.079423162465,4,2012,BRN,1-Dec-86
Artem KOSINOV,1488.2580461198727,1,2012,KAZ,31-Jul-86
Ruben RAMOLEFI,1488.2574310667337,11,2012,RSA,17-Jul-78
Weynay GHEBRESELASSIE,1487.896117050524,1,2012,ERI,24-Mar-94
Antonio David JIMÉNEZ,1487.0330630081498,4,2012,ESP,18-Feb-77
Daniel HULING,1486.8330472522985,7,2011,USA,16-Jul-83
Mario BAZÁN,1486.1448330005296,1,2012,PER,1-Sep-87
Bjørnar Ustad KRISTENSEN,1486.1334858177788,4,2011,NOR,26-Jan-82
Albert MINCZÉR,1485.6973954120663,1,2012,HUN,1-Oct-86
Kyle ALCORN,1485.1304990174622,4,2012,USA,18-Mar-85
Tomasz SZYMKOWIAK,1484.4429644776092,6,2012,POL,5-Jul-83
Alexandre GENEST,1484.2580327468008,3,2012,CAN,30-Jun-86
Matthew HUGHES,1484.2233619425228,2,2011,CAN,3-Aug-89
Steve SLATTERY,1483.6997443179393,6,2011,USA,14-Aug-80
Ben BRUCE,1483.423780584857,8,2011,USA,10-Sep-82
Andrey FARNOSOV,1483.379400097182,3,2012,RUS,9-Jul-80
Ángel MULLERA,1482.973580333592,4,2012,ESP,20-Apr-84
Abdelaziz MERZOUGUI,1481.9969525478853,1,2012,ESP,30-Aug-91
Stuart STOKES,1479.9688768527658,2,2012,GBR,5-Dec-76
William NELSON,1477.5437559976372,7,2012,USA,11-Sep-84
Łukasz PARSZCZYŃSKI,1475.992019761622,5,2012,POL,4-May-85
Steffen ULICZKA,1474.3653035147313,3,2012,GER,17-Jul-84
Alberto Casimiro PAULO,1473.5211844051862,5,2012,POR,3-Oct-85
Youcef ABDI,1470.3802943705475,9,2012,AUS,7-Dec-77
Vincent ZOUAOUI DANDRIEUX,1468.5008036636757,8,2012,FRA,12-Oct-80
