Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
LaShawn MERRITT,1662.599745161588,16,2013,USA,27-Jun-86
Kirani JAMES,1616.1326558419264,19,2013,GRN,1-Sep-92
Tony MCQUAY,1558.77660355194,11,2013,USA,16-Apr-90
Luguelín SANTOS,1549.3610166503067,17,2013,DOM,12-Nov-92
Jonathan BORLÉE,1538.9811380822975,26,2013,BEL,22-Feb-88
Youssef Ahmed MASRAHI,1526.3522545435255,10,2013,KSA,31-Dec-87
Johan DELASSE,1518.75,1,2013,FRA,14-Nov-84
Jermaine GONZALES,1518.0711307160323,16,2012,JAM,26-Nov-84
Angelo TAYLOR,1517.199685756296,10,2012,USA,29-Dec-78
Josh MANCE,1517.1964365574818,4,2013,USA,21-Mar-92
Pavel MASLÁK,1516.9024503520404,13,2013,CZE,21-Feb-91
Christopher BROWN,1515.7837711215632,20,2013,BAH,15-Oct-78
Rabah YOUSIF,1515.334849423347,9,2012,SUD,11-Dec-86
Jarrin SOLOMON,1513.4374857306077,3,2013,TTO,11-Jan-86
Jeremy WARINER,1512.5408752866317,13,2013,USA,31-Jan-84
Kevin BORLÉE,1512.1360380560286,26,2013,BEL,22-Feb-88
Bryshon NELLUM,1507.950398384533,2,2012,USA,1-May-89
Lalonde GORDON,1506.8063574835585,7,2013,TTO,25-Nov-88
Martyn ROONEY,1504.9795621280314,19,2013,GBR,3-Apr-87
Gary KIKAYA,1504.5401399645682,2,2010,COD,4-Feb-78
Deon LENDORE,1504.1648189451284,3,2013,TTO,28-Oct-92
Steven SOLOMON,1503.6450671534826,3,2012,AUS,16-May-93
Angel CHELALA,1502.6672618895782,1,2013,FRA,23-Aug-89
Rondell BARTHOLOMEW,1501.9187122561502,7,2011,GRN,7-Apr-90
Anderson FREITAS HENRIQUES,1501.9025651562301,3,2013,BRA,3-Mar-92
Demetrius PINDER,1501.5547203002152,7,2012,BAH,13-Feb-89
Isaac MAKWALA,1501.3103390886176,1,2012,BOT,24-Sep-85
Ramon MILLER,1501.3061266894047,6,2013,BAH,17-Feb-87
Ricardo CHAMBERS,1501.3044919228041,5,2011,JAM,7-Oct-84
Matteo GALVAN,1501.2979730750458,3,2013,ITA,24-Aug-88
Andretti BAIN,1501.1742506119735,1,2010,BAH,1-Dec-85
LeJerald BETTERS,1500.8224314347285,2,2010,USA,6-Feb-88
David VERBURG,1500.6402627865605,1,2013,USA,14-May-91
Brian MURPHY,1500.607561999518,1,2012,IRL,16-Sep-82
Dane HYATT,1499.7604570999965,2,2012,JAM,22-Jan-84
Robert TOBIN,1499.5559195219307,1,2010,GBR,20-Dec-83
Taegeon PARK,1499.3611478040207,1,2011,KOR,8-May-91
Oral THOMPSON,1498.8097339189944,1,2010,JAM,11-Dec-82
