Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Beatrice CHEPKOECH,1686.514931348414,25,2019,KEN,6-Jul-91
Emma COBURN,1582.5745075089808,37,2019,USA,19-Oct-90
Hyvin KIYENG,1570.5946294994674,38,2019,KEN,13-Jan-92
Norah JERUTO,1558.924585181755,14,2019,KEN,2-Oct-95
Ruth JEBET,1545.505958371224,19,2017,BRN,17-Nov-96
Courtney FRERICHS,1538.721279766185,13,2019,USA,18-Jan-93
Gesa Felicitas KRAUSE,1537.3550335406078,34,2019,GER,3-Aug-92
Winfred Mutile YAVI,1535.3858892172852,17,2019,BRN,31-Dec-99
Celliphine Chepteek CHESPOL,1529.8382207282407,19,2019,KEN,23-Mar-99
Peruth CHEMUTAI,1522.9783344710168,13,2019,UGA,10-Jul-99
Daisy JEPKEMEI,1514.8471210086645,12,2019,KEN,13-Feb-96
Habiba GHRIBI,1510.2641798841237,25,2018,TUN,9-Apr-84
Hiwot AYALEW,1509.661247603322,29,2016,ETH,6-Mar-90
Sofia ASSEFA,1509.044056849085,54,2017,ETH,14-Nov-87
Etenesh DIRO,1507.2532560479767,30,2017,ETH,10-May-91
Anna Emilie MØLLER,1507.1052895081998,8,2019,DEN,28-Jul-97
Milcah CHEMOS,1506.6727425969793,30,2014,KEN,24-Feb-86
Virginia NYAMBURA,1506.2964911142226,13,2016,KEN,20-Jul-93
Luiza GEGA,1504.2828852989683,7,2019,ALB,5-Nov-88
Genevieve GREGSON,1503.4270305449156,2,2019,AUS,4-Aug-89
Lalita BABAR,1502.8868418224938,5,2016,IND,2-Jun-89
Madeleine HILLS,1502.83770860407,5,2016,AUS,15-May-87
Lydia Chebet ROTICH,1502.6868501922493,24,2016,KEN,8-Aug-88
Fancy CHERONO,1502.36738942696,3,2019,KEN,2-Aug-01
Mekides ABEBE,1501.370534193863,2,2019,ETH,29-Jul-01
Gladys Jerotich KIPKEMOI,1500.9270902684439,10,2016,KEN,15-Oct-86
Madeleine HEINER,1500.9029574312333,4,2015,AUS,15-May-87
Mercy Wanjiku NJOROGE,1500.771096694889,15,2012,KEN,10-Jun-86
Yuliya ZARIPOVA,1500.4076661749777,2,2010,RUS,26-Apr-86
Antje MÖLDNER-SCHMIDT,1500.3955296940867,6,2013,GER,13-Jun-84
Valentyna ZHUDINA,1500.2673839688266,3,2013,UKR,12-Mar-83
Gulnara GALKINA,1500.2547429073493,2,2012,RUS,9-Jul-78
Yelena ORLOVA,1500.1502271256231,1,2012,RUS,30-May-80
Yekaterina IVONINA,1500.0719639525644,1,2019,ANA,14-Jun-94
Zemzem AHMED,1500.0576390239455,2,2012,ETH,27-Dec-84
Fionnuala MCCORMACK,1500.0058714639194,4,2011,IRL,24-Sep-84
Valentyna HORPYNYCH-ZHUDINA,1499.9642012207714,1,2012,UKR,12-Mar-83
Gülcan MINGIR,1499.9452324246645,2,2012,TUR,21-May-89
