Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Milcah CHEMOS,1678.0026540236415,28,2013,KEN,24-Feb-86
Sofia ASSEFA,1594.4101777289607,29,2013,ETH,14-Nov-87
Lidya CHEPKURUI,1594.0127881800001,14,2013,KEN,23-Aug-84
Habiba GHRIBI,1574.4933328612924,11,2013,TUN,9-Apr-84
Hiwot AYALEW,1573.702725485577,15,2013,ETH,6-Mar-90
Etenesh DIRO,1542.5463399835996,13,2013,ETH,10-May-91
Hyvin KIYENG,1519.2132568668017,4,2013,KEN,13-Jan-92
Mercy Wanjiku NJOROGE,1516.5272782683633,15,2012,KEN,10-Jun-86
Yuliya ZARIPOVA,1508.7377009383094,2,2010,RUS,26-Apr-86
Antje MÖLDNER-SCHMIDT,1508.4775740330729,6,2013,GER,13-Jun-84
Emma COBURN,1506.1087465152216,7,2012,USA,19-Oct-90
Valentyna ZHUDINA,1505.7309664100405,3,2013,UKR,12-Mar-83
Gulnara GALKINA,1505.4600245916777,2,2012,RUS,9-Jul-78
Purity KIRUI,1503.6055831226686,7,2013,KEN,13-Aug-91
Yelena ORLOVA,1503.2198886664823,1,2012,RUS,30-May-80
Gesa Felicitas KRAUSE,1501.9712695639582,12,2013,GER,3-Aug-92
Zemzem AHMED,1501.2354043198218,2,2012,ETH,27-Dec-84
Amina BETTICHE,1501.095597036467,1,2013,ALG,14-Dec-87
Fionnuala MCCORMACK,1500.1258458487619,4,2011,IRL,24-Sep-84
Valentyna HORPYNYCH-ZHUDINA,1499.2327079211948,1,2012,UKR,12-Mar-83
Gülcan MINGIR,1498.8261407892828,2,2012,TUR,21-May-89
Giulia MARTINELLI,1498.7692374314283,1,2011,ITA,16-Jun-91
Tina BROWN,1498.6755823287315,1,2010,GBR,22-Aug-76
Shayla HOULIHAN,1498.351350609255,1,2010,USA,26-Feb-85
Ulrika FLODIN,1498.3069174532525,1,2010,SWE,9-Feb-75
Lyudmila REMESLOVA,1498.2174441587936,1,2012,RUS,13-Aug-87
Lydia Chebet ROTICH,1498.2134998619779,21,2013,KEN,8-Aug-88
Hatti ARCHER,1498.1741306065512,2,2011,GBR,2-Feb-82
Ruth Bosibori NYANGAU,1497.844117190467,1,2013,KEN,2-Jan-88
Zenaide VIEIRA,1497.7778164901547,1,2010,BRA,25-Jun-85
Barbara PARKER,1497.7750555363232,10,2012,GBR,8-Nov-82
Kara JUNE,1497.697951202349,1,2010,USA,10-Aug-82
Delilah DICRESCENZO,1497.6273722156016,2,2011,USA,9-Feb-83
Christine Kambua MUYANGA,1497.5689828412037,1,2011,KEN,21-Mar-91
Eunice JEPKORIR,1497.5678826235924,1,2012,KEN,17-Feb-82
Mardrea HYMAN,1497.5032259047762,1,2011,JAM,22-Dec-72
Zhenzhu LI,1496.9401900396115,2,2012,CHN,13-Dec-85
Minori HAYAKARI,1496.8832477073033,1,2011,JPN,29-Nov-72
Elizabeth MUENI,1496.8498633732588,2,2010,KEN,28-Dec-91
Helen CLITHEROE,1496.8253606792368,2,2010,GBR,2-Jan-74
Eva ARIAS,1496.5729899696316,1,2011,ESP,8-Oct-80
Elodie OLIVARES,1496.5288613793796,1,2012,FRA,22-May-76
Sophie DUARTE,1496.3689682320937,3,2011,FRA,31-Jul-81
Lindsay ALLEN,1496.3631225470372,1,2011,USA,30-Jun-86
Jana SUSSMANN,1496.3137255193033,1,2011,GER,12-Oct-90
Natalya GORCHAKOVA,1496.2296888498436,2,2013,RUS,17-Apr-83
Almaz AYANA,1496.158626253971,6,2013,ETH,21-Nov-91
Genevieve LACAZE,1495.4661115881916,1,2012,AUS,4-Aug-89
Emily STEWART,1495.039533444933,1,2012,GBR,24-Dec-91
Jamie CHEEVER,1494.9969063715394,1,2013,USA,28-Feb-87
