Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Janeth JEPKOSGEI,1566.332084086298,6,2010,KEN,13-Dec-83
Alysia MONTAÑO,1539.7762519747973,5,2010,USA,23-Apr-86
Halima HACHLAF,1530.9191967560967,3,2010,MAR,6-Sep-88
Mariya SAVINOVA,1526.9591390189544,1,2010,RUS,13-Aug-85
Anna BALAKSHINA,1523.3357142857142,1,2010,RUS,22-Nov-86
Caster SEMENYA,1510.8160313233088,1,2010,RSA,7-Jan-91
Nancy Jebet LANGAT,1509.8789247945178,1,2010,KEN,22-Aug-81
Jemma SIMPSON,1509.2747372662266,4,2010,GBR,10-Feb-84
Jennifer MEADOWS,1506.6903808085133,5,2010,GBR,17-Apr-81
Morgan UCENY,1503.7544944098581,1,2010,USA,10-Mar-85
Christin WURTH-THOMAS,1501.3669648666728,1,2010,USA,11-Jul-80
Yuliya KREVSUN,1501.060217077309,2,2010,UKR,8-Dec-80
Cherono KOECH,1501.0005870011678,1,2010,KEN,8-Dec-92
Lucia HRIVNÁK,1499.500204722859,1,2010,SVK,20-Nov-83
Winny CHEBET,1498.3885323141462,2,2010,KEN,20-Dec-90
Anna WILLARD,1498.3840090179483,4,2010,USA,31-Mar-84
Phoebe WRIGHT,1498.294300506274,2,2010,USA,30-Aug-88
Angelika CICHOCKA,1497.9968670619537,1,2010,POL,15-Mar-88
Ingvill MÅKESTAD BOVIM,1497.9968670619537,1,2010,NOR,7-Aug-81
Eglė BALČIŪNAITĖ,1497.303322654541,2,2010,LTU,31-Oct-88
Lisa DOBRISKEY,1497.2986779342268,1,2010,GBR,23-Dec-83
Renata PLIŚ,1495.9096277708363,1,2010,POL,5-Feb-85
Celia TAYLOR,1495.9096277708363,1,2010,GBR,22-Jan-77
Victoria GRIFFITHS,1495.1100388667396,1,2010,GBR,9-Oct-84
Maryam Yusuf JAMAL,1494.797305427625,1,2010,BRN,16-Sep-84
Tintu LUKKA,1494.5825651694843,1,2010,IND,26-Apr-89
Emma JACKSON,1494.197129701785,1,2010,GBR,7-Jun-88
Daniela REINA,1493.6449896369768,1,2010,ITA,15-May-81
Hind DEHIBA CHAHYD,1493.5517681222982,1,2010,FRA,17-Mar-79
Elisa CUSMA,1492.8539418557789,3,2010,ITA,24-Jul-81
Hazel CLARK,1492.2506795294655,1,2010,USA,3-Oct-77
Yong LI,1492.1431541513462,1,2010,CHN,18-Jun-88
Ewelina SĘTOWSKA-DRYK,1492.1431541513462,1,2010,POL,5-Mar-80
Shannon ROWBURY,1492.0652941755102,1,2010,USA,19-Sep-84
Kenia SINCLAIR,1492.0324410921426,3,2010,JAM,14-Jul-80
Marilyn OKORO,1491.9339265618732,2,2010,GBR,23-Sep-84
Haiyan ZHOU,1488.9089567072942,1,2010,CHN,3-Jan-90
Susan KRUMINS,1488.9089567072942,1,2010,NED,8-Jul-86
Pamela JELIMO,1483.9080195393362,2,2010,KEN,5-Dec-89
Yvonne HAK,1479.5005440711666,2,2010,NED,30-Jun-86
Neisha BERNARD-THOMAS,1475.0207222890883,4,2010,GRN,21-Jan-81
Maggie VESSEY,1464.2996517584372,5,2010,USA,23-Dec-81
