Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Amantle MONTSHO,1666.1294477506267,19,2011,BOT,4-Jul-83
Allyson FELIX,1600.0948498314833,10,2011,USA,18-Nov-85
Francena MCCORORY,1535.8117016451743,7,2011,USA,20-Oct-88
Sanya RICHARDS-ROSS,1528.3459963208022,8,2011,USA,26-Feb-85
Rose-Marie WHYTE-ROBINSON,1526.9862891895402,7,2011,JAM,8-Sep-86
Novlene WILLIAMS-MILLS,1514.9478949984323,17,2011,JAM,26-Apr-82
Debbie DUNN,1513.2347731457485,13,2011,USA,26-Mar-78
Antonina KRIVOSHAPKA,1510.9015291704059,7,2011,RUS,21-Jul-87
Jessica BEARD,1508.6605566532078,3,2011,USA,8-Jan-89
Ndeye SOUMAH FATOU,1507.2083268794004,2,2011,SEN,6-Apr-86
Nataliya PYHYDA,1506.4378184510047,2,2011,UKR,30-Jan-81
Patricia HALL,1502.6179740674945,1,2011,JAM,16-Oct-82
Shericka WILLIAMS,1501.8376770942755,16,2011,JAM,17-Sep-85
Shereefa LLOYD,1500.627576589805,1,2010,JAM,2-Sep-82
Moa HJELMER,1499.587655898495,2,2011,SWE,19-Jun-90
Antonina YEFREMOVA,1498.2740569689518,1,2011,UKR,19-Jul-81
Aliann Tabitha POMPEY,1498.2110912330222,1,2011,GUY,9-Mar-78
Marta MILANI,1497.787598137424,3,2011,ITA,9-Mar-87
Lashinda DEMUS,1497.4281075507683,1,2010,USA,10-Mar-83
Kseniya ZADORINA,1497.2841688063806,1,2011,RUS,2-Mar-87
Geisa Aparecida COUTINHO,1496.7060914048484,2,2011,BRA,1-Jun-80
DeeDee TROTTER,1496.3509614960644,1,2010,USA,8-Dec-82
Joanne CUDDIHY,1494.2182361446626,1,2011,IRL,11-May-84
Aymeé MARTÍNEZ,1494.2058393868238,1,2011,CUB,17-Nov-88
Victoria BARR,1493.8379414193046,1,2010,GBR,14-Apr-82
Graciela MARTINS,1493.7791542633213,1,2011,GBS,5-Apr-87
Keshia KIRTZ,1493.6408817990568,1,2010,USA,30-Jan-88
Natalya NAZAROVA,1493.6079955851956,1,2010,RUS,26-May-79
Vanya STAMBOLOVA,1493.3849996165952,1,2010,BUL,28-Nov-83
Melocia CLARKE,1493.3459562219177,1,2010,JAM,3-Apr-79
Christine DAY,1493.3453740243765,1,2010,JAM,23-Aug-86
Perri SHAKES-DRAYTON,1493.1610376264953,2,2011,GBR,21-Dec-88
Daysurami BONNE,1492.908424989534,1,2011,CUB,9-Mar-88
Kseniya KARANDYUK,1492.883198925927,1,2011,UKR,21-Jun-86
Maris MÄGI,1492.587583812683,2,2011,EST,11-Aug-87
Janin LINDENBERG,1492.5339394002033,1,2011,GER,20-Jan-87
Amy Mbacké THIAM,1492.4111258989979,1,2011,SEN,10-Nov-76
Natasha HASTINGS,1491.5999806128655,5,2011,USA,23-Jul-86
Tjipekapora HERUNGA,1490.9509876947968,1,2011,NAM,1-Jan-88
Nicola SANDERS,1490.2342678845416,3,2011,GBR,23-Jun-82
Floria GUEI,1489.2140183406054,1,2011,FRA,2-May-90
Anna RYZHYKOVA,1489.0001454087392,1,2011,UKR,24-Nov-89
Lee MCCONNELL,1488.7911606848352,3,2011,GBR,9-Oct-78
Racheal NACHULA,1488.6292402053655,2,2011,ZAM,14-Jan-90
Davita PRENDERGAST,1487.93666624159,3,2011,JAM,16-Dec-84
Fantu MAGISO,1487.6464469490252,2,2011,ETH,9-Jun-92
Norma GONZÁLEZ,1486.9967144548277,2,2011,COL,11-Aug-82
Denisa ROSOLOVÁ,1486.1904644480287,7,2011,CZE,21-Aug-86
Ambwene SIMUKONDA,1486.1900704321483,1,2011,MAW,23-Mar-84
Libania GRENOT,1486.1757509491817,2,2011,ITA,12-Jul-83
Sandrine THIÉBAUD-KANGNI,1486.026949585626,1,2011,TOG,21-Apr-76
Evodie Lydie SARAMANDJI,1485.1088917677398,1,2011,CAF,3-Aug-83
Betty BURUA,1485.0878700480675,1,2011,PNG,24-Nov-86
Alaa Hikmat AL QAYSI,1484.4452915786665,1,2011,IRQ,14-Sep-85
Kseniya AKSYONOVA,1483.922470379916,2,2011,RUS,14-Jan-88
Christine OHURUOGU,1483.90711936737,4,2011,GBR,17-May-84
Monica HARGROVE,1483.2301339939913,4,2011,USA,30-Dec-82
Muriel HURTIS,1478.9359557637817,3,2011,FRA,25-Mar-79
Shana COX,1474.4555708098385,4,2011,USA,22-Jan-85
