Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Asbel KIPROP,1619.5358697319468,24,2013,KEN,30-Jun-89
Silas KIPLAGAT,1589.0540590403411,23,2013,KEN,20-Aug-89
Ayanleh SOULEIMAN,1566.5665687144165,7,2013,DJI,3-Dec-92
Nixon Kiplimo CHEPSEBA,1547.787927653808,21,2013,KEN,12-Dec-90
Matthew CENTROWITZ,1543.0526719381855,16,2013,USA,18-Oct-89
Taoufik MAKHLOUFI,1536.0976879775174,9,2012,ALG,29-Apr-88
Mekonnen GEBREMEDHIN,1534.7888322910344,26,2013,ETH,11-Oct-88
Aman WOTE,1529.1684099323245,6,2013,ETH,18-Apr-84
Johan CRONJE,1528.095053901358,6,2013,RSA,13-Apr-82
Hicham BENGHERDA,1527.178896103896,1,2013,ALG,1-Apr-83
Caleb Mwangangi NDIKU,1517.3523831093867,6,2013,KEN,9-Oct-92
Henrik INGEBRIGTSEN,1515.8749776778595,10,2013,NOR,24-Feb-91
Homiyu TESFAYE,1514.4256677718272,4,2013,GER,23-Jun-93
Mo FARAH,1513.7545626485007,1,2013,GBR,23-Mar-83
Amine LAALOU,1512.9836427582557,5,2011,MAR,13-May-82
Bernard LAGAT,1512.1589532059215,5,2013,USA,12-Dec-74
Bethwell BIRGEN,1511.8956945821571,12,2013,KEN,6-Aug-88
Manuel OLMEDO,1510.630172780722,5,2011,ESP,17-May-83
Nicholas Kiptanui KEMBOI,1510.0581543178114,6,2012,KEN,18-Dec-89
Tarik THABET,1509.6398398283495,1,2013,FRA,20-Feb-80
Ilham Tanui ÖZBILEN,1507.971641925203,10,2013,KEN,5-Mar-90
Mohamed MOUSTAOUI,1506.4326974505452,14,2013,MAR,2-Apr-85
Collins CHEBOI,1504.6607763512434,11,2013,KEN,25-Sep-87
Hillary Kipkorir MAIYO,1504.6312417492231,1,2011,KEN,2-Oct-93
Taoufick MANAR,1503.8357892159383,1,2013,FRA,10-Sep-88
Nathan BRANNEN,1503.4539185023018,7,2013,CAN,8-Sep-82
David TORRENCE,1503.425863043583,2,2012,USA,26-Nov-85
James Kiplagat MAGUT,1502.5384680098878,3,2013,KEN,20-Jul-90
Imad TOUIL,1502.30078648059,1,2011,ALG,11-Feb-89
Lopez LOMONG,1502.2996289773291,6,2013,USA,1-Jan-85
Yusuf Saad KAMEL,1502.1670859535986,2,2011,BRN,29-Mar-83
Haron KEITANY,1501.2831517581476,3,2011,KEN,17-Dec-83
Andrew BADDELEY,1501.2103808697802,6,2012,GBR,20-Jun-82
Jack BOLAS,1501.13853837852,1,2011,USA,1-Nov-87
Nick WILLIS,1500.9512586187939,14,2013,NZL,25-Apr-83
Mehdi BAALA,1500.876214201182,4,2011,FRA,17-Aug-78
Sylvain QUIRION,1500.8522242048111,1,2013,FRA,8-Jun-88
Lawi LALANG,1500.564442460472,1,2013,KEN,15-Jun-91
Stefan EBERHARDT,1500.4267861508213,1,2011,GER,12-Jan-85
Thomas CHAMNEY,1500.1779517188145,1,2010,IRL,16-Apr-84
Abdelaati IGUIDER,1500.0891667265846,18,2013,MAR,25-Mar-87
Fouad EL KAAM,1500.0289966774071,1,2012,MAR,27-May-88
Thomas LANCASHIRE,1499.6878671159943,2,2010,GBR,2-Jul-85
Morten MUNKHOLM,1499.5681171548822,1,2011,DEN,22-Sep-85
Jermaine MAYS,1499.4749387526413,1,2010,GBR,23-Dec-82
Collis BIRMINGHAM,1499.4532157822223,1,2010,AUS,27-Dec-84
Suleiman Kipses SIMOTWO,1499.3501724119674,1,2010,KEN,21-Apr-80
Matt TEGENKAMP,1499.278968652266,1,2010,USA,19-Jan-82
Fekadu DEJENE,1499.2737531207076,1,2011,ETH,29-Dec-92
Anter ZERGUELAINE,1499.1383516577766,2,2010,ALG,4-Jan-85
Kamal BOULAHFANE,1499.0932014863652,1,2010,ALG,1-Jul-76
Ricky STEVENSON,1499.0232249246956,1,2010,GBR,14-Nov-88
Álvaro FERNÁNDEZ CEREZO,1498.9776688005454,1,2010,ESP,7-Apr-81
Florian PERRIN FIEVEZ,1498.966652134361,1,2013,FRA,26-Apr-90
Markos GENETI,1498.9555168408442,1,2010,ETH,7-Jun-84
Demma Daba BIKILA,1498.873072912369,2,2010,ETH,18-Jul-89
Kristof VAN MALDEREN,1498.8283490699723,1,2010,BEL,30-May-83
Boaz Kiplagat LALANG,1498.808266509709,1,2010,KEN,8-Feb-89
Mitchell KEALEY,1498.8060700617104,1,2010,AUS,28-Jan-84
Thomas Solberg EIDE,1498.796410081064,1,2011,NOR,20-Nov-92
Evan JAGER,1498.787836669112,1,2010,USA,8-Mar-89
Eliud KIPCHOGE,1498.6145848994097,1,2010,KEN,5-Nov-84
Alistair Ian CRAGG,1498.591984133022,1,2010,IRL,13-Jun-80
Nick MCCORMICK,1498.4319578061268,2,2010,GBR,11-Sep-81
Andrew WHEATING,1498.3988460483063,5,2012,USA,21-Nov-87
Geoff MARTINSON,1498.3951777506315,2,2011,CAN,26-Mar-86
Sindre BURAAS,1498.3862890426453,1,2011,NOR,8-May-89
Samir DAHMANI,1498.3849127875606,1,2010,FRA,3-Apr-91
Hans Kristian FLØYSTAD,1498.172218734982,1,2011,NOR,3-Apr-89
Mahiedine MEKHISSI,1498.1321451295862,1,2011,FRA,15-Mar-85
Will LEER,1497.9992180773056,2,2012,USA,15-Apr-85
Juan Carlos HIGUERO,1497.9128465017473,3,2011,ESP,3-Aug-78
Eduard VILLANUEVA,1497.9021976328395,4,2012,VEN,29-Dec-84
Abubaker KAKI,1497.8842510094764,2,2012,SUD,21-Jun-89
Otmane BELHARBAZI,1497.868381309776,1,2011,FRA,3-Nov-88
Alan WEBB,1497.8639684623827,1,2012,USA,13-Jan-83
Dorian ULREY,1497.8192218967984,1,2010,USA,11-Jul-87
Lewis MOSES,1497.7896492731861,1,2010,GBR,9-Jan-87
Jeremy ROFF,1497.7185474285952,1,2010,AUS,22-Nov-83
Håkon BROX,1497.6601934023552,1,2011,NOR,18-Jan-85
Romain VOGT,1497.60391137999,1,2013,FRA,26-Dec-87
Remmy Limo NDIWA,1497.5884670484045,3,2011,KEN,3-Feb-88
Colin MCCOURT,1497.567923818433,2,2011,GBR,11-Dec-84
James BREWER,1497.5644451907156,1,2012,GBR,18-Jun-88
Benson SEUREI,1497.333633263604,4,2013,KEN,27-Mar-84
Craig MILLER,1497.26925139512,1,2011,USA,3-Aug-87
Daniel Kipchirchir KOMEN,1497.252886128316,13,2013,KEN,27-Nov-84
Yegor NIKOLAYEV,1497.077293799266,2,2012,RUS,28-Apr-88
James SHANE,1497.0322151844998,1,2011,GBR,18-Dec-89
Alex KIPCHIRCHIR,1497.0214333662932,2,2010,KEN,26-Nov-84
Deresse MEKONNEN,1496.9995124713864,6,2011,ETH,20-Oct-87
Craig MOTTRAM,1496.965311997577,1,2012,AUS,18-Jun-80
Linus KIPLAGAT,1496.8064750585977,1,2012,KEN,23-Dec-94
Andrew J. ACOSTA,1496.6372380342887,1,2012,USA,13-Apr-88
Shouchun WEI,1496.5110017802954,1,2011,CHN,29-Aug-88
Nicolas RIFFLARD,1496.5086438146027,1,2013,FRA,27-Oct-90
Jeffrey RISELEY,1496.2911064779519,4,2011,AUS,11-Nov-86
Jeroen D'HOEDT,1496.2773877981117,1,2011,BEL,10-Jan-90
Hamish CARSON,1496.225405385113,1,2012,NZL,1-Nov-88
Chaminda Indika WIJEKOON,1496.2235928292353,2,2011,SRI,15-Sep-81
Morten VELDE,1495.8692401166454,2,2011,NOR,19-Dec-84
Geoffrey Kipkoech RONO,1495.861387967284,6,2011,KEN,21-Apr-87
Ryan MCNIFF,1495.6776401408415,1,2012,USA,13-Jan-88
Mohammed Ayoub TIOUALI,1495.6769645995105,1,2013,MAR,26-May-91
Gideon GATHIMBA,1495.5878825825948,4,2012,KEN,9-Mar-80
Yann LOMBARDOT,1495.538082780918,1,2013,FRA,18-May-89
Ribeiro PINTO DE CARVALHO,1495.4965477022702,1,2011,TLS,2-Feb-93
Diego RUIZ,1495.4920786249256,4,2012,ESP,5-Feb-82
Jakub HOLUŠA,1495.4797673015491,2,2013,CZE,20-Feb-88
Pieter-Jan HANNES,1495.4692624018166,1,2013,BEL,30-Oct-92
Elijah Kipchirchir KIPTOO,1495.1815823848347,2,2012,KEN,9-Jun-86
Charles DELYS,1495.1339704066258,1,2011,FRA,9-Apr-82
Zakaria MAZOUZI,1495.0708821206813,2,2013,MAR,15-Jun-85
Hamza DRIOUCH,1495.0686022522063,3,2012,QAT,16-Nov-94
Álvaro RODRÍGUEZ,1494.9863012814922,3,2012,ESP,25-May-87
Chris O'HARE,1494.9737212671237,4,2013,GBR,23-Nov-90
Dmitrijs JURKEVIČS,1494.7725232007313,2,2012,LAT,7-Jan-87
Sang-min SHIN,1494.7333961625832,1,2011,KOR,27-Jul-86
Hillary Cheruiyot NGETICH,1494.609896934946,1,2012,KEN,15-Sep-95
Guillaume TABARY,1494.586041200971,1,2013,FRA,13-Jan-85
Ismael Kipngetich KOMBICH,1494.5586916323166,3,2011,KEN,16-Jan-85
Russell BROWN,1494.3860561705476,2,2012,USA,6-Mar-85
Ross MURRAY,1494.1490409493567,2,2012,GBR,8-Oct-90
Nick SYMMONDS,1494.031009504019,1,2013,USA,30-Dec-83
Peter VAN DER WESTHUIZEN,1494.020278175674,4,2012,RSA,21-Dec-84
