Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Christian COLEMAN,1591.641343558421,15,2019,USA,6-Mar-96
Justin GATLIN,1562.2806251024615,53,2019,USA,10-Feb-82
Noah LYLES,1544.7169039836392,7,2019,USA,18-Jul-97
Akani SIMBINE,1539.775895777717,39,2020,RSA,21-Sep-93
Yohan BLAKE,1537.9235082188065,41,2019,JAM,26-Dec-89
Ronnie BAKER,1537.525069036716,11,2018,USA,15-Oct-93
André DE GRASSE,1532.2206877347048,20,2019,CAN,10-Nov-94
Zharnel HUGHES,1525.5198238272365,11,2019,GBR,13-Jul-95
Usain BOLT,1525.4168130239095,34,2017,JAM,21-Aug-86
Zhenye XIE,1514.9727254842596,15,2019,CHN,17-Aug-93
Paweł WIESIOŁEK,1514.0014285714285,1,2019,POL,13-Aug-91
Janek ÕIGLANE,1514.0014285714285,1,2019,EST,25-Apr-94
Damian WARNER,1513.23,1,2019,CAN,4-Nov-89
Adam GEMILI,1511.4117621392763,22,2019,GBR,6-Oct-93
Ben Youssef MEITÉ,1510.4319817708829,25,2018,CIV,11-Nov-86
Asafa POWELL,1509.030164986118,35,2017,JAM,23-Nov-82
Aaron BROWN,1508.5009623727306,12,2019,CAN,27-May-92
Filippo TORTU,1508.1870836219196,7,2020,ITA,15-Jun-98
Reece PRESCOD,1506.4936062871677,12,2019,GBR,29-Feb-96
Tyson GAY,1506.132038141507,22,2016,USA,9-Aug-82
Jak Ali HARVEY,1506.1093215384985,14,2018,JAM,4-May-89
Raymond EKEVWO,1505.7625302377628,2,2019,NGR,23-Mar-99
Michael RODGERS,1504.734741041929,81,2020,USA,24-Apr-85
Kai KAZMIREK,1503.955022715098,1,2019,GER,28-Jan-91
Ilya SHKURENYOV,1503.955022715098,1,2019,ANA,11-Jan-91
Jimmy VICAUT,1503.809123184768,47,2019,FRA,27-Feb-92
Trayvon BROMELL,1503.342963459907,6,2016,USA,10-Jul-95
Pierce LEPAGE,1503.3186266120301,1,2019,CAN,22-Jan-96
Marvin BRACY,1502.9868553526942,7,2016,USA,15-Dec-93
