Athlete,Rating,Number Of Races
Almaz AYANA,1577.5261637429692,1
Vivian Jepkemoi CHERUIYOT,1558.923625509331,2
Tirunesh DIBABA,1522.900737373057,1
Gelete BURKA,1515.4274797620965,2
Alice Aprot NAWOWUNA,1514.861902969168,1
Molly HUDDLE,1511.1174075619551,2
Betsy SAINA,1510.0953848977765,2
Emily INFELD,1506.8524004017336,2
Yasemin CAN,1505.355176858096,1
Sally KIPYEGO,1503.0909781284886,1
Karoline Bjerkeli GRØVDAL,1502.2233521683443,1
Shalane FLANAGAN,1501.5882720220977,1
Eloise WELLINGS,1500.9867757633692,1
Alemitu HAROYE,1500.4859049841034,1
Sarah LAHTI,1499.1348841067002,1
Belaynesh OLJIRA,1498.9448009987236,1
Diane NUKURI,1498.290352643372,1
Sara MOREIRA,1497.434943086586,1
Joanne PAVEY,1497.0456917464994,1
Kasumi NISHIHARA,1497.035503322183,1
Jessica MARTIN,1496.5308351891156,1
Susan KRUMINS,1496.3297957887544,2
Kate AVERY,1496.3060352340485,1
Alexi PAPPAS,1496.0078395971416,1
Juliet CHEKWEL,1495.6014742016573,1
Darya MASLOVA,1495.1530544790724,1
Dulce FÉLIX,1494.8356712095433,1
Hanami SEKINE,1494.7957831450935,1
Dominique SCOTT,1494.3637540727618,1
Almenesh BELETE,1493.8605342224164,1
Alia SAEED MOHAMMED,1493.6284525770857,1
Sitora KHAMIDOVA,1493.2943894672057,1
Rei OHARA,1493.1830083770942,1
Salomé ROCHA,1492.5627003713134,1
Salomé NYIRARUKUNDO,1492.1790904501393,1
Yuka TAKASHIMA,1490.980922918664,2
Veronica INGLESE,1490.7479131388754,1
Nazret WELDU,1490.236925655966,1
Tatiele Roberta DE CARVALHO,1490.1438983767873,1
Jip VASTENBURG,1489.9039965216316,2
Lanni MARCHANT,1488.9020986877335,2
Marielle HALL,1488.4168960215475,1
Trihas GEBRE,1487.7718387536074,2
Natasha WODAK,1487.4742550968485,2
Elizabeth POTTER,1486.9694030830588,1
Brenda FLORES,1486.4724697006714,2
Marisol ROMERO ROSALES,1484.025225615513,1
