Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Shelly-Ann FRASER-PRYCE,1677.8358465798806,27,2013,JAM,27-Dec-86
Carmelita JETER,1596.4752643795125,33,2013,USA,24-Nov-79
Blessing OKAGBARE-IGHOTEGUONOR,1588.6697799391466,29,2013,NGR,9-Oct-88
Murielle AHOURÉ,1576.3723639468465,16,2013,CIV,23-Aug-87
Kerron STEWART,1553.364855560606,21,2013,JAM,16-Apr-84
Veronica CAMPBELL-BROWN,1547.1312946987964,15,2013,JAM,15-May-82
Alexandria ANDERSON,1538.847843215202,12,2013,USA,28-Jan-87
Kelly-Ann BAPTISTE,1533.850322771193,18,2012,TTO,14-Oct-86
English GARDNER,1531.7098368999607,6,2013,USA,22-Apr-92
Tianna BARTOLETTA,1528.7677353506926,8,2013,USA,30-Aug-85
Ivet LALOVA-COLLIO,1527.9198826094364,16,2013,BUL,18-May-84
Allyson FELIX,1524.3110023009453,7,2013,USA,18-Nov-85
Aleen BAILEY,1521.4044189402211,12,2013,JAM,25-Nov-80
Stella AKAKPO,1518.170458061428,2,2013,FRA,28-Feb-94
Octavious FREEMAN,1515.22742128811,3,2013,USA,20-Apr-92
Ana Claudia LEMOS,1512.340990136569,5,2013,BRA,6-Nov-88
Rosângela SANTOS,1512.1978354363055,4,2012,BRA,20-Dec-90
Marshevet HOOKER,1510.8744700356278,11,2013,USA,25-Sep-84
LaVerne JONES-FERRETTE,1507.4500387911917,3,2012,ISV,16-Sep-81
Barbara PIERRE,1506.8396762617376,6,2013,USA,28-Apr-87
Verena SAILER,1506.2552375731561,10,2013,GER,16-Oct-85
Carrie RUSSELL,1504.562836480834,6,2013,JAM,18-Oct-90
Patricia BUVAL,1504.2582521472477,1,2013,FRA,22-Jan-76
Sheniqua FERGUSON,1502.7179159078134,6,2013,BAH,24-Nov-89
Lekeisha LAWSON,1501.5594335183087,1,2013,USA,3-Jun-87
Olga BELKINA,1501.254802856128,1,2012,RUS,23-Aug-90
Ángela Gabriela TENORIO,1501.133303961078,1,2013,ECU,27-Jan-96
Nelky CASABONA,1500.9855297453228,1,2011,CUB,12-May-84
Jura LEVY,1500.5491144120629,3,2011,JAM,4-Nov-90
Guzel KHUBBIEVA,1500.5135178892144,2,2012,UZB,2-May-76
Tameka WILLIAMS,1500.1816649847938,1,2012,SKN,31-Aug-89
Chandra STURRUP,1500.0578728029705,5,2010,BAH,12-Sep-71
Aleksandra FEDORIVA-SPAYER,1499.866579204127,2,2011,RUS,13-Sep-88
Charonda WILLIAMS,1499.810285389839,4,2013,USA,27-Mar-87
Leena GÜNTHER,1499.336858056231,1,2011,GER,16-Apr-91
Me'Lisa BARBER,1499.3243232853815,1,2010,USA,4-Oct-80
Candyce MCGRONE,1499.3156380864666,2,2011,USA,24-Mar-89
Céline BAUSIVOIR,1498.6623184109499,1,2013,FRA,8-Sep-94
Yujia TAO,1498.3316745769182,1,2010,CHN,16-Feb-87
Oludamola OSAYOMI,1498.2788716991367,4,2012,NGR,26-Jun-86
Consuella MOORE,1498.2239170640332,1,2010,USA,29-Aug-81
Laura TURNER,1498.1407110777031,2,2011,GBR,12-Aug-82
Yasmin KWADWO,1498.0316976840459,2,2011,GER,9-Nov-90
Jeanette KWAKYE,1497.7176163576114,3,2011,GBR,20-Mar-83
Ruddy ZANG MILAMA,1497.691087810344,7,2013,GAB,6-Jun-87
Mikele BARBER,1497.612772359576,11,2013,USA,4-Oct-80
Audrey ALLOH,1497.575451104938,1,2010,ITA,21-Jul-87
Lan JIANG,1497.5681583611608,1,2010,CHN,27-Jun-89
Véronique MANG,1497.3910826017989,4,2012,FRA,15-Dec-84
Shalonda SOLOMON,1497.341245585149,8,2013,USA,19-Dec-85
Jiabei YE,1497.3068089985077,1,2011,CHN,20-Jan-93
Stephanie DURST,1497.1542014816823,1,2011,USA,6-Jan-82
Ching-Hsien LIAO,1497.1414898105454,1,2011,TPE,22-Jun-94
Michelle-Lee AHYE,1497.133560378978,6,2013,TTO,10-Apr-92
Hyelim JUNG,1497.0844198996128,1,2011,KOR,1-Jun-87
LaKya BROOKINS,1497.0001928336696,1,2011,USA,28-Jul-89
Andreea OGRĂZEANU,1496.9029629777297,2,2012,ROU,24-Mar-90
LaShauntea MOORE,1496.8576899100367,6,2012,USA,31-Jul-83
Natalia POHREBNIAK,1496.64479950619,4,2013,UKR,19-Feb-88
Samantha HENRY-ROBINSON,1496.3951110873368,3,2013,JAM,25-Sep-88
Qiuping LIANG,1496.2185153398702,1,2011,CHN,11-Mar-88
Muna LEE,1495.9832058930501,1,2011,USA,30-Oct-81
Joice MADUAKA,1495.9007732734442,2,2010,GBR,30-Sep-73
Katherine ENDACOTT,1495.8987059276833,2,2010,GBR,29-Jan-80
Olga SAFRONOVA,1495.6508456582476,3,2012,KAZ,5-Nov-91
Kellie WELLS,1495.6285354807562,1,2012,USA,16-Jul-82
Amatercia QUIVE,1495.6173748128863,1,2011,MOZ,14-Mar-87
Joanne Priscilla LOUTOY,1495.6131268915979,1,2011,SEY,31-Dec-92
Cynthia LEDUC,1495.3718670619537,1,2013,FRA,16-Feb-97
Chisato FUKUSHIMA,1495.141421858963,3,2012,JPN,27-Jun-88
Hayley MILLS-JONES,1495.1398943458216,1,2012,GBR,4-Sep-88
