Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Silas KIPLAGAT,1607.8657899546097,28,2014,KEN,20-Aug-89
Asbel KIPROP,1583.0505558509983,28,2014,KEN,30-Jun-89
Ayanleh SOULEIMAN,1555.5210096838753,11,2014,DJI,3-Dec-92
Taoufik MAKHLOUFI,1551.497757268356,12,2014,ALG,29-Apr-88
Ronald KWEMOI,1538.6845716152511,2,2014,KEN,19-Sep-95
Matthew CENTROWITZ,1516.3879521420686,18,2014,USA,18-Oct-89
Hicham BENGHERDA,1516.3073376623374,1,2013,ALG,1-Apr-83
Aman WOTE,1515.1225161802463,11,2014,ETH,18-Apr-84
Nixon Kiplimo CHEPSEBA,1511.6272616353074,23,2014,KEN,12-Dec-90
Mekonnen GEBREMEDHIN,1510.4408371721452,28,2014,ETH,11-Oct-88
Caleb Mwangangi NDIKU,1510.4114298656323,6,2013,KEN,9-Oct-92
Mo FARAH,1508.2527375891004,1,2013,GBR,23-Mar-83
Amine LAALOU,1507.7901856549533,5,2011,MAR,13-May-82
Bernard LAGAT,1507.295371923553,5,2013,USA,12-Dec-74
Manuel OLMEDO,1506.3781036684331,5,2011,ESP,17-May-83
Nicholas Kiptanui KEMBOI,1506.034892590687,6,2012,KEN,18-Dec-89
Collins CHEBOI,1505.852174711158,15,2014,KEN,25-Sep-87
Tarik THABET,1505.7839038970096,1,2013,FRA,20-Feb-80
Homiyu TESFAYE,1504.1301644320235,8,2014,GER,23-Jun-93
Mohamed MOUSTAOUI,1503.8596184703274,14,2013,MAR,2-Apr-85
James Kiplagat MAGUT,1503.8270631419823,6,2014,KEN,20-Jul-90
Bethwell BIRGEN,1502.8429229580631,14,2014,KEN,6-Aug-88
Hillary Kipkorir MAIYO,1502.7787450495339,1,2011,KEN,2-Oct-93
Abdelaati IGUIDER,1502.6469825958832,22,2014,MAR,25-Mar-87
Taoufick MANAR,1502.3014735295628,1,2013,FRA,10-Sep-88
Nathan BRANNEN,1502.072351101381,7,2013,CAN,8-Sep-82
David TORRENCE,1502.0555178261498,2,2012,USA,26-Nov-85
Imad TOUIL,1501.380471888354,1,2011,ALG,11-Feb-89
Lopez LOMONG,1501.3797773863976,6,2013,USA,1-Jan-85
Yusuf Saad KAMEL,1501.3002515721591,2,2011,BRN,29-Mar-83
Johan CRONJE,1501.1535157490057,9,2014,RSA,13-Apr-82
Haron KEITANY,1500.7698910548884,3,2011,KEN,17-Dec-83
Andrew BADDELEY,1500.726228521868,6,2012,GBR,20-Jun-82
Jack BOLAS,1500.6831230271118,1,2011,USA,1-Nov-87
Mehdi BAALA,1500.525728520709,4,2011,FRA,17-Aug-78
Sylvain QUIRION,1500.511334522887,1,2013,FRA,8-Jun-88
Lawi LALANG,1500.338665476283,1,2013,KEN,15-Jun-91
Henrik INGEBRIGTSEN,1500.2949979618193,13,2014,NOR,24-Feb-91
Stefan EBERHARDT,1500.2560716904927,1,2011,GER,12-Jan-85
Thomas CHAMNEY,1500.1067710312886,1,2010,IRL,16-Apr-84
Thomas LANCASHIRE,1499.8127202695969,2,2010,GBR,2-Jul-85
Morten MUNKHOLM,1499.7408702929292,1,2011,DEN,22-Sep-85
Jermaine MAYS,1499.6849632515846,1,2010,GBR,23-Dec-82
Nick WILLIS,1499.6789787393143,15,2014,NZL,25-Apr-83
Collis BIRMINGHAM,1499.6719294693335,1,2010,AUS,27-Dec-84
Suleiman Kipses SIMOTWO,1499.6101034471803,1,2010,KEN,21-Apr-80
