Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Dalilah MUHAMMAD,1596.8586787771433,31,2018,USA,7-Feb-90
Janieve RUSSELL,1585.6442708545053,27,2018,JAM,14-Nov-93
Shamier LITTLE,1575.4561728150231,19,2018,USA,20-Mar-95
Kori CARTER,1554.336252435381,11,2017,USA,3-Jun-92
Zuzana HEJNOVÁ,1545.2663956946617,56,2018,CZE,19-Dec-86
Georganne MOLINE,1530.9506013311984,29,2018,USA,6-Mar-90
Anna RYZHYKOVA,1525.1380243882309,20,2018,UKR,24-Nov-89
Lea SPRUNGER,1519.4899950984282,20,2018,SUI,5-Mar-90
Yasmin GIGER,1515.7935378171387,3,2018,SUI,6-Nov-99
Kaliese SPENCER,1513.4268926893628,50,2016,JAM,6-May-87
Ristananna TRACEY,1511.28360704996,21,2018,JAM,9-May-92
Ashley SPENCER,1509.6897496903985,12,2018,USA,8-Jun-93
Petra FONTANIVE,1508.1676609016051,10,2017,SUI,10-Oct-88
Robine SCHÜRMANN,1507.9563802995178,4,2018,SUI,31-Jan-89
Hanne CLAES,1506.2644285043625,1,2018,BEL,4-Aug-91
Perri SHAKES-DRAYTON,1504.9737390827686,22,2013,GBR,21-Dec-88
Sara Slott PETERSEN,1504.5984432240762,30,2018,DEN,9-Apr-87
Melaine WALKER,1502.1020729284787,17,2012,JAM,1-Mar-83
Stina TROEST,1501.3404737945136,4,2016,DEN,17-Jan-94
Solveig VRÅLE,1500.8753614273949,1,2018,NOR,26-Jul-99
T'erea BROWN,1500.86302748747,10,2013,USA,24-Oct-89
Grace CLAXTON,1500.5963233588054,4,2017,PUR,19-Aug-93
Sydney MCLAUGHLIN,1500.3628693910073,2,2016,USA,7-Aug-99
Anastasiya RABCHENYUK,1500.362347010222,5,2011,UKR,14-Sep-83
Yelena CHURAKOVA,1500.0312814168738,6,2012,RUS,16-Dec-86
Elodie OUÉDRAOGO,1499.9694455323586,6,2012,BEL,27-Feb-81
Nagihan KARADERE,1499.9250021598777,1,2011,TUR,1-Jan-84
Anastasiya OTT,1499.9178392895487,1,2013,RUS,7-Sep-88
Vanya STAMBOLOVA,1499.8839169245543,6,2013,BUL,28-Nov-83
Xiaoxiao HUANG,1499.877753923356,1,2012,CHN,3-Mar-83
Fawn DORR,1499.8714981874637,1,2010,USA,19-Apr-87
