Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Beatrice CHEPKOECH,1647.1946699660705,18,2018,KEN,6-Jul-91
Hyvin KIYENG,1598.3465071881137,32,2018,KEN,13-Jan-92
Ruth JEBET,1575.84326395204,19,2017,BRN,17-Nov-96
Emma COBURN,1564.7679026475084,32,2018,USA,19-Oct-90
Norah JERUTO,1555.1453375005244,10,2018,KEN,2-Oct-95
Courtney FRERICHS,1547.0295052694914,10,2018,USA,18-Jan-93
Celliphine Chepteek CHESPOL,1547.0025484402993,13,2018,KEN,23-Mar-99
Gesa Felicitas KRAUSE,1519.2612460480273,28,2018,GER,3-Aug-92
Habiba GHRIBI,1517.1069664735396,25,2018,TUN,9-Apr-84
Hiwot AYALEW,1516.1020793388702,29,2016,ETH,6-Mar-90
Sofia ASSEFA,1515.0734280818085,54,2017,ETH,14-Nov-87
Etenesh DIRO,1512.088760079961,30,2017,ETH,10-May-91
Milcah CHEMOS,1511.1212376616322,30,2014,KEN,24-Feb-86
Virginia NYAMBURA,1510.4941518570377,13,2016,KEN,20-Jul-93
Lalita BABAR,1504.8114030374895,5,2016,IND,2-Jun-89
Madeleine HILLS,1504.7295143401166,5,2016,AUS,15-May-87
Lydia Chebet ROTICH,1504.4780836537489,24,2016,KEN,8-Aug-88
Winfred Mutile YAVI,1502.2096129659099,10,2018,BRN,31-Dec-99
Daisy JEPKEMEI,1501.8684371672668,8,2018,KEN,13-Feb-96
Gladys Jerotich KIPKEMOI,1501.5451504474067,10,2016,KEN,15-Oct-86
Madeleine HEINER,1501.5049290520558,4,2015,AUS,15-May-87
Mercy Wanjiku NJOROGE,1501.2851611581482,15,2012,KEN,10-Jun-86
Yuliya ZARIPOVA,1500.679443624963,2,2010,RUS,26-Apr-86
Antje MÖLDNER-SCHMIDT,1500.6592161568117,6,2013,GER,13-Jun-84
Valentyna ZHUDINA,1500.4456399480446,3,2013,UKR,12-Mar-83
Gulnara GALKINA,1500.4245715122486,2,2012,RUS,9-Jul-78
Yelena ORLOVA,1500.2503785427054,1,2012,RUS,30-May-80
Zemzem AHMED,1500.0960650399093,2,2012,ETH,27-Dec-84
Fionnuala MCCORMACK,1500.0097857731996,4,2011,IRL,24-Sep-84
Valentyna HORPYNYCH-ZHUDINA,1499.9403353679522,1,2012,UKR,12-Mar-83
Gülcan MINGIR,1499.9087207077746,2,2012,TUR,21-May-89
Giulia MARTINELLI,1499.9042959026679,1,2011,ITA,16-Jun-91
Tina BROWN,1499.8970132818824,1,2010,GBR,22-Aug-76
Shayla HOULIHAN,1499.8718010233756,1,2010,USA,26-Feb-85
Ulrika FLODIN,1499.868345901165,1,2010,SWE,9-Feb-75
Lyudmila REMESLOVA,1499.8613884577876,1,2012,RUS,13-Aug-87
Hatti ARCHER,1499.8580203959655,2,2011,GBR,2-Feb-82
Ruth Bosibori NYANGAU,1499.8323585527305,1,2013,KEN,2-Jan-88
Genevieve LACAZE,1499.8280478943434,16,2017,AUS,4-Aug-89
Zenaide VIEIRA,1499.8272030102748,1,2010,BRA,25-Jun-85
Barbara PARKER,1499.8269883185044,10,2012,GBR,8-Nov-82
Kara JUNE,1499.8209926854947,1,2010,USA,10-Aug-82
Delilah DICRESCENZO,1499.815504463485,2,2011,USA,9-Feb-83
Christine Kambua MUYANGA,1499.8109641057317,1,2011,KEN,21-Mar-91
Mardrea HYMAN,1499.805850846355,1,2011,JAM,22-Dec-72
Zhenzhu LI,1499.76206917748,2,2012,CHN,13-Dec-85
Minori HAYAKARI,1499.75764134172,1,2011,JPN,29-Nov-72
Elizabeth MUENI,1499.7550453759047,2,2010,KEN,28-Dec-91
Helen CLITHEROE,1499.7531400464177,2,2010,GBR,2-Jan-74
Eva ARIAS,1499.7335157000384,1,2011,ESP,8-Oct-80
Elodie OLIVARES,1499.7300842608604,1,2012,FRA,22-May-76
Sophie DUARTE,1499.7176509697274,3,2011,FRA,31-Jul-81
Lindsay ALLEN,1499.7171964092577,1,2011,USA,30-Jun-86
Jana SUSSMANN,1499.713355296381,1,2011,GER,12-Oct-90
Natalya GORCHAKOVA,1499.7068206049637,2,2013,RUS,17-Apr-83
Almaz AYANA,1499.7012947775088,6,2013,ETH,21-Nov-91
Emily STEWART,1499.6142741206781,1,2012,GBR,24-Dec-91
Phanencer CHEMION,1499.578798273873,2,2012,KEN,8-Apr-89
Clarisse CRUZ,1499.5691381362053,3,2013,POR,9-Jul-78
Magdalyne MASAI,1499.5658030812097,2,2015,KEN,21-Nov-93
Yuan JIN,1499.549082359354,1,2012,CHN,11-Feb-88
Svitlana SHMIDT,1499.5280563315623,1,2011,UKR,20-Mar-90
Marcela LUSTIGOVÁ,1499.5279442528292,1,2011,CZE,11-Nov-82
Kaltoum BOUAASAYRIYA,1499.5211945950873,1,2012,MAR,23-Aug-82
Wioletta FRANKIEWICZ,1499.5193353245909,3,2012,POL,9-Jun-77
Dorcus INZIKURU,1499.4675177005606,3,2012,UGA,2-Feb-82
Mary BALLINGER,1499.4566247575221,1,2013,USA,5-May-88
Stephanie REILLY,1499.4107428382385,3,2012,IRL,23-Feb-78
Shalaya KIPP,1499.3574010338907,4,2016,USA,19-Aug-90
Annuo YIN,1499.3506132392727,1,2012,CHN,23-Mar-92
Lisa AGUILERA,1499.3100904789144,7,2011,USA,30-Nov-79
Eunice JEPKORIR,1499.174553027874,2,2015,KEN,17-Feb-82
Cristina CASANDRA,1499.1279165642663,4,2012,ROU,1-Feb-77
Helen HOFSTEDE,1499.0645772666771,2,2013,NED,31-Dec-80
Maruša MIŠMAŠ,1499.0521691884574,1,2015,SLO,24-Oct-94
Polina JELIZAROVA,1499.0103163186432,6,2013,LAT,1-May-89
Matylda KOWAL,1498.9961066509436,2,2016,POL,11-Jan-89
Korene HINDS,1498.9763206698403,6,2012,JAM,18-Jan-76
Leah O'CONNOR,1498.7891570359247,2,2016,USA,30-Aug-92
Mei WANG,1498.7748299181476,1,2014,CHN,22-Dec-93
Angela María FIGUEROA,1498.7382785977952,2,2012,COL,28-Jun-84
Sara HALL,1498.72363953577,4,2013,USA,15-Apr-83
Natalya KOLOSKOVA,1498.6461077525562,2,2015,RUS,19-Jul-88
Maria Cristina MANCEBO,1498.6183931771743,1,2014,DOM,29-Aug-91
Rebeka STOWE,1498.566003484658,1,2015,USA,9-Mar-90
Klara BODINSSON,1498.4436370987387,1,2015,SWE,11-Jun-90
Jessica KAMILOS,1498.4419601375498,1,2016,USA,3-Aug-93
Mekdes BEKELE,1498.3108166722268,7,2014,ETH,20-Jan-87
Weynshet ANSA,1498.1994004077417,1,2016,ETH,9-Apr-96
Muriel CONEO PAREDES,1497.969641032395,1,2015,COL,15-Mar-87
Beverly RAMOS,1497.9075844957074,9,2014,PUR,24-Aug-87
Ashley HIGGINSON,1497.8516085943656,8,2016,USA,17-Mar-89
Belén CASETTA,1497.5643280210843,3,2017,ARG,26-Sep-94
Sanaa KOUBAA-SCHRETZMAIR,1497.4486763496534,2,2016,GER,6-Jan-85
Salima EL OUALI ALAMI,1497.4117297534713,15,2016,MAR,29-Dec-83
Ancuţa BOBOCEL,1497.2151221294653,13,2016,ROU,3-Oct-87
Bridget FRANEK,1497.0969785329762,15,2015,USA,8-Nov-87
Jamie CHEEVER,1497.030849120859,3,2016,USA,28-Feb-87
Caroline TUIGONG,1496.878015859702,4,2017,KEN,12-Mar-90
Natalya ARISTARKHOVA,1496.8761632975834,2,2015,RUS,31-Oct-89
Lyudmila LEBEDEVA,1496.8502184969507,2,2015,RUS,23-May-90
Marіya SHATALOVA,1496.7836323024749,3,2017,UKR,1-Mar-89
Caren CHEBET,1496.6848754467414,1,2018,KEN,24-May-00
Rosa FLANAGAN,1496.6707270386496,1,2015,NZL,28-Feb-96
Claire PERRAUX,1496.602260786556,3,2016,FRA,6-Oct-87
Alycia BUTTERWORTH,1496.5332252122157,1,2017,CAN,1-Oct-92
Silvia DANEKOVA,1496.4863468325343,4,2015,BUL,7-Feb-83
Eilish MCCOLGAN,1496.4684562625318,12,2014,GBR,25-Nov-90
Ingeborg LØVNES,1496.4584155181824,1,2016,NOR,5-Sep-92
Katarzyna KOWALSKA,1496.4559102496446,13,2015,POL,7-Apr-85
Meryem AKDAĞ,1496.4231246981053,1,2016,TUR,5-Aug-92
Colleen QUIGLEY,1496.2666438195556,9,2018,USA,20-Nov-92
Fadwa SIDI MADANE,1496.1326203849385,7,2018,MAR,20-Nov-94
Michelle FINN,1496.0767404881908,2,2016,IRL,16-Dec-89
Sviatlana KUDZELICH,1496.0740524108742,6,2016,BLR,7-May-87
Fancy CHEROTICH,1495.979042581682,8,2016,KEN,10-Aug-90
Fancy CHERONO,1495.907461063019,1,2018,KEN,2-Aug-01
Eliane SAHOLINIRINA,1495.9027904087955,1,2016,MAD,20-Mar-82
Maya REHBERG,1495.7899044236653,1,2016,GER,28-Apr-94
Özlem KAYA,1495.6741332279835,5,2017,TUR,20-Apr-90
Juliana Paula GOMEZ DOS SANTOS,1495.647635165899,1,2016,BRA,12-Jul-83
Lidya CHEPKURUI,1495.5022000929991,29,2016,KEN,23-Aug-84
Nicole BUSH,1495.4733342672062,6,2016,USA,4-Apr-86
Maria LARSSON,1495.4613510458569,1,2017,SWE,25-Mar-94
Stephanie GARCIA,1495.1698597376146,17,2017,USA,3-May-88
Viktória WAGNER-GYÜRKÉS,1494.907477117436,1,2017,HUN,15-Oct-92
Joan CHEPKEMOI,1494.7048958171922,4,2018,KEN,24-Nov-93
Buzuayehu MOHAMED,1494.3682954561252,3,2016,ETH,4-Jan-96
Kerry O’FLAHERTY,1494.1297502165999,2,2016,IRL,15-Jul-81
Birtukan Fente ALEMU,1494.1252614573536,14,2017,ETH,18-Jun-89
Mel LAWRENCE,1494.0838233733587,1,2017,USA,29-Aug-89
