Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Karsten WARHOLM,1615.2268823948943,29,2020,NOR,28-Feb-96
Abderrahman SAMBA,1565.7734507621926,15,2019,QAT,5-Sep-95
Rai BENJAMIN,1556.8868907478713,7,2019,USA,27-Jul-97
Kyron MCMASTER,1531.3957230094506,13,2019,IVB,3-Jan-97
Yasmani COPELLO,1529.059887799367,35,2020,TUR,15-Apr-87
Ludvy VAILLANT,1512.3680905090869,10,2020,FRA,15-Mar-95
Alison DOS SANTOS,1510.492251809092,4,2019,BRA,3-Jun-00
Luke CAMPBELL,1508.7900024486082,3,2019,GER,22-Nov-94
TJ HOLMES,1507.3457103418077,17,2019,USA,2-Jul-95
Kerron CLEMENT,1504.4050088764352,42,2018,USA,31-Oct-85
Annsert WHYTE,1504.3434836221782,12,2018,JAM,4-Oct-87
Michael TINSLEY,1504.1016814429856,43,2016,USA,21-Apr-84
Vít MÜLLER,1504.0290138550688,5,2020,CZE,31-Aug-96
Takatoshi ABE,1503.9425963750969,11,2019,JPN,12-Nov-91
Bonface MUCHERU,1503.4687289898102,11,2017,KEN,2-May-92
Javier CULSON,1503.2478315002136,55,2017,PUR,25-Jul-84
Denis KUDRYAVTSEV,1502.5016493065868,5,2015,RUS,13-Apr-92
Byron ROBINSON,1501.7230062138133,4,2019,USA,10-May-95
Johnny DUTCH,1501.2795508828801,19,2016,USA,20-Jan-89
Angelo TAYLOR,1501.1287537463836,17,2012,USA,29-Dec-78
Eric FUTCH,1500.9283495674658,3,2017,USA,25-Apr-93
Emir BEKRIĆ,1500.87986200676,7,2013,SRB,14-Mar-91
Varg KÖNIGSMARK,1500.6532506514286,1,2013,GER,28-Apr-92
Omar CISNEROS,1500.6092136680381,16,2015,CUB,19-Nov-89
David GREENE,1500.462623859624,24,2015,GBR,11-Apr-86
Timofey CHALYY,1500.305095428268,5,2015,RUS,7-Apr-94
Brent LARUE,1500.2042042561252,2,2012,SLO,26-Apr-87
Joshua ABUAKU,1500.1081277592275,1,2016,GER,7-Jul-96
Brendan COLE,1500.0708415251343,2,2012,AUS,29-May-81
Stanislav MELNYIKOV,1500.0312685653712,4,2012,UKR,26-Feb-87
Silvio SCHIRRMEISTER,1500.0296819968457,1,2012,GER,7-Dec-88
Tetsuya TATENO,1499.998701810236,1,2012,JPN,5-Aug-91
Sébastien MAILLARD,1499.955061092844,1,2010,FRA,2-May-81
LaRon BENNETT,1499.9508591968743,1,2011,USA,25-Nov-82
Jeshua ANDERSON,1499.9507411112513,4,2013,USA,22-Jun-89
Nathan WOODWARD,1499.949367276544,3,2012,GBR,17-Oct-89
Michal BROŽ,1499.9439250977857,1,2013,CZE,16-Jun-92
Kenneth MEDWOOD,1499.9421531548023,3,2012,BIZ,14-Dec-87
Nils DUERINCK,1499.9369952780494,1,2010,BEL,20-Mar-84
Andreas TOTSÅS,1499.9329694363958,1,2010,NOR,1-Jul-81
Bandar Yahya AL SHARAKILI,1499.9329367024238,1,2010,KSA,6-Mar-87
Aleksandr DEREVYAGIN,1499.9230506557537,5,2012,RUS,24-Mar-79
Periklis IAKOVAKIS,1499.9209997589614,1,2012,GRE,24-Mar-79
Amaurys VALLE,1499.9156056042495,2,2012,CUB,18-Jan-90
Amaechi MORTON,1499.913681759358,1,2012,NGR,30-Oct-89
Vyacheslav SAKAYEV,1499.9129256794417,1,2012,RUS,12-Jan-88
Leford GREEN,1499.8988200334684,15,2015,JAM,14-Nov-86
Yasuhiro FUEKI,1499.888888208453,1,2013,JPN,20-Dec-85
Adrien CLEMENCEAU,1499.8855558104824,1,2012,FRA,25-May-88
Jesper ARTS,1499.8854957559656,1,2013,NED,2-Apr-92
Richard DAVENPORT,1499.8818752358152,1,2011,GBR,12-Sep-85
Ivan SHABLYUYEV,1499.8631753940113,1,2015,RUS,17-Apr-88
Seung-yun LEE,1499.8581130113791,1,2011,KOR,28-Feb-89
Hederson ALVES ESTEFANI,1499.8439546913487,1,2017,BRA,11-Sep-91
Jabir MADARI PILLYALIL,1499.8415013070198,2,2019,IND,8-Jun-96
