Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Jairus Kipchoge BIRECH,1627.6198152890995,30,2015,KEN,14-Dec-92
Ezekiel KEMBOI,1605.6069544730979,26,2015,KEN,25-May-82
Conseslus KIPRUTO,1600.6068581095574,23,2015,KEN,8-Dec-94
Paul Kipsiele KOECH,1572.5068777998158,40,2015,KEN,10-Nov-81
Evan JAGER,1557.5962460602586,14,2015,USA,8-Mar-89
Brimin Kiprop KIPRUTO,1548.393746848244,32,2015,KEN,31-Jul-85
Mahiedine MEKHISSI,1534.029083863094,15,2014,FRA,15-Mar-85
Hillary Kipsang YEGO,1523.7136097220641,26,2015,KEN,2-Apr-92
Brahim TALEB,1520.9799971204557,12,2015,MAR,16-Feb-85
Hicham SIGUENI,1517.8252598796294,4,2015,MAR,30-Jan-93
Matthew HUGHES,1514.6495546198953,13,2015,CAN,3-Aug-89
Clement Kimutai KEMBOI,1514.6305814132415,7,2015,KEN,10-Feb-92
Donald CABRAL,1506.9307928185099,10,2015,USA,12-Dec-89
Jonathan Muia NDIKU,1505.7765504711588,11,2015,KEN,18-Sep-91
Hamid EZZINE,1505.152369191433,13,2015,MAR,5-Oct-83
Daniel HULING,1505.1353012003929,18,2015,USA,16-Jul-83
Bouabdellah TAHRI,1503.882235842692,4,2011,FRA,20-Dec-78
Willy Rutto KOMEN,1503.4283127858218,1,2011,KEN,22-Dec-87
Bilal TABTI,1502.9026161388833,2,2015,ALG,7-Jun-93
Dikotsi LEKOPA,1502.1610155833691,1,2015,RSA,7-Jul-88
De'Sean TURNER,1501.003882543298,2,2013,USA,16-Sep-88
Brian OLINGER,1500.8723093609697,2,2011,USA,2-Jun-83
Linus Kipwambok CHUMBA,1500.8507788562201,5,2011,KEN,9-Feb-80
Amor BEN YAHIA,1500.2953472970512,3,2015,TUN,1-Jul-85
Saif Saaeed SHAHEEN,1499.9670736661906,1,2010,QAT,15-Oct-82
Albert Kiptoo YATOR,1499.9535611566305,1,2010,KEN,6-Sep-93
Roba GARI,1499.788357199431,17,2013,ETH,12-Apr-82
Abdelmadjed TOUIL,1499.7808426535485,1,2013,ALG,11-Feb-89
Anthony FAMIGLIETTI,1499.7356191436902,1,2010,USA,8-Nov-78
Michael KIPYEGO,1499.6929931540456,4,2010,KEN,2-Oct-83
Bisluke Kipkorir KIPLAGAT,1499.6928666953395,1,2010,KEN,8-Aug-88
Hailemariyam AMARE,1499.6090638373207,2,2015,ETH,22-Feb-97
Patrick Kipyegon TERER,1499.5915373939438,1,2010,KEN,6-Jul-89
Wesley KIPROTICH,1499.49681493643,1,2010,KEN,1-Aug-79
Richard Kipkemboi MATEELONG,1499.4225673527176,13,2013,KEN,14-Oct-83
Mário TEIXEIRA,1499.3728299261038,1,2010,POR,20-Sep-74
Nouredine SMAIL,1499.3195088423909,3,2013,FRA,6-Feb-87
Nordine GEZZAR,1499.2752135872993,2,2011,FRA,17-Feb-80
Rabie MAKHLOUFI,1499.2385757401423,1,2010,ALG,11-Nov-86
Irba LAKHAL,1499.2368797429958,1,2010,FRA,12-Dec-75
Scott MACPHERSON,1499.1957113902106,1,2010,USA,27-Feb-87
Hubert POKROP,1499.1658883433151,1,2011,POL,2-Nov-85
Yang LE,1499.0352264290427,1,2011,CHN,9-Apr-87
