Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Kaliese SPENCER,1630.0185581561784,39,2014,JAM,6-May-87
Zuzana HEJNOVÁ,1592.4411512596248,31,2014,CZE,19-Dec-86
Perri SHAKES-DRAYTON,1538.3776163793882,22,2013,GBR,21-Dec-88
Lashinda DEMUS,1527.8625096894266,22,2014,USA,10-Mar-83
Petra FONTANIVE,1523.3357142857142,1,2014,SUI,10-Oct-88
Eilidh DOYLE,1521.4806515573587,19,2014,GBR,20-Feb-87
Denisa ROSOLOVÁ,1516.4626997440732,14,2014,CZE,21-Aug-86
Melaine WALKER,1516.2196985222126,17,2012,JAM,1-Mar-83
Kemi ADEKOYA,1515.3020208596604,4,2014,BRN,16-Jan-93
T'erea BROWN,1506.6591627119594,10,2013,USA,24-Oct-89
Bianca BAAK,1506.5917045251635,1,2014,NED,25-Jan-92
Georganne MOLINE,1504.78052511042,13,2014,USA,6-Mar-90
Anastasiya RABCHENYUK,1502.7958874245537,5,2011,UKR,14-Sep-83
Robine SCHÜRMANN,1501.0005870011678,1,2014,SUI,31-Jan-89
Hanna TITIMETS,1500.6605104109362,3,2014,UKR,5-Mar-89
Kori CARTER,1500.5673487505965,3,2014,USA,3-Jun-92
Yelena CHURAKOVA,1500.2413689573605,6,2012,RUS,16-Dec-86
Elodie OUÉDRAOGO,1499.7642402188162,6,2012,BEL,27-Feb-81
Nagihan KARADERE,1499.4213129620202,1,2011,TUR,1-Jan-84
Anna RYZHYKOVA,1499.4160106534246,16,2014,UKR,24-Nov-89
Anastasiya OTT,1499.366043900839,1,2013,RUS,7-Sep-88
Vanya STAMBOLOVA,1499.1042972573628,6,2013,BUL,28-Nov-83
Xiaoxiao HUANG,1499.0567432357725,1,2012,CHN,3-Mar-83
Fawn DORR,1499.0084736687018,1,2010,USA,19-Apr-87
Angela MOROŞANU,1498.8826599443007,8,2013,ROU,26-Jul-86
Qi YANG,1498.7464629108404,1,2011,CHN,13-Apr-91
Cassandra TATE,1498.7329594891594,3,2014,USA,11-Sep-90
Eglė STAISIUNAITĖ,1498.7274812705095,1,2012,LTU,30-Sep-88
Jennifer ROCKWELL-GROSSARTH,1498.6744477809502,1,2013,ITA,18-May-83
Meghan BEESLEY,1498.6691828173145,5,2013,GBR,15-Nov-89
