Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Almaz AYANA,1624.0416875774542,15,2016,ETH,21-Nov-91
Vivian Jepkemoi CHERUIYOT,1613.5378954167923,19,2016,KEN,11-Sep-83
Hellen OBIRI,1576.4111414566642,4,2016,KEN,13-Dec-89
Genzebe DIBABA,1560.4543001054967,12,2015,ETH,8-Feb-91
Mercy CHERONO,1559.114337620595,29,2016,KEN,7-May-91
Senbere TEFERI,1547.655362441807,10,2016,ETH,3-May-95
Viola Jelagat KIBIWOT,1539.1671604618114,25,2016,KEN,22-Dec-83
Meseret DEFAR,1531.9592253214473,14,2013,ETH,19-Nov-83
Tirunesh DIBABA,1519.8444617615744,9,2013,ETH,1-Oct-85
Yasemin CAN,1515.1662767575249,3,2016,TUR,11-Dec-96
Janet KISA,1511.3802143336773,9,2016,KEN,5-Dec-92
Etenesh DIRO,1509.29095159107,2,2016,ETH,10-May-91
Faith KIPYEGON,1505.5522880806188,2,2015,KEN,10-Jan-94
Susan KRUMINS,1504.846495370138,9,2016,NED,8-Jul-86
Shelby HOULIHAN,1504.154459947365,2,2016,USA,8-Feb-93
Sentayehu EJIGU,1503.4234232314366,11,2011,ETH,28-Jun-85
Shannon ROWBURY,1503.252368053335,5,2016,USA,19-Sep-84
Sally KIPYEGO,1503.2092037673892,13,2016,KEN,19-Dec-85
Linet Chepkwemoi MASAI,1502.166373581896,10,2013,KEN,5-Dec-89
Alice Aprot NAWOWUNA,1501.6913836460446,3,2016,KEN,2-Jan-94
Madeleine HILLS,1501.5382330172406,3,2016,AUS,15-May-87
Margaret Wangari MURIUKI,1501.4966257854098,8,2013,KEN,21-Mar-86
Molly HUDDLE,1501.3486114907005,15,2016,USA,31-Aug-84
Emily CHEBET,1501.3179440226936,1,2013,KEN,18-Feb-86
Lauren FLESHMAN,1501.261152009562,6,2011,USA,26-Sep-81
Buze DIRIBA,1501.2538764605056,8,2013,ETH,9-Feb-94
Olga KUNGINA,1501.0850515948446,2,2012,RUS,17-Dec-86
Irene Chebet CHEPTAI,1500.8562434159885,8,2016,KEN,4-Feb-92
Gladys CHERONO,1500.6478107450325,1,2013,KEN,12-May-83
Tejitu DABA,1500.5454393133023,6,2013,BRN,20-Aug-91
Haftamnesh TESFAYE,1500.2777502369431,3,2016,ETH,28-Apr-94
Elvan ABEYLEGESSE,1500.2716959890058,2,2010,TUR,11-Sep-82
Priscah Jepleting CHERONO,1500.0930157970247,4,2011,KEN,27-Jun-80
Werknesh KIDANE,1500.0771431306691,1,2012,ETH,7-Jan-81
Veronica WANJIRU,1500.0240700379422,3,2012,KEN,29-Oct-89
Meselech MELKAMU,1499.981777069503,6,2011,ETH,19-Apr-85
Julie CULLEY,1499.948675432957,2,2012,USA,10-Sep-81
Shalane FLANAGAN,1499.9232617998077,5,2011,USA,8-Jul-81
Sylvia Jebiwot KIBET,1499.8678924565033,12,2013,KEN,28-Mar-84
Eloise WELLINGS,1499.8616703184916,11,2016,AUS,9-Nov-82
Ines CHENONGE,1499.836399019027,2,2010,KEN,1-Feb-82
Margaret Chelimo KIPKEMBOI,1499.7836328423834,1,2016,KEN,9-Feb-93
Lisa UHL,1499.7746147152448,1,2010,USA,31-Aug-87
Kara GOUCHER,1499.7649815666578,1,2011,USA,9-Jul-78
Aheza KIROS,1499.7593275798658,1,2010,ETH,16-Oct-85
Lineth CHEPKURUI,1499.7161796402388,1,2011,KEN,23-Feb-87
Karoline Bjerkeli GRØVDAL,1499.6642706130074,11,2016,NOR,14-Jun-90
Magdalena LEWY-BOULET,1499.6545347607885,1,2011,USA,1-Aug-73
Megumi KINUKAWA,1499.653486346803,1,2011,JPN,7-Aug-89
Freya MURRAY,1499.651371981427,1,2010,GBR,20-Sep-83
Gladys CHEMWENO,1499.64517074685,1,2010,KEN,4-Jul-88
Renee BAILLIE,1499.634093459506,1,2010,USA,25-Dec-81
Irene JELAGAT,1499.627216747733,2,2015,KEN,10-Dec-88
Grace MOMANYI,1499.6132177935435,2,2011,KEN,13-Feb-81
Elizabeth MALOY,1499.6098447991199,1,2011,USA,10-Aug-85
Sara MOREIRA,1499.5773170404002,1,2011,POR,17-Oct-85
Lidia CHOJECKA,1499.5577907755687,1,2011,POL,25-Jan-77
Silvia WEISSTEINER,1499.5502783499833,2,2012,ITA,13-Jul-79
Emily PIDGEON,1499.5475582189813,1,2010,GBR,1-Jun-89
Kayo SUGIHARA,1499.5424589913896,1,2011,JPN,24-Feb-83
René KALMER,1499.5396270681017,1,2010,RSA,3-Nov-80
Jenny SIMPSON,1499.5285092045028,2,2013,USA,23-Aug-86
Ferhiwot GOSHU,1499.5225660502701,1,2010,ETH,28-Jun-90
Pauline Chemning KORIKWIANG,1499.5005812407376,7,2011,KEN,1-Mar-88
Katrina WOOTTON,1499.4965758586454,1,2012,GBR,2-Sep-85
Kayoko FUKUSHI,1499.4911735230357,1,2012,JPN,25-Mar-82
Yelena ZADOROZHNAYA,1499.4754118196472,3,2011,RUS,3-Dec-77
Helen CLITHEROE,1499.4624834867068,4,2011,GBR,2-Jan-74
Desiree DAVILA,1499.4133062856326,3,2011,USA,26-Jul-83
Megan WRIGHT,1499.4086821753178,3,2011,CAN,27-Jan-82
Mercy Wanjiku NJOROGE,1499.3993732574813,1,2011,KEN,10-Jun-86
Sule UTURA,1499.3472841397934,7,2013,ETH,8-Feb-90
