Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Asbel KIPROP,1562.375777689636,3,2010,KEN,30-Jun-89
Augustine Kiprono CHOGE,1552.6523763095088,5,2010,KEN,21-Jan-87
Nicholas Kiptanui KEMBOI,1543.7555266171219,3,2010,KEN,18-Dec-89
Silas KIPLAGAT,1529.9422671195114,1,2010,KEN,20-Aug-89
Manuel OLMEDO,1527.1410645642368,1,2010,ESP,17-May-83
Amine LAALOU,1521.72497473722,2,2010,MAR,13-May-82
Leonel MANZANO,1513.7747293846166,4,2010,USA,12-Sep-84
Deresse MEKONNEN,1510.6273240460032,1,2010,ETH,20-Oct-87
Álvaro RODRÍGUEZ,1509.6097450228344,1,2010,ESP,25-May-87
Daniel Kipchirchir KOMEN,1505.6850587640981,4,2010,KEN,27-Nov-84
Mekonnen GEBREMEDHIN,1504.6454632805953,4,2010,ETH,11-Oct-88
Andrew WHEATING,1503.1480063186195,1,2010,USA,21-Nov-87
Thomas CHAMNEY,1500.8238505500667,1,2010,IRL,16-Apr-84
Ryan GREGSON,1500.5529984593932,1,2010,AUS,26-Apr-90
Yoann KOWAL,1500.0818780139139,2,2010,FRA,28-May-87
Collins CHEBOI,1499.533814325996,1,2010,KEN,25-Sep-87
Ilham Tanui ÖZBILEN,1499.49639047022,2,2010,KEN,5-Mar-90
Thomas LANCASHIRE,1498.5549403518253,2,2010,GBR,2-Jul-85
Carsten SCHLANGEN,1498.5430044863306,1,2010,GER,31-Dec-80
Gideon GATHIMBA,1498.5178772142824,2,2010,KEN,9-Mar-80
Diego RUIZ,1498.2095776440292,1,2010,ESP,5-Feb-82
Bernard LAGAT,1497.7463036317608,2,2010,USA,12-Dec-74
Lopez LOMONG,1497.6997657527995,2,2010,USA,1-Jan-85
Jermaine MAYS,1497.5691608918592,1,2010,GBR,23-Dec-82
David TORRENCE,1497.5043220982413,1,2010,USA,26-Nov-85
Collis BIRMINGHAM,1497.4685915843634,1,2010,AUS,27-Dec-84
Taoufik MAKHLOUFI,1497.402187644634,1,2010,ALG,29-Apr-88
Juan Carlos HIGUERO,1497.3880053419007,1,2010,ESP,3-Aug-78
Remmy Limo NDIWA,1497.2754994595202,2,2010,KEN,3-Feb-88
Suleiman Kipses SIMOTWO,1496.991538944294,1,2010,KEN,21-Apr-80
Geoffrey Kipkoech RONO,1496.9137396705844,4,2010,KEN,21-Apr-87
Johan CRONJE,1496.8037967912874,1,2010,RSA,13-Apr-82
Matt TEGENKAMP,1496.6618919086393,1,2010,USA,19-Jan-82
Henrik INGEBRIGTSEN,1496.4657468807513,1,2010,NOR,24-Feb-91
Anter ZERGUELAINE,1496.0108873045224,2,2010,ALG,4-Jan-85
Kamal BOULAHFANE,1495.8018587331712,1,2010,ALG,1-Jul-76
Ricky STEVENSON,1495.477893169888,1,2010,GBR,14-Nov-88
Andrew BADDELEY,1495.312236217942,2,2010,GBR,20-Jun-82
Álvaro FERNÁNDEZ CEREZO,1495.2669851877095,1,2010,ESP,7-Apr-81
Markos GENETI,1495.1644298187239,1,2010,ETH,7-Jun-84
Demma Daba BIKILA,1494.7827449646725,2,2010,ETH,18-Jul-89
Colin MCCOURT,1494.7634602915232,1,2010,GBR,11-Dec-84
Haron KEITANY,1494.7425876520833,1,2010,KEN,17-Dec-83
Kristof VAN MALDEREN,1494.57569013876,1,2010,BEL,30-May-83
Boaz Kiplagat LALANG,1494.4827153227272,1,2010,KEN,8-Feb-89
Mitchell KEALEY,1494.4725465819934,1,2010,AUS,28-Jan-84
Evan JAGER,1494.3881327273716,1,2010,USA,8-Mar-89
Arturo CASADO,1493.716245194621,1,2010,ESP,26-Jan-83
Eliud KIPCHOGE,1493.586041200971,1,2010,KEN,5-Nov-84
Alistair Ian CRAGG,1493.4814080232495,1,2010,IRL,13-Jun-80
Nick MCCORMICK,1492.7405453987335,2,2010,GBR,11-Sep-81
Samir DAHMANI,1492.5227443868553,1,2010,FRA,3-Apr-91
Niall BROOKS,1492.3191006495047,1,2010,GBR,8-Jul-91
Will LEER,1492.2440101527336,1,2010,USA,15-Apr-85
Peter VAN DER WESTHUIZEN,1492.0694022081857,2,2010,RSA,21-Dec-84
Abdelaati IGUIDER,1490.8056535457167,2,2010,MAR,25-Mar-87
Ismael Kipngetich KOMBICH,1490.2541032902027,1,2010,KEN,16-Jan-85
Dorian ULREY,1489.9038050777708,1,2010,USA,11-Jul-87
Lewis MOSES,1489.7668947832676,1,2010,GBR,9-Jan-87
Morten VELDE,1489.5519170121165,1,2010,NOR,19-Dec-84
Jeremy ROFF,1489.4377195768311,1,2010,AUS,22-Nov-83
Nixon Kiplimo CHEPSEBA,1486.3052696745985,3,2010,KEN,12-Dec-90
Belal Mansoor ALI,1486.2409000496955,2,2010,BRN,17-Oct-88
Alex KIPCHIRCHIR,1486.210339658765,2,2010,KEN,26-Nov-84
Tarek BOUKENSA,1480.314536034397,2,2010,ALG,19-Nov-81
