Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Kendra HARRISON,1578.6650784078322,31,2019,USA,18-Sep-92
Danielle WILLIAMS,1575.9432859610552,28,2019,JAM,14-Sep-92
Nia ALI,1559.2816232353935,42,2019,USA,23-Oct-88
Brianna MCNEAL,1535.039175155613,32,2019,USA,18-Aug-91
Tobi AMUSAN,1526.0565136296445,19,2019,NGR,23-Apr-97
Sally PEARSON,1521.1904061302357,45,2017,AUS,19-Sep-86
Megan TAPPER,1518.9248208550493,12,2019,JAM,18-Mar-94
Sharika NELVIS,1517.76029094447,30,2019,USA,10-May-90
Kendell WILLIAMS,1517.3885857288924,1,2019,USA,14-Jun-95
Kateřina CACHOVÁ,1516.44,1,2019,CZE,26-Feb-90
Pamela DUTKIEWICZ,1513.9445830844224,10,2018,GER,28-Sep-91
Queen HARRISON,1512.0851541075094,31,2018,USA,10-Sep-88
Katarina JOHNSON-THOMPSON,1510.177170669525,4,2020,GBR,9-Jan-93
Andrea Carolina VARGAS,1509.4497094465282,3,2019,CRC,28-May-96
Payton CHADWICK,1509.2090158052424,4,2020,USA,29-Nov-95
Christina CLEMONS,1509.0945387593906,5,2019,USA,29-May-90
Nadine VISSER,1505.5372708390578,22,2020,NED,9-Feb-95
Luminosa BOGLIOLO,1505.4683018880833,4,2020,ITA,3-Jul-95
Alina TALAY,1505.1312424418868,32,2018,BLR,14-May-89
Christina MANNING,1504.8281457025282,16,2018,USA,29-May-90
Jasmin STOWERS,1503.418270646331,22,2018,USA,23-Sep-91
Anouk VETTER,1503.406601717798,1,2019,NED,4-Feb-93
Verena PREINER,1503.276719571386,1,2019,AUT,1-Feb-95
Kristi CASTLIN,1503.1564470145136,29,2017,USA,7-Jul-88
Janeek BROWN,1503.0421301607425,6,2019,JAM,14-May-98
Solène NDAMA,1502.9314780796328,2,2019,FRA,23-Sep-98
Lotta HARALA,1502.1639725914138,1,2020,FIN,26-Mar-92
Yanique THOMPSON,1501.8532025862569,9,2020,JAM,12-Mar-96
Shermaine WILLIAMS,1501.7929134431824,12,2016,JAM,4-Feb-90
Kellie WELLS,1501.5385389087207,29,2013,USA,16-Jul-82
Cindy ROLEDER,1501.4451445640786,30,2019,GER,21-Aug-89
