Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Orlando ORTEGA,1635.4367213980279,29,2016,CUB,29-Jul-91
Omar MCLEOD,1622.9439706884132,11,2016,JAM,25-Apr-94
Sergey SHUBENKOV,1571.292953126023,32,2015,RUS,4-Oct-90
Dimitri BASCOU,1561.1558020845393,25,2016,FRA,20-Jul-87
Pascal MARTINOT-LAGARDE,1555.0911557101101,30,2016,FRA,22-Sep-91
David OLIVER,1547.7877973423192,56,2016,USA,24-Apr-82
Ronnie ASH,1533.8144152578918,11,2016,USA,2-Jul-88
Hansle PARCHMENT,1532.8046298258464,17,2016,JAM,17-Jun-90
Devon ALLEN,1515.4636699637242,3,2016,USA,12-Dec-94
Gregor TRABER,1515.025751322874,6,2016,GER,2-Dec-92
Nicolas BOROME,1514.8297957266655,1,2015,FRA,7-Oct-93
Jeff PORTER,1513.4114398072675,23,2016,USA,27-Nov-85
Xiang LIU,1511.8126500726253,9,2012,CHN,13-Jul-83
Aries MERRITT,1508.8835326514877,43,2016,USA,24-Jul-85
Thomas DELMESTRE,1507.6192532414614,2,2015,FRA,31-Mar-91
Damian CZYKIER,1507.1833419152329,3,2016,POL,10-Aug-92
Garfield DARIEN,1506.4317315602952,16,2015,FRA,22-Dec-87
Dayron ROBLES,1505.6019072215413,14,2014,CUB,19-Nov-86
Ryan BRATHWAITE,1505.1237909425577,18,2014,BAR,6-Jun-88
Jason RICHARDSON,1504.1915452989097,50,2016,USA,4-Apr-86
Artur NOGA,1503.5672579043576,13,2015,POL,2-May-88
Wilhem BELOCIAN,1503.560758960648,4,2016,FRA,22-Jun-95
Milan TRAJKOVIC,1502.4435840947422,4,2016,CYP,17-Mar-92
William SHARMAN,1502.3908488382135,22,2014,GBR,12-Sep-84
Andrew POZZI,1502.2654085424247,5,2016,GBR,15-May-92
Andrew TURNER,1501.2571014615282,21,2012,GBR,19-Sep-80
Djaly KINA SIELELE,1501.2284143984502,1,2015,FRA,29-Jun-93
Adrien DEGHELT,1500.9054007359082,2,2012,BEL,10-May-85
Johnathan CABRAL,1500.326090148747,7,2016,CAN,31-Dec-92
Guillaume WOLFF,1500.1027952071513,1,2013,FRA,4-Mar-89
Dexter FAULK,1500.0941650117604,2,2012,USA,14-Apr-84
Allen JOHNSON,1499.809159593276,1,2010,USA,1-Mar-71
Christopher BAILLIE,1499.7559526045293,1,2010,GBR,21-Apr-81
Richard PHILLIPS,1499.6838369550883,3,2012,JAM,26-Jan-83
Damien BROOTHAERTS,1499.6349175977448,1,2010,BEL,13-Mar-83
Yin JING,1499.6334310000852,1,2010,CHN,23-May-88
Mike VAN KRUCHTEN,1499.4825362841357,1,2010,NED,7-Apr-87
Dayron CAPETILLO,1499.476324167216,1,2010,CUB,11-Sep-87
