Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Milcah CHEMOS,1622.2382065302108,15,2011,KEN,24-Feb-86
Habiba GHRIBI,1599.6460122885783,5,2011,TUN,9-Apr-84
Sofia ASSEFA,1565.857455738451,15,2011,ETH,14-Nov-87
Mercy Wanjiku NJOROGE,1552.5876655258899,9,2011,KEN,10-Jun-86
Yuliya ZARIPOVA,1524.2713914953044,2,2010,RUS,26-Apr-86
Lydia Chebet ROTICH,1520.59166021734,14,2011,KEN,8-Aug-88
Hiwot AYALEW,1516.6765612570719,2,2011,ETH,6-Mar-90
Gladys Jerotich KIPKEMOI,1515.6931750914878,5,2010,KEN,15-Oct-86
Almaz AYANA,1510.5451463785412,3,2011,ETH,21-Nov-91
Gesa Felicitas KRAUSE,1508.2087015102175,3,2011,GER,3-Aug-92
Gulnara GALKINA,1506.5815169072534,1,2011,RUS,9-Jul-78
Birtukan Fente ALEMU,1503.814866197214,4,2011,ETH,18-Jun-89
Emma COBURN,1501.3698944225848,3,2011,USA,19-Oct-90
Lidya CHEPKURUI,1500.6812581454578,1,2011,KEN,23-Aug-84
Fionnuala MCCORMACK,1500.3495718021159,4,2011,IRL,24-Sep-84
Wioletta FRANKIEWICZ,1499.1807621599887,2,2010,POL,9-Jun-77
Giulia MARTINELLI,1496.5812150873012,1,2011,ITA,16-Jun-91
Tina BROWN,1496.3210620242544,1,2010,GBR,22-Aug-76
Sara HALL,1496.1570316943653,1,2011,USA,15-Apr-83
Shayla HOULIHAN,1495.4204183590414,1,2010,USA,26-Feb-85
Ulrika FLODIN,1495.2969929257015,1,2010,SWE,9-Feb-75
Hatti ARCHER,1494.9281405737536,2,2011,GBR,2-Feb-82
Gülcan MINGIR,1494.71435793403,1,2011,TUR,21-May-89
Stephanie GARCIA,1494.1167811093,1,2011,USA,3-May-88
Zenaide VIEIRA,1493.8272680282082,1,2010,BRA,25-Jun-85
Kara JUNE,1493.605420006525,1,2010,USA,10-Aug-82
Delilah DICRESCENZO,1493.4093672655608,2,2011,USA,9-Feb-83
Christine Kambua MUYANGA,1493.2471745588991,1,2011,KEN,21-Mar-91
Mardrea HYMAN,1493.064516402155,1,2011,JAM,22-Dec-72
Dorcus INZIKURU,1492.0068613087983,1,2011,UGA,2-Feb-82
Ancuţa BOBOCEL,1491.898558532912,3,2010,ROU,3-Oct-87
Beverly RAMOS,1491.7700091631123,3,2011,PUR,24-Aug-87
Minori HAYAKARI,1491.342354742509,1,2011,JPN,29-Nov-72
Elizabeth MUENI,1491.2496204812742,2,2010,KEN,28-Dec-91
Helen CLITHEROE,1491.1815574423247,2,2010,GBR,2-Jan-74
Eva ARIAS,1490.4805276934208,1,2011,ESP,8-Oct-80
Sophie DUARTE,1489.9138006447051,3,2011,FRA,31-Jul-81
Lindsay ALLEN,1489.8975626306596,1,2011,USA,30-Jun-86
Mekdes BEKELE,1489.7838931241604,4,2011,ETH,20-Jan-87
Jana SUSSMANN,1489.7603486647308,1,2011,GER,12-Oct-90
Barbara PARKER,1489.2884153264954,5,2011,GBR,8-Nov-82
Nicole BUSH,1489.1500750171672,2,2011,USA,4-Apr-86
Stephanie REILLY,1488.29954085473,2,2011,IRL,23-Feb-78
Salima EL OUALI ALAMI,1488.1097501511645,1,2011,MAR,29-Dec-83
Birtukan ADAMU,1487.642395978768,7,2011,ETH,29-Apr-92
Diana MARTÍN,1487.2689984310757,1,2011,ESP,1-Apr-81
Cristina CASANDRA,1486.648677921543,3,2011,ROU,1-Feb-77
Eilish MCCOLGAN,1486.5049854147087,2,2011,GBR,25-Nov-90
Purity KIRUI,1484.8685544618293,3,2011,KEN,13-Aug-91
Katarzyna KOWALSKA,1484.8552289062995,7,2011,POL,7-Apr-85
Svitlana SHMIDT,1483.1410155022024,1,2011,UKR,20-Mar-90
Marcela LUSTIGOVÁ,1483.137011775163,1,2011,CZE,11-Nov-82
Korene HINDS,1483.0694549442528,4,2011,JAM,18-Jan-76
Angela María FIGUEROA,1482.828485472976,1,2011,COL,28-Jun-84
Sandra ERIKSSON,1482.3717961310003,2,2011,FIN,4-Jun-89
Bridget FRANEK,1480.1293672791228,7,2011,USA,8-Nov-87
Karoline Bjerkeli GRØVDAL,1479.0628193211899,4,2011,NOR,14-Jun-90
Lisa AGUILERA,1475.3547410449005,7,2011,USA,30-Nov-79
