Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
David OLIVER,1614.9686483554542,7,2010,USA,24-Apr-82
Dayron ROBLES,1542.4852090118088,2,2010,CUB,19-Nov-86
Dwight THOMAS,1540.7464629011483,8,2010,JAM,23-Sep-80
Ryan WILSON,1524.7605646834243,8,2010,USA,19-Dec-80
Dongpeng SHI,1506.5917045251635,1,2010,CHN,6-Jan-84
Ronnie ASH,1501.037650369506,3,2010,USA,2-Jul-88
Xiang LIU,1501.0005870011678,1,2010,CHN,13-Jul-83
Wenjun XIE,1497.9968670619537,1,2010,CHN,11-Jul-90
Garfield DARIEN,1497.9049630788104,4,2010,FRA,22-Dec-87
Artur NOGA,1495.997823728697,1,2010,POL,2-May-88
Allen JOHNSON,1495.9096277708363,1,2010,USA,1-Mar-71
Christopher BAILLIE,1494.7692173467346,1,2010,GBR,21-Apr-81
Dimitri BASCOU,1494.3434289382835,1,2010,FRA,20-Jul-87
Tyron AKINS,1494.198090873954,3,2010,USA,6-Jan-86
Antwon HICKS,1494.1599121947024,1,2010,USA,12-Mar-83
Joel BROWN,1492.9841407879578,5,2010,USA,31-Jan-80
Petr SVOBODA,1492.7947348918885,4,2010,CZE,10-Oct-84
Damien BROOTHAERTS,1492.1750170984399,1,2010,BEL,13-Mar-83
Yin JING,1492.1431541513462,1,2010,CHN,23-May-88
Lawrence CLARKE,1491.84401722709,1,2010,GBR,12-Mar-90
Ryan BRATHWAITE,1490.5171666120232,2,2010,BAR,6-Jun-88
Bano TRAORE,1489.3782916276832,1,2010,FRA,25-Apr-85
Mike VAN KRUCHTEN,1488.9089567072942,1,2010,NED,7-Apr-87
Dayron CAPETILLO,1488.7758094825126,1,2010,CUB,11-Sep-87
Kevin CRADDOCK,1488.7061194320106,1,2010,USA,25-Jun-87
Wei JI,1488.6875066170387,1,2010,CHN,5-Feb-84
David PAYNE,1488.2551346467399,4,2010,USA,24-Jul-82
Helge SCHWARZER,1488.1123858109722,1,2010,GER,26-Nov-85
William SHARMAN,1487.2809838724338,5,2010,GBR,12-Sep-84
John YARBROUGH,1485.807711431271,2,2010,USA,16-Aug-85
Andrew TURNER,1484.2701455396677,7,2010,GBR,19-Sep-80
Jason RICHARDSON,1472.4879662219844,6,2010,USA,4-Apr-86
