Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Almaz AYANA,1610.50713435638,10,2015,ETH,21-Nov-91
Genzebe DIBABA,1600.7571668424948,12,2015,ETH,8-Feb-91
Meseret DEFAR,1553.265375535746,14,2013,ETH,19-Nov-83
Senbere TEFERI,1552.3742086756188,5,2015,ETH,3-May-95
Mercy CHERONO,1549.8940831623552,24,2015,KEN,7-May-91
Viola Jelagat KIBIWOT,1538.4497384789104,21,2015,KEN,22-Dec-83
Tirunesh DIBABA,1533.0741029359572,9,2013,ETH,1-Oct-85
Vivian Jepkemoi CHERUIYOT,1531.172733339875,15,2015,KEN,11-Sep-83
Janet KISA,1512.2064594189146,6,2015,KEN,5-Dec-92
Molly HUDDLE,1511.1123753354855,14,2015,USA,31-Aug-84
Faith KIPYEGON,1509.253813467698,2,2015,KEN,10-Jan-94
Sally KIPYEGO,1508.8582741329699,12,2015,KEN,19-Dec-85
Sentayehu EJIGU,1505.7057053857275,11,2011,ETH,28-Jun-85
Gelete BURKA,1503.7742534460208,11,2015,ETH,23-Jan-86
Linet Chepkwemoi MASAI,1503.6106226364934,10,2013,KEN,5-Dec-89
Margaret Wangari MURIUKI,1502.4943763090164,8,2013,KEN,21-Mar-86
Emily CHEBET,1502.1965733711559,1,2013,KEN,18-Feb-86
Irene Chebet CHEPTAI,1502.1732228667138,7,2015,KEN,4-Feb-92
Lauren FLESHMAN,1502.1019200159367,6,2011,USA,26-Sep-81
Buze DIRIBA,1502.089794100843,8,2013,ETH,9-Feb-94
Ayuko SUZUKI,1502.0681608245623,2,2015,JPN,8-Oct-91
Olga KUNGINA,1501.808419324741,2,2012,RUS,17-Dec-86
Gladys CHERONO,1501.0796845750542,1,2013,KEN,12-May-83
Tejitu DABA,1500.9090655221705,6,2013,BRN,20-Aug-91
Elvan ABEYLEGESSE,1500.4528266483433,2,2010,TUR,11-Sep-82
Priscah Jepleting CHERONO,1500.1550263283746,4,2011,KEN,27-Jun-80
Werknesh KIDANE,1500.1285718844483,1,2012,ETH,7-Jan-81
Veronica WANJIRU,1500.0401167299037,3,2012,KEN,29-Oct-89
Meselech MELKAMU,1499.969628449172,6,2011,ETH,19-Apr-85
Julie CULLEY,1499.9144590549286,2,2012,USA,10-Sep-81
Shalane FLANAGAN,1499.8721029996796,5,2011,USA,8-Jul-81
Sylvia Jebiwot KIBET,1499.7798207608391,12,2013,KEN,28-Mar-84
Ines CHENONGE,1499.7273316983787,2,2010,KEN,1-Feb-82
Susan KRUMINS,1499.6361651269476,6,2015,NED,8-Jul-86
Lisa UHL,1499.624357858741,1,2010,USA,31-Aug-87
Kara GOUCHER,1499.6083026110966,1,2011,USA,9-Jul-78
Aheza KIROS,1499.5988792997762,1,2010,ETH,16-Oct-85
Lineth CHEPKURUI,1499.5269660670647,1,2011,KEN,23-Feb-87
Magdalena LEWY-BOULET,1499.424224601314,1,2011,USA,1-Aug-73
Megumi KINUKAWA,1499.4224772446714,1,2011,JPN,7-Aug-89
Freya MURRAY,1499.4189533023784,1,2010,GBR,20-Sep-83
Gladys CHEMWENO,1499.4086179114165,1,2010,KEN,4-Jul-88
Renee BAILLIE,1499.3901557658437,1,2010,USA,25-Dec-81
Irene JELAGAT,1499.378694579555,2,2015,KEN,10-Dec-88
Grace MOMANYI,1499.3553629892392,2,2011,KEN,13-Feb-81
Elizabeth MALOY,1499.3497413318664,1,2011,USA,10-Aug-85
