Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Caster SEMENYA,1646.4726258606897,43,2019,RSA,7-Jan-91
Ajee WILSON,1616.5415571366673,38,2019,USA,8-May-94
Halimah NAKAAYI,1587.1849356377475,13,2019,UGA,14-Oct-94
Francine NIYONSABA,1572.5121713550375,33,2019,BDI,5-May-93
Raevyn ROGERS,1553.7599104590222,14,2019,USA,7-Sep-96
Winnie NANYONDO,1527.4012771890448,11,2019,UGA,23-Aug-93
Katarina JOHNSON-THOMPSON,1523.3357142857142,1,2019,GBR,9-Jan-93
Hanne MAUDENS,1523.3357142857142,1,2019,BEL,12-Mar-97
Eunice Jepkoech SUM,1522.0465605443512,45,2019,KEN,10-Apr-88
Habitam ALEMU,1520.610477829911,24,2019,ETH,9-Jul-97
Lynsey SHARP,1520.0345781957863,47,2019,GBR,11-Jul-90
Rababe ARAFI,1518.1131662377486,10,2019,MAR,12-Jan-91
Nelly JEPKOSGEI,1515.5069089223123,10,2019,KEN,14-Jul-91
Natoya GOULE,1512.2525171904126,23,2019,JAM,30-Mar-91
Eglė BALČIŪNAITĖ,1511.4044868540796,8,2018,LTU,31-Oct-88
Melissa BISHOP-NRIAGU,1511.333492388153,21,2017,CAN,5-Aug-88
Margaret Nyairera WAMBUI,1510.0087299316854,18,2019,KEN,15-Sep-95
Rose Mary ALMANZA,1509.912982915957,17,2019,CUB,13-Jul-92
Verena PREINER,1506.5917045251635,1,2019,AUT,1-Feb-95
Ekaterina VORONINA,1506.5917045251635,1,2019,UZB,16-Feb-92
Hedda HYNNE,1505.4216980027097,14,2019,NOR,13-Mar-90
Soumaya BOUSSAID,1505.2676267151814,1,2016,TUN,5-May-80
Laura MUIR,1504.8961211019437,7,2019,GBR,9-May-93
Ce'Aira BROWN,1504.486988969747,5,2019,USA,4-Nov-93
Brenda MARTINEZ,1504.1119828621413,22,2018,USA,8-Sep-87
Lea MOSCHINI,1503.2997085714285,1,2015,FRA,20-Jun-98
Kate GRACE,1502.8320755737582,8,2019,USA,24-Oct-88
Pamela JELIMO,1502.1635747233418,11,2012,KEN,5-Dec-89
Yekaterina POISTOGOVA,1502.1602854871612,11,2014,RUS,1-Mar-91
Nataliya LUPU,1501.8978482739712,13,2015,UKR,14-Nov-87
Sahily DIAGO MESA,1501.8820596706032,2,2016,CUB,26-Aug-95
Angelika CICHOCKA,1501.749968785648,15,2017,POL,15-Mar-88
Hanna GREEN,1501.6482455439009,4,2019,USA,16-Oct-94
Amela TERZIĆ,1501.640597007421,2,2016,SRB,2-Jan-93
Yasmine GRAZIANI,1501.60364227439,1,2016,FRA,1-Aug-94
Janeth JEPKOSGEI,1501.6002285845607,32,2015,KEN,13-Dec-83
Fadouwa LEDHEM,1501.0752052679547,1,2015,FRA,28-Sep-87
Winny CHEBET,1501.0563659928644,13,2016,KEN,20-Dec-90
Erica BOUGARD,1501.0005870011678,1,2019,USA,26-Jul-93
Noor VIDTS,1501.0005870011678,1,2019,BEL,30-May-96
