Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Sergey SHUBENKOV,1609.0566856021035,57,2019,RUS,4-Oct-90
Orlando ORTEGA,1604.2104128265478,54,2019,CUB,29-Jul-91
Omar MCLEOD,1590.0844362542475,28,2019,JAM,25-Apr-94
Grant HOLLOWAY,1578.1615187979974,4,2019,USA,19-Nov-97
Daniel ROBERTS,1536.0842737713183,3,2019,USA,13-Nov-97
Wenjun XIE,1534.4089251228493,31,2019,CHN,11-Jul-90
Ronald LEVY,1532.38440697809,19,2019,JAM,30-Oct-92
Damian WARNER,1523.0921698100706,1,2019,CAN,4-Nov-89
Ilya SHKURENYOV,1522.05,1,2019,ANA,11-Jan-91
Pascal MARTINOT-LAGARDE,1521.4975581673361,43,2019,FRA,22-Sep-91
Harrison WILLIAMS,1520.55,1,2019,USA,7-Mar-96
Hansle PARCHMENT,1517.1047309132414,27,2018,JAM,17-Jun-90
Dimitri BASCOU,1515.4258795510498,28,2019,FRA,20-Jul-87
Freddie CRITTENDEN,1513.208506350043,9,2019,USA,3-Aug-94
Wilhem BELOCIAN,1510.146699842303,10,2019,FRA,22-Jun-95
Shane BRATHWAITE,1508.3137603015075,17,2019,BAR,8-Feb-90
Kuei-Ru CHEN,1507.9909643585843,2,2019,TPE,22-Sep-93
Devon ALLEN,1507.4503547175618,24,2019,USA,12-Dec-94
Ronnie ASH,1507.3039136957045,11,2016,USA,2-Jul-88
Maicel UIBO,1505.5310443533835,1,2019,EST,27-Dec-92
Vitaliy ZHUK,1504.2582521472477,1,2019,BLR,10-Sep-96
Aries MERRITT,1503.949059007089,59,2018,USA,24-Jul-85
David OLIVER,1502.7277405814611,59,2017,USA,24-Apr-82
Xiang LIU,1502.5515324156868,9,2012,CHN,13-Jul-83
Garfield DARIEN,1502.5369992191636,25,2018,FRA,22-Dec-87
Thomas DELMESTRE,1501.645758700156,2,2015,FRA,31-Mar-91
Kevin MAYER,1501.6147229113462,2,2019,FRA,10-Feb-92
Dayron ROBLES,1501.2100119598526,14,2014,CUB,19-Nov-86
Ryan BRATHWAITE,1501.1067388435922,18,2014,BAR,6-Jun-88
Jason RICHARDSON,1500.9053737845643,50,2016,USA,4-Apr-86
Devon WILLIAMS,1500.82837505092,1,2019,USA,17-Jan-94
Artur NOGA,1500.770527707341,13,2015,POL,2-May-88
Gregor TRABER,1500.6647520323938,8,2018,GER,2-Dec-92
Gabriel CONSTANTINO,1500.6365096386573,4,2019,BRA,9-Feb-95
William SHARMAN,1500.5164233490539,22,2014,GBR,12-Sep-84
Andrew TURNER,1500.2715339156898,21,2012,GBR,19-Sep-80
Djaly KINA SIELELE,1500.2653375100654,1,2015,FRA,29-Jun-93
Adrien DEGHELT,1500.195566558956,2,2012,BEL,10-May-85
Guillaume WOLFF,1500.0222037647447,1,2013,FRA,4-Mar-89
Dexter FAULK,1500.0203396425404,2,2012,USA,14-Apr-84
Tim NOWAK,1499.9613565166264,1,2019,GER,13-Aug-95
Allen JOHNSON,1499.9587784721475,1,2010,USA,1-Mar-71
Christopher BAILLIE,1499.9472857625783,1,2010,GBR,21-Apr-81
Richard PHILLIPS,1499.9317087822992,3,2012,JAM,26-Jan-83
Damien BROOTHAERTS,1499.9211422011126,1,2010,BEL,13-Mar-83
Yin JING,1499.9208210960182,1,2010,CHN,23-May-88
Mike VAN KRUCHTEN,1499.8882278373735,1,2010,NED,7-Apr-87
Dayron CAPETILLO,1499.8868860201187,1,2010,CUB,11-Sep-87
Wei JI,1499.8859961306848,1,2010,CHN,5-Feb-84
Helge SCHWARZER,1499.8802002380376,1,2010,GER,26-Nov-85
Richard DIAWARA,1499.868746242421,1,2015,FRA,21-Apr-95
Maksim LYNSHA,1499.867119095702,2,2012,BLR,6-Apr-85
John YARBROUGH,1499.85697443026,2,2010,USA,16-Aug-85
Willi MATHISZIK,1499.8319094528829,2,2011,GER,17-Jun-84
Tasuku TANONAKA,1499.8250124347776,1,2011,JPN,23-Sep-78
Terrence TRAMMELL,1499.8246986933896,1,2011,USA,23-Nov-78
Paulo César VILLAR,1499.8205869251215,4,2012,COL,28-Jul-78
Barrett NUGENT,1499.8066804053597,2,2013,USA,29-Jan-90
Selim NURUDEEN,1499.8049455412286,3,2013,NGR,1-Feb-83
Dominik BOCHENEK,1499.7944116547758,1,2011,POL,14-May-87
Alex AL AMEEN,1499.77750204446,1,2012,GBR,2-Mar-89
Joao ALMEIDA,1499.771913254685,1,2012,POR,5-Apr-88
David PAYNE,1499.7409568056962,6,2013,USA,24-Jul-82
Dániel KISS,1499.732017311725,2,2012,HUN,12-Feb-82
Aleksey DRYOMIN,1499.7279862820938,1,2012,RUS,10-May-89
Fawzi Dahash AL SHAMMARI,1499.7256374174106,1,2012,KUW,13-Feb-79
Ignacio MORALES,1499.721925090752,1,2013,CUB,28-Jan-87
Tae-kyong PARK,1499.7210864463013,1,2011,KOR,30-Jul-80
Andreas KUNDERT,1499.7127051869556,2,2011,SUI,1-Oct-84
Jackson QUINÓNEZ,1499.7050006401064,1,2012,ESP,12-Jun-80
Konstantin SHABANOV,1499.7029755349563,3,2013,RUS,17-Nov-89
Kevin CRADDOCK,1499.7028070934011,6,2015,USA,25-Jun-87
Yohany PORTILLA,1499.7015137488902,1,2015,CUB,24-Jul-90
Dominic BERGER,1499.677098947465,2,2011,USA,19-May-86
Rohollah ASHGARI GANDMANI,1499.6666691744836,1,2012,IRI,8-Jan-82
Damian CZYKIER,1499.626267273459,6,2017,POL,10-Aug-92
Loic DESBONNES,1499.6081034243425,1,2015,FRA,26-Jul-91
Alexander JOHN,1499.5895661493419,3,2012,GER,3-May-86
Héctor COTTO,1499.5753374101255,2,2012,PUR,25-Apr-84
Ronald Roosevelt BENNETT,1499.5169908888715,1,2012,HON,11-Oct-86
Ashton EATON,1499.5102744627889,3,2014,USA,21-Jan-88
David ILARIANI,1499.5050726662632,1,2012,GEO,20-Jan-81
Aaron MALLETT,1499.500342809451,2,2017,USA,26-Sep-94
Xavier LOMBARDO,1499.4664737768076,1,2013,FRA,6-May-83
James GLADMAN,1499.4647131305378,1,2013,GBR,3-Jun-93
Logan TAYLOR,1499.4461709270013,1,2015,USA,3-Apr-86
Jorge Armando MCFARLANE,1499.4432248870535,1,2013,PER,20-Feb-88
Rayzamshah WAN SOFIAN,1499.4319265249644,1,2013,MAS,11-Jan-88
Omoghan OSAGHAE,1499.414310404185,7,2013,USA,18-May-88
Diadie CISSOKHO,1499.4016782200779,1,2015,FRA,13-Feb-94
Gregory SEDOC,1499.3987153033552,3,2013,NED,16-Oct-81
Jeff PORTER,1499.3688679290258,24,2017,USA,27-Nov-85
Gianni FRANKIS,1499.31929487682,4,2013,GBR,16-Apr-88
Lawrence CLARKE,1499.2974458559104,18,2016,GBR,12-Mar-90
Martin MAZÁČ,1499.2819393654345,3,2013,CZE,6-May-90
Dongpeng SHI,1499.2628389877245,8,2013,CHN,6-Jan-84
Dwight THOMAS,1499.2445997020498,26,2013,JAM,23-Sep-80
Ray STEWART,1499.2370858175905,1,2015,USA,5-Apr-89
Axel JEROME,1499.20686656715,1,2015,FRA,28-Jun-85
Nicolas BOROME,1499.1183980955411,2,2017,FRA,7-Oct-93
Athmane HADJ LAZIB,1499.0556979591358,2,2013,ALG,10-May-83
Erik BALNUWEIT,1498.9846201641392,4,2013,GER,21-Sep-88
Sam BAINES,1498.9826244611727,1,2015,AUS,8-Feb-91
Mohamed Lamine CAMARA,1498.9788895544507,1,2015,FRA,12-Dec-92
Kim Fai IONG,1498.9753121580106,2,2013,MAC,12-Jan-89
Joel BROWN,1498.912901864974,16,2013,USA,31-Jan-80
Valdó SZŰCS,1498.8743587563988,1,2019,HUN,29-Jun-95
Ladji DOUCOURE,1498.8583549397822,3,2014,FRA,28-Mar-83
Lehann FOURIE,1498.7602218417812,9,2013,RSA,16-Feb-87
Niklas KAUL,1498.6623184109499,1,2019,GER,11-Feb-98
Tyron AKINS,1498.6564280910536,10,2014,USA,6-Jan-86
Abdulaziz AL MANDEEL,1498.6189807433707,2,2017,KUW,22-May-89
Fan JIANG,1498.6138976875973,4,2014,CHN,16-Sep-89
Cedric TRAORE LAMINE,1498.5888973028436,1,2015,FRA,21-Sep-93
Spencer ADAMS,1498.588615363511,1,2016,USA,10-Sep-89
Wayne DAVIS,1498.5567251832367,5,2015,TTO,22-Aug-91
Ben REYNOLDS,1498.5468408110669,1,2015,IRL,26-Sep-90
Emanuele ABATE,1498.5203188636747,5,2016,ITA,8-Jul-85
Philip NOSSMY,1498.3608457452722,3,2015,SWE,6-Dec-82
Bano TRAORE,1498.3414655192132,3,2015,FRA,25-Apr-85
Antonio ALKANA,1498.3279720585415,22,2019,RSA,12-Apr-90
Jonathan DO NASCIMENTO DO PARAIZO,1498.1410318794165,1,2015,BRA,14-Apr-90
Genta MASUNO,1498.1253096995379,2,2017,JPN,24-May-93
Jumrut RITTIDET,1497.9802390558139,2,2015,THA,1-Feb-89
Wellington ZAZA,1497.959015200483,1,2015,LBR,20-Jan-95
Vladimir VUKICEVIC,1497.9443328136044,2,2016,NOR,6-May-91
Solomon SIMMONS,1497.9107610868298,1,2019,USA,26-Sep-93
Thomas MARTINOT-LAGARDE,1497.8983412228267,10,2015,FRA,7-Feb-88
Konstantinos DOUVALIDIS,1497.839663227246,15,2019,GRE,10-Mar-87
Honglin ZHANG,1497.8389730776387,1,2016,CHN,12-Jan-94
Jarret EATON,1497.7752386892444,7,2018,USA,24-Jun-89
Éder Antonio DE SOUZA,1497.5960789338476,4,2017,BRA,15-Oct-86
Simon KRAUSS,1497.5260728314643,1,2016,FRA,12-Feb-92
Deuce CARTER,1497.1401059961013,1,2016,JAM,28-Sep-90
Ronald FORBES,1497.0274384603163,5,2016,CAY,5-Apr-85
Ryan WILSON,1496.885908582514,38,2015,USA,19-Dec-80
Thomas VAN DER PLAETSEN,1496.8718670619537,1,2019,BEL,24-Dec-90
Milan RISTIČ,1496.8607154463207,2,2016,SRB,8-Aug-91
Ruebin WALTERS,1496.860476749788,1,2017,TTO,2-Apr-95
Cameron FILLERY,1496.8009779390047,1,2019,GBR,2-Nov-98
Andrew POZZI,1496.2521239437929,24,2019,GBR,15-May-92
Ahmad Khader ALMUWALLAD,1496.244327762116,1,2018,KSA,16-Feb-88
Benjamin SEDECIAS,1496.2149325825194,2,2017,FRA,18-Jan-95
Yordan O'FARRILL,1495.9786303155079,7,2017,CUB,9-Feb-93
Andrew RILEY,1495.8993182425893,22,2019,JAM,6-Sep-88
Cedric DUBLER,1495.8522237874204,1,2019,AUS,13-Jan-95
Eddie LOVETT,1495.7082569257313,9,2017,ISV,25-Jun-92
Hideki OMURO,1495.5691838530897,1,2017,JPN,25-Jul-90
David OMOREGIE,1495.5612094205592,8,2017,GBR,1-Nov-95
Siddhanth THINGALAYA,1495.4439038706028,1,2017,IND,1-Mar-91
Paweł WIESIOŁEK,1495.3718670619537,1,2019,POL,13-Aug-91
Sekou KABA,1495.0129502920831,3,2016,CAN,25-Aug-90
Petr SVOBODA,1494.9444522153378,8,2016,CZE,10-Oct-84
Milan TRAJKOVIC,1494.8582692627042,20,2019,CYP,17-Mar-92
Antwon HICKS,1494.7893695789303,6,2016,USA,12-Mar-83
Balázs BAJI,1494.7776041171874,27,2018,HUN,9-Jun-89
Yaqoub Mohamed AL YOUHA,1494.6493433232326,3,2019,KUW,31-Jan-93
Matthias BÜHLER,1494.6147246771402,6,2017,GER,2-Sep-86
Lindon VICTOR,1494.5679869843366,1,2019,GRN,23-Feb-93
Oyeniyi ABEJOYE,1494.125023725514,1,2018,NGR,16-Jan-94
Pierce LEPAGE,1494.0703355089618,1,2019,CAN,22-Jan-96
Yidiel CONTRERAS,1493.7886347761932,6,2017,ESP,27-Nov-92
Byoungjun KIM,1493.743556701312,1,2017,KOR,15-Aug-91
João Vitor DE OLIVEIRA,1493.6702759345053,5,2016,BRA,15-May-92
Jeffrey JULMIS,1493.6364375751286,3,2017,HAI,30-Sep-87
Koen SMET,1493.2262191344225,3,2017,NED,9-Aug-92
Hassane FOFANA,1492.8033628469993,3,2019,ITA,28-Apr-92
Fredrik SAMUELSSON,1492.5555258045865,1,2019,SWE,16-Feb-95
Elmo LAKKA,1492.400669117102,1,2019,FIN,10-Apr-93
Keisuke USHIRO,1492.2762711894366,1,2019,JPN,24-Jul-86
Georni JARAMILLO,1492.1087117612965,1,2019,VEN,6-Mar-89
Mikel THOMAS,1491.411208545508,11,2017,TTO,23-Nov-87
Shunya TAKAYAMA,1491.2424163414255,3,2019,JPN,3-Sep-94
Ahmad HAZER,1491.1783457545916,4,2017,LBN,4-Sep-89
Jake PORTER,1489.371822613076,2,2018,GBR,13-Nov-93
Greggmar SWIFT,1489.0750717468622,5,2019,BAR,16-Feb-91
Isaiah MOORE,1489.001585333835,1,2019,USA,12-Jun-96
Pieter BRAUN,1488.880254715586,1,2019,NED,21-Jan-93
Louis François MENDY,1488.8667521272569,1,2019,SEN,2-Mar-99
Martin ROE,1488.741473894263,1,2019,NOR,1-Apr-92
Janek ÕIGLANE,1488.6020365752618,1,2019,EST,25-Apr-94
Johnathan CABRAL,1487.8830265975016,13,2019,CAN,31-Dec-92
Jianhang ZENG,1487.6044208100484,3,2019,CHN,17-Sep-98
Vitali PAROKHONKA,1486.903164794894,1,2019,BLR,18-Aug-93
Ruan DE VRIES,1486.7389453624603,1,2019,RSA,1-Feb-86
Taio KANAI,1486.3421213566696,2,2019,JPN,28-Sep-95
Aleec HARRIS,1485.003376809781,14,2019,USA,31-Oct-90
Ludovic PAYEN,1484.5665823364538,3,2018,FRA,18-Feb-95
Lorenzo PERINI,1484.5628634187678,4,2019,ITA,22-Jul-94
Orlando BENNETT,1484.2864144148489,2,2019,JAM,12-Oct-99
Xaysa ANOUSONE,1483.5482085410276,4,2019,LAO,20-Mar-94
Jason JOSEPH,1483.1487259708047,4,2019,SUI,11-Oct-98
Fadane HAMADI,1483.037814263019,1,2019,COM,21-Jul-92
Yohan CHAVERRA,1482.9590601361222,2,2019,COL,21-Mar-95
Roger IRIBARNE,1481.7222248013436,3,2019,CUB,2-Jan-96
Eduardo RODRIGUES,1476.3942282290748,2,2019,BRA,8-Oct-95
Nicholas HOUGH,1473.6130361677415,7,2019,AUS,20-Oct-93
Aurel MANGA,1472.1672756412686,12,2019,FRA,24-Jul-92
David KING,1467.4212164514474,10,2019,GBR,13-Jun-94
