Athlete,Rating,Number Of Races
"Lokoro, Paulo",1470.3918144442505,1
"Dzholomanov, Musulman",1470.3271342827452,1
"Sasinek, Filip",1469.9638970523083,2
"Gregson, Ryan",1469.9030680389424,30
"Mohamed, Abdullahi",1468.443164852719,1
"Johnson, Jinson",1463.8917192501776,1
"Holusa, Jakub",1455.6184086321364,17
"Ramsden, Matthew",1453.2604929986628,3
"Mechaal, Adel",1449.9651550547546,8
"Taki, Kumari",1435.0838335375006,3
"Debjani, Ismael",1415.468981416534,8
