Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Conseslus KIPRUTO,1700.7343984890672,31,2016,KEN,8-Dec-94
Evan JAGER,1586.2888726143383,17,2016,USA,8-Mar-89
Jairus Kipchoge BIRECH,1576.2609652814856,35,2016,KEN,14-Dec-92
Mahiedine MEKHISSI,1555.6394376915032,18,2016,FRA,15-Mar-85
Paul Kipsiele KOECH,1549.7492082177666,47,2016,KEN,10-Nov-81
Ezekiel KEMBOI,1540.068333436282,29,2016,KEN,25-May-82
Abraham KIBIWOT,1533.7947586063285,5,2016,KEN,6-Apr-96
Soufiane EL BAKKALI,1530.2324765755252,5,2016,MAR,7-Jan-96
Brimin Kiprop KIPRUTO,1526.3741139701228,38,2016,KEN,31-Jul-85
Hillary BOR,1522.0938936000186,3,2016,USA,22-Nov-89
Yoann KOWAL,1516.9251827286105,15,2016,FRA,28-May-87
Nicholas Kiptanui BETT,1514.2321073795717,4,2016,KEN,20-Dec-96
Brahim TALEB,1512.5879982722734,12,2015,MAR,16-Feb-85
Donald CABRAL,1512.2923657023643,13,2016,USA,12-Dec-89
Matthew HUGHES,1512.10032228108,15,2016,CAN,3-Aug-89
Hicham SIGUENI,1509.8156134152634,5,2016,MAR,30-Jan-93
Hamid EZZINE,1508.1912393273715,15,2016,MAR,5-Oct-83
Barnabas KIPYEGO,1507.7790622567559,9,2016,KEN,12-Jun-95
Hillary Kipsang YEGO,1506.8900902215205,28,2016,KEN,2-Apr-92
Jacob ARAPTANY,1506.4853164902274,8,2016,UGA,11-Feb-92
Jonathan Muia NDIKU,1503.4659302826954,11,2015,KEN,18-Sep-91
Daniel HULING,1503.0811807202358,18,2015,USA,16-Jul-83
Altobeli SANTOS DA SILVA,1502.789852312495,2,2016,BRA,3-Dec-90
Clement Kimutai KEMBOI,1502.6649712402113,11,2016,KEN,10-Feb-92
Bouabdellah TAHRI,1502.329341505615,4,2011,FRA,20-Dec-78
Willy Rutto KOMEN,1502.056987671493,1,2011,KEN,22-Dec-87
Dikotsi LEKOPA,1501.2966093500213,1,2015,RSA,7-Jul-88
Abel Kiprop MUTAI,1501.2416492058737,23,2016,KEN,2-Oct-88
De'Sean TURNER,1500.6023295259788,2,2013,USA,16-Sep-88
Brian OLINGER,1500.5233856165817,2,2011,USA,2-Jun-83
Linus Kipwambok CHUMBA,1500.510467313732,5,2011,KEN,9-Feb-80
Saif Saaeed SHAHEEN,1499.9802441997144,1,2010,QAT,15-Oct-82
Albert Kiptoo YATOR,1499.9721366939784,1,2010,KEN,6-Sep-93
Roba GARI,1499.8730143196585,17,2013,ETH,12-Apr-82
Abdelmadjed TOUIL,1499.8685055921292,1,2013,ALG,11-Feb-89
Anthony FAMIGLIETTI,1499.841371486214,1,2010,USA,8-Nov-78
Michael KIPYEGO,1499.815795892427,4,2010,KEN,2-Oct-83
Bisluke Kipkorir KIPLAGAT,1499.8157200172036,1,2010,KEN,8-Aug-88
Patrick Kipyegon TERER,1499.754922436366,1,2010,KEN,6-Jul-89
