Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Wayde VAN NIEKERK,1596.4729192305413,20,2017,RSA,15-Jul-92
Steven GARDINER,1585.208272397444,17,2018,BAH,12-Sep-95
Abdalelah HAROUN,1572.0620122085968,16,2018,QAT,1-Jan-97
Fred KERLEY,1566.3042115776148,7,2018,USA,7-May-95
LaShawn MERRITT,1546.4902312939053,41,2017,USA,27-Jun-86
Kirani JAMES,1543.1447502720757,35,2018,GRN,1-Sep-92
Isaac MAKWALA,1542.8807662258732,30,2018,BOT,24-Sep-85
Akeem BLOOMFIELD,1522.2720962700646,1,2018,JAM,10-Nov-97
Jonathan SACOOR,1520.947319837031,1,2018,BEL,1-Sep-99
Machel CEDENIO,1518.3777915422252,13,2017,TTO,6-Sep-95
Baboloki THEBE,1514.9419700119101,15,2018,BOT,18-Mar-97
Gil ROBERTS,1512.3870895530513,10,2018,USA,15-Mar-89
​Demish GAYE,1510.601955646558,3,2017,JAM,20-Jan-93
Bralon TAPLIN,1509.9532383043472,8,2016,GRN,8-May-92
Predea MANOUNOU,1507.398,1,2016,FRA,2-Jul-97
Ali Khamis KHAMIS,1506.5640582367128,3,2016,BRN,30-Jun-95
Matthew HUDSON-SMITH,1505.6888462824077,17,2018,GBR,26-Oct-94
Nathon ALLEN,1505.559715534308,4,2018,JAM,28-Oct-95
Jamal WALTON,1504.8492162400016,2,2017,CAY,25-Nov-98
Lalonde GORDON,1504.8293533132446,15,2017,TTO,25-Nov-88
David VERBURG,1503.2219356513965,14,2016,USA,14-May-91
Paul DEDEWO,1503.120181104654,6,2018,USA,5-Jun-91
Nathan STROTHER,1502.9432548053915,3,2018,USA,6-Sep-95
Christopher MATENS SIDA,1501.5329707730089,1,2016,FRA,3-Jul-97
Johan DELASSE,1501.5174356593238,2,2015,FRA,14-Nov-84
Wilbert LONDON,1501.4844109959004,2,2017,USA,17-Aug-97
Ludvy VAILLANT,1501.4655692728595,1,2015,FRA,15-Mar-95
Jermaine GONZALES,1501.4052111244785,16,2012,JAM,26-Nov-84
Angelo TAYLOR,1501.3374475644096,10,2012,USA,29-Dec-78
Jarrin SOLOMON,1501.0448988904118,3,2013,TTO,11-Jan-86
Bryshon NELLUM,1500.7746935214395,4,2015,USA,1-May-89
Fitzroy DUNKLEY,1500.4977398393733,1,2016,JAM,20-Mar-93
Christopher BROWN,1500.3556627789467,32,2016,BAH,15-Oct-78
Gary KIKAYA,1500.3530412836449,2,2010,COD,4-Feb-78
Anderson FREITAS HENRIQUES,1500.1850515526692,4,2014,BRA,3-Mar-92
Rondell BARTHOLOMEW,1500.1491990650384,7,2011,GRN,7-Apr-90
Demetrius PINDER,1500.1208950505447,7,2012,BAH,13-Feb-89
Ramon MILLER,1500.1015644113677,6,2013,BAH,17-Feb-87
Ricardo CHAMBERS,1500.1014372919171,5,2011,JAM,7-Oct-84
Youssef Ahmed MASRAHI,1500.0984404660317,22,2016,KSA,31-Dec-87
Andretti BAIN,1500.091309727587,1,2010,BAH,1-Dec-85
LeJerald BETTERS,1500.0639522683646,2,2010,USA,6-Feb-88
Brian MURPHY,1500.0472440210824,1,2012,IRL,16-Sep-82
Dane HYATT,1499.9813731440959,2,2012,JAM,22-Jan-84
Robert TOBIN,1499.9654683020253,1,2010,GBR,20-Dec-83
Taegeon PARK,1499.9503228532408,1,2011,KOR,8-May-91
Oral THOMPSON,1499.9074449095408,1,2010,JAM,11-Dec-82
Andrew STEELE,1499.9013345804894,1,2012,GBR,19-Sep-84
Xiaosheng LIU,1499.8966027429642,1,2010,CHN,5-Jan-88
Arman Gino HALL,1499.8892349910736,2,2013,USA,12-Feb-94
Femi OGUNODE,1499.8812502815522,3,2011,QAT,15-May-91
Claudio LICCIARDELLO,1499.87440767228,1,2010,ITA,11-Jan-86
Leslie DJHONE,1499.8660708595576,2,2010,FRA,18-Mar-81
Cedric VAN BRANTEGHEM,1499.8594362247818,1,2010,BEL,13-Mar-79
