Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Sally PEARSON,1663.882829145678,16,2011,AUS,19-Sep-86
Danielle CARRUTHERS,1586.4453518751104,22,2011,USA,22-Dec-79
Priscilla SCHLIEP,1558.2270251317477,11,2010,CAN,26-Aug-82
Dawn HARPER-NELSON,1551.2896352117978,7,2011,USA,13-May-84
Kellie WELLS,1535.8399833775054,14,2011,USA,16-Jul-82
Tiffany PORTER,1531.033288699236,17,2011,USA,13-Nov-87
Lolo JONES,1528.6626605858373,12,2011,USA,5-Aug-82
Phylicia GEORGE,1521.294275660342,7,2011,CAN,16-Nov-87
Tatyana DEMENTYEVA,1519.5286398403787,4,2011,RUS,8-May-81
Christina VUKICEVIC,1512.6371680534903,11,2011,NOR,18-Jun-87
Kristi CASTLIN,1510.4821027761905,4,2011,USA,7-Jul-88
Lisa URECH,1508.6091805238314,5,2011,SUI,27-Jul-89
Yvette LEWIS,1507.6725412199942,6,2011,USA,16-Mar-85
Lina Marcela FLORES,1505.9225077494912,2,2011,COL,1-Nov-84
Queen HARRISON,1505.624514582994,5,2010,USA,10-Sep-88
Perdita FELICIEN,1505.1483773645714,14,2011,CAN,29-Aug-80
Carolin DIETRICH,1505.1126587328135,3,2010,GER,26-Feb-85
Eline BERINGS,1503.6679902000224,1,2010,BEL,28-May-86
Nikkita HOLDER,1501.8880708381068,7,2011,CAN,7-May-87
Brigitte Ann FOSTER-HYLTON,1501.8710135047959,3,2011,JAM,7-Nov-74
Indira SPENCE,1500.1308787365965,2,2011,JAM,8-Sep-86
Marzia CARAVELLI,1497.6107142201686,1,2011,ITA,23-Oct-81
Nichole DENBY,1497.5078031030366,5,2011,USA,10-Oct-82
Isabelle PEDERSEN,1497.4740185337328,1,2010,NOR,27-Jan-92
Marina TOMIČ,1497.1491142848668,1,2011,SLO,30-Apr-83
Nataliya IVONINSKAYA,1497.0952595518027,2,2011,KAZ,22-Feb-85
Aleksandra ANTONOVA,1497.011099796194,2,2011,RUS,24-Mar-80
Candice PRICE,1496.7681964739154,1,2011,USA,26-Oct-85
Susanna KALLUR,1496.566632103009,1,2010,SWE,16-Feb-81
Cindy ROLEDER,1496.198156451453,2,2011,GER,21-Aug-89
Loreal SMITH,1496.1213208911513,2,2011,USA,12-Oct-85
Nia ALI,1496.0461386495363,4,2011,USA,23-Oct-88
Vonette DIXON,1495.510693081029,9,2011,JAM,26-Nov-75
Marie HAGLE,1495.422334890825,2,2011,NOR,17-Feb-87
Sonata TAMOSAITYTÉ,1495.0313757527329,1,2011,LTU,21-Apr-87
Louise WOOD,1494.351896364784,1,2011,GBR,13-May-83
Yawei SUN,1494.1137342559641,2,2011,CHN,17-Oct-87
Elisabeth DAVIN,1493.8717402765026,1,2010,BEL,3-Jun-81
Nadine HILDEBRAND,1493.6908017100657,1,2010,GER,20-Sep-87
Virginia CRAWFORD,1493.2521553566623,14,2011,USA,7-Sep-83
Anay TEJEDA,1493.1475046159326,1,2010,CUB,3-Apr-83
Celriece LAW,1492.246254027575,1,2011,USA,2-Sep-86
Jessica ENNIS-HILL,1492.2458620372645,1,2011,GBR,28-Jan-86
Ashley HELSBY,1491.9684576030154,1,2011,GBR,1-Jul-90
Anastasiya SOPRUNOVA,1491.8858013405593,1,2011,KAZ,14-Jan-86
Cindy BILLAUD,1491.4633865278793,1,2011,FRA,11-Mar-86
Lucie ŠKROBÁKOVÁ,1490.6745387800468,2,2011,CZE,4-Jan-82
Aleesha BARBER,1490.4483692212166,2,2011,TTO,16-May-87
LaVonne IDLETTE,1490.1170965696945,1,2011,DOM,31-Oct-85
Nevin YANIT,1489.8753367121662,3,2011,TUR,16-Feb-86
Yevheniya SNIHUR,1489.4112259219767,5,2011,UKR,7-Mar-84
Derval O'ROURKE,1488.8212090715847,5,2011,IRL,28-May-81
Tale ØRVING,1488.817876587508,2,2011,NOR,17-Mar-89
Kierre BECKLES,1488.561458356729,1,2011,BAR,21-May-90
Stephanie GAYNOR,1488.3414306438485,1,2011,GBR,27-Sep-90
Lauren SMITH,1488.2265202598758,1,2011,USA,27-Aug-81
Lene MYRMEL,1488.0097308368408,1,2011,NOR,18-May-85
Dedeh ERAWATI,1487.600595182434,1,2011,INA,25-May-79
Gemma BENNETT,1487.5544986781129,4,2011,GBR,4-Jan-84
Brigith María MERLANO,1487.514246022549,2,2011,COL,29-Apr-82
Kine AALTVEDT,1486.2318863150856,2,2011,NOR,30-Aug-91
Beate SCHROTT,1485.4050997440504,3,2011,AUT,15-Apr-88
Tine Teigene DALEN,1484.6801880207167,3,2011,NOR,2-Nov-90
Seun ADIGUN,1484.3962984786485,2,2011,NGR,3-Jan-87
Hyelim JUNG,1483.7569116356249,1,2011,KOR,1-Jun-87
Béatrice KAMBOULÉ,1483.7379562741744,1,2011,BUR,25-Feb-80
Pak Yan POON,1483.1340225948188,1,2011,HKG,2-Jan-90
Dipna Lim PRASAD,1482.68776641863,1,2011,SGP,7-Jun-91
Jeimmy Julissa BERNARDEZ,1482.4391583205916,1,2011,HON,3-Sep-86
Anne ZAGRE,1482.39116603514,2,2011,BEL,13-Mar-90
Louise HAZEL,1476.1860844368166,4,2011,GBR,6-Oct-85
Angelita BROADBELT-BLAKE,1474.715111974955,3,2011,GBR,12-Sep-85
Sandra GOMIS,1466.4820065345593,4,2011,FRA,21-Nov-83
Delloreen ENNIS,1461.0610646614139,9,2011,JAM,5-Mar-75
