Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Orlando ORTEGA,1568.2395676736614,55,2020,CUB,29-Jul-91
Sergey SHUBENKOV,1565.434011361262,57,2019,RUS,4-Oct-90
Omar MCLEOD,1554.0506617525484,28,2019,JAM,25-Apr-94
Grant HOLLOWAY,1545.0035799020125,5,2020,USA,19-Nov-97
Daniel ROBERTS,1521.6505642627908,3,2019,USA,13-Nov-97
Wenjun XIE,1520.6453550737094,31,2019,CHN,11-Jul-90
Ronald LEVY,1519.430644186854,19,2019,JAM,30-Oct-92
Damian WARNER,1513.8553018860423,1,2019,CAN,4-Nov-89
Ilya SHKURENYOV,1513.23,1,2019,ANA,11-Jan-91
Pascal MARTINOT-LAGARDE,1512.8985349004015,43,2019,FRA,22-Sep-91
Harrison WILLIAMS,1512.33,1,2019,USA,7-Mar-96
Hansle PARCHMENT,1510.262838547945,27,2018,JAM,17-Jun-90
Andrew POZZI,1509.322328477428,26,2020,GBR,15-May-92
Dimitri BASCOU,1509.2555277306299,28,2019,FRA,20-Jul-87
Freddie CRITTENDEN,1508.2630446892122,10,2020,USA,3-Aug-94
Aaron MALLETT,1508.148643772483,4,2020,USA,26-Sep-94
Wilhem BELOCIAN,1506.3702397597694,12,2020,FRA,22-Jun-95
Shane BRATHWAITE,1504.9882561809045,17,2019,BAR,8-Feb-90
Kuei-Ru CHEN,1504.7945786151508,2,2019,TPE,22-Sep-93
Devon ALLEN,1504.470212830537,24,2019,USA,12-Dec-94
Ronnie ASH,1504.382348217423,11,2016,USA,2-Jul-88
Maicel UIBO,1503.3186266120301,1,2019,EST,27-Dec-92
Vitaliy ZHUK,1502.5549512883485,1,2019,BLR,10-Sep-96
Aries MERRITT,1502.3694354042532,59,2018,USA,24-Jul-85
David OLIVER,1501.6366443488766,59,2017,USA,24-Apr-82
Xiang LIU,1501.530919449412,9,2012,CHN,13-Jul-83
Garfield DARIEN,1501.5221995314982,25,2018,FRA,22-Dec-87
Thomas DELMESTRE,1500.9874552200936,2,2015,FRA,31-Mar-91
Kevin MAYER,1500.9688337468078,2,2019,FRA,10-Feb-92
