Athlete,Rating
"Kipyegon, Faith",1635.9242020167148
"Muir, Laura",1600.591860179251
"Rowbury, Shannon",1585.2291983367197
"Dibaba, Genzebe",1577.5366979092332
"Hassan, Sifan",1575.0174589901324
"Simpson, Jenny",1568.334805960231
"Seyaum, Dawit",1555.1313041051312
"Bahta, Meraf",1554.9990584731065
"Sado, Besu",1550.5958738888567
"Weightman, Laura",1538.6500701826164
"Ennaoui, Sofia",1535.797239384474
"Arafi, Rababe",1523.6440246386514
"Cichoka, Angelika",1518.4614953450541
"Obiri, Hellen",1504.3095190070753
"Tsegay, Gudaf",1503.007359648408
"Akkaoui, Malika",1502.0586332699686
"Blundell, Jenny",1498.9673599277812
"Sujew, Diana",1498.0245787138083
"Urbanik, Danuta",1497.843677705315
"Mageean, Ciara",1493.9872331059455
"Sifuentes, Nicole",1493.8436299067316
"Eccleston, Amanda",1493.0761008354023
"Chebet, Winny",1492.646319631645
"Klosterhalfen, Konstanze",1492.4693398451568
"McColgan, Eilish",1492.1105658942595
"Grovdal, Karoline",1491.9436368473098
"Houlihan, Shelby",1491.332100275357
"Martinez, Brenda",1490.1599419726122
"Zhao, Jing",1489.793041192882
"Uceny, Morgan",1489.5989820839327
"Reid, Sheila",1489.354148017434
"Zheng, Xiaoqian",1488.1028665538677
"Plis, Renata",1487.9175277220115
"Krause, Gesa",1487.2997206421173
"Desalegn, Betlhem",1486.8949641636996
"Moser, Treniere",1486.8858790587226
"Johnson, Lauren",1486.8630844021723
"Twell, Stephanie",1486.7870756201332
"Embaye, Axumawit",1485.4882037473835
"Kuria, Mary",1484.480137874533
"Efraimson, Alexa",1484.3280819411611
"Fernandez, Nuria",1484.0900687237304
"Freitas, Marta",1478.6115288672659
"Bhattarai, Saraswati",1477.8946760885588
"Terzic, Amela",1477.8547433479014
"Lagat, Violah",1477.453553173058
"Hilali, Siham",1475.9062184208206
"Bonfim, Celma",1475.3447358369936
"Buckman, Zoe",1473.8861770130775
"Makestad Bovim, Ingvill",1473.1972316913198
"Hamblin, Nikki",1471.6151982044432
"Chepkwemoi, Nancy",1470.8901614709812
"Pierdevara, Florina",1470.7954204193516
"Lohalith, Anjelina",1469.8202321683907
"Koster, Maureen",1467.8514398879533
"Gashaw, Tigist",1467.6608701557807
"Coneo, Muriel",1459.620453811316
"Hall, Linden",1455.1056055035633
"Stellingwerff, Hilary",1451.6145678223256
"Martins, Nelia",1450.4829947625917
"Dembil, Kadra",1441.7237814095008
"Stafford, Gabriela",1431.1839608294508
"Mangani, Margherita",1402.709381374625
