Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Justin GATLIN,1651.3681605954155,24,2014,USA,10-Feb-82
Usain BOLT,1616.3440405816073,22,2013,JAM,21-Aug-86
Michael RODGERS,1575.3190284710363,36,2014,USA,24-Apr-85
Nesta CARTER,1563.5841794543667,45,2014,JAM,11-Oct-85
Yohan BLAKE,1556.9305437236053,19,2014,JAM,26-Dec-89
Kemar BAILEY-COLE,1546.7819573072854,19,2014,JAM,10-Jan-92
Asafa POWELL,1532.4815644001392,23,2014,JAM,23-Nov-82
Jimmy VICAUT,1527.0199500340602,20,2014,FRA,27-Feb-92
Tyson GAY,1523.8784162893185,14,2014,USA,9-Aug-82
Keston BLEDMAN,1521.7927954524503,21,2014,TTO,8-Mar-88
Ryan BAILEY,1517.2580924025458,17,2014,USA,13-Apr-89
Nickel ASHMEADE,1515.9891292300545,14,2014,JAM,7-Apr-90
Richard THOMPSON,1513.6592936687339,34,2014,TTO,7-Jun-85
Churandy MARTINA,1513.604650773283,16,2013,AHO,3-Jul-84
James DASAOLU,1512.835553700496,10,2014,GBR,5-Sep-87
Adam GEMILI,1510.3085260678963,7,2014,GBR,6-Oct-93
Steve MULLINGS,1509.7168169274964,2,2011,JAM,29-Nov-82
Aaron BROWN,1507.636053018352,2,2013,CAN,27-May-92
Dentarius LOCKE,1506.962237419583,1,2013,USA,12-Dec-89
Anaso JOBODWANA,1506.5030980433053,2,2013,RSA,30-Jul-92
Rakieem SALAAM,1506.3886212873547,5,2013,USA,5-Apr-90
Jeff DEMPS,1503.8889688619201,1,2013,USA,8-Jan-90
Michael FRATER,1503.693133544699,20,2012,JAM,6-Oct-82
Walter DIX,1501.6728635822965,8,2013,USA,31-Jan-86
Lerone CLARKE,1501.5819001336124,10,2012,JAM,7-Jul-81
Ben Youssef MEITÉ,1501.43618031393,3,2012,CIV,11-Nov-86
Derrick ATKINS,1501.1392315683624,4,2013,BAH,5-Jan-84
Amr Ibrahim Mostafa SEOUD,1500.474116047721,1,2012,EGY,10-Jun-86
Ngonidzashe MAKUSHA,1500.4376832618982,2,2011,ZIM,11-Mar-87
Adam HARRIS,1500.0316307199037,1,2013,GUY,21-Jul-87
Ryota YAMAGATA,1499.9978344502088,3,2013,JPN,10-Jun-92
Wallace SPEARMON,1499.9229066294793,2,2010,USA,24-Dec-84
James ELLINGTON,1499.8121130935415,3,2013,GBR,6-Sep-85
Sam EFFAH,1499.7562185991528,1,2013,CAN,29-Dec-88
Dariusz KUĆ,1499.622718759967,3,2012,POL,24-Apr-86
Remaldo ROSE,1499.6005131367942,1,2011,JAM,18-Nov-87
Warren FRASER,1499.5531762863934,1,2012,BAH,8-Jul-91
Jason SMYTH,1499.4112162935853,1,2011,IRL,4-Jul-87
Nick SMITH,1499.3504710246843,1,2010,GBR,6-Dec-82
Carlos Rafael JORGE,1499.3491180149558,1,2011,DOM,24-Sep-86
Omar Jouma Bilal AL SALFA,1499.3101192607996,1,2010,UAE,15-Oct-89
Shawn CRAWFORD,1499.308970298603,1,2010,USA,14-Jan-78
Brian DZINGAI,1499.2603946350537,1,2010,ZIM,29-Apr-81
Leroy DIXON,1499.229671566561,2,2010,USA,20-Jun-83
Dexter LEE,1499.0748659550018,1,2010,JAM,18-Jan-91
Brendan CHRISTIAN,1499.0076507756444,1,2010,ANT,11-Dec-83
Chijindu UJAH,1498.9764454576534,3,2014,GBR,5-Mar-94
Reto Amaru SCHENKEL,1498.956473717062,2,2011,SUI,28-Apr-88
Roberto DONATI,1498.8335999999997,1,2010,ITA,15-Mar-83
Joshua ROSS,1498.7049657530629,1,2013,AUS,9-Feb-81
Simone COLLIO,1498.6344874994465,2,2010,ITA,27-Dec-79
