Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Asbel KIPROP,1636.686320826637,33,2015,KEN,30-Jun-89
Silas KIPLAGAT,1583.182442079178,34,2015,KEN,20-Aug-89
Ayanleh SOULEIMAN,1565.4304724638655,13,2015,DJI,3-Dec-92
Taoufik MAKHLOUFI,1555.7742493193755,17,2015,ALG,29-Apr-88
Elijah Motonei MANANGOI,1554.62946516402,5,2015,KEN,5-Jan-93
Abdelaati IGUIDER,1533.2015311892358,28,2015,MAR,25-Mar-87
Ronald KWEMOI,1527.3365339662887,4,2015,KEN,19-Sep-95
Mohammed MOUSSAOUI,1527.1740993121768,1,2015,FRA,23-Dec-90
James Kiplagat MAGUT,1523.188044817088,9,2015,KEN,20-Jul-90
Hillary Cheruiyot NGETICH,1518.1528191640639,3,2015,KEN,15-Sep-95
Morhad AMDOUNI,1515.1689635593798,5,2015,FRA,21-Jun-88
Nick WILLIS,1514.6918102783795,19,2015,NZL,25-Apr-83
Matthew CENTROWITZ,1511.496245671679,23,2015,USA,18-Oct-89
Hicham BENGHERDA,1509.7844025974027,1,2013,ALG,1-Apr-83
Thomas FONTENELLE,1509.636992181222,1,2015,FRA,12-Jan-87
Robert BIWOTT,1509.1533663569762,4,2015,KEN,28-Jan-96
Timothy CHERUIYOT,1508.8705506728575,3,2015,KEN,20-Nov-95
Mo FARAH,1507.45498108994,2,2015,GBR,23-Mar-83
Aman WOTE,1507.1568883708255,15,2015,ETH,18-Apr-84
Johan CRONJE,1505.243769159279,11,2015,RSA,13-Apr-82
Amine LAALOU,1504.674111392972,5,2011,MAR,13-May-82
Ryan GREGSON,1504.3317182595015,10,2015,AUS,26-Apr-90
Caleb Mwangangi NDIKU,1504.056297317773,7,2015,KEN,9-Oct-92
Cyril VINCENT-VIRY,1503.8361404767109,1,2015,FRA,28-Oct-89
Manuel OLMEDO,1503.8268622010598,5,2011,ESP,17-May-83
Nicholas Kiptanui KEMBOI,1503.620935554412,6,2012,KEN,18-Dec-89
Tarik THABET,1503.4703423382057,1,2013,FRA,20-Feb-80
Mekonnen GEBREMEDHIN,1502.576940153288,31,2015,ETH,11-Oct-88
Homiyu TESFAYE,1502.478098659214,8,2014,GER,23-Jun-93
Mohamed MOUSTAOUI,1502.3157710821965,14,2013,MAR,2-Apr-85
Ben BLANKENSHIP,1501.8725252380668,1,2015,USA,15-Dec-88
Collins CHEBOI,1501.7557999922765,18,2015,KEN,25-Sep-87
Bethwell BIRGEN,1501.7057537748378,14,2014,KEN,6-Aug-88
Hillary Kipkorir MAIYO,1501.6672470297203,1,2011,KEN,2-Oct-93
Nixon Kiplimo CHEPSEBA,1501.3955788006517,24,2015,KEN,12-Dec-90
Taoufick MANAR,1501.3808841177374,1,2013,FRA,10-Sep-88
Nathan BRANNEN,1501.2434106608284,7,2013,CAN,8-Sep-82
David TORRENCE,1501.2333106956899,2,2012,USA,26-Nov-85
Sylvain QUIRION,1501.1164927438704,2,2015,FRA,8-Jun-88
Charlie DA'VALL GRICE,1500.8814197969768,7,2015,GBR,7-Nov-93
Imad TOUIL,1500.8282831330123,1,2011,ALG,11-Feb-89
Lopez LOMONG,1500.8278664318384,6,2013,USA,1-Jan-85
Yusuf Saad KAMEL,1500.7801509432954,2,2011,BRN,29-Mar-83
Haron KEITANY,1500.4619346329332,3,2011,KEN,17-Dec-83
Andrew BADDELEY,1500.435737113121,6,2012,GBR,20-Jun-82
Jack BOLAS,1500.409873816267,1,2011,USA,1-Nov-87
Mehdi BAALA,1500.3154371124253,4,2011,FRA,17-Aug-78
Lawi LALANG,1500.2031992857696,1,2013,KEN,15-Jun-91
Stefan EBERHARDT,1500.1536430142958,1,2011,GER,12-Jan-85
Thiago ANDRÉ,1500.1436172929293,1,2015,BRA,4-Aug-95
Thomas CHAMNEY,1500.064062618773,1,2010,IRL,16-Apr-84
Morten MUNKHOLM,1499.8445221757577,1,2011,DEN,22-Sep-85
Jermaine MAYS,1499.8109779509507,1,2010,GBR,23-Dec-82
Suleiman Kipses SIMOTWO,1499.7660620683082,1,2010,KEN,21-Apr-80
Matt TEGENKAMP,1499.7404287148156,1,2010,USA,19-Jan-82
Fekadu DEJENE,1499.7385511234547,1,2011,ETH,29-Dec-92
Anter ZERGUELAINE,1499.6898065967994,2,2010,ALG,4-Jan-85
Kamal BOULAHFANE,1499.6735525350914,1,2010,ALG,1-Jul-76
Ricky STEVENSON,1499.6483609728903,1,2010,GBR,14-Nov-88
Álvaro FERNÁNDEZ CEREZO,1499.6319607681962,1,2010,ESP,7-Apr-81
Markos GENETI,1499.6239860627038,1,2010,ETH,7-Jun-84
Demma Daba BIKILA,1499.594306248453,2,2010,ETH,18-Jul-89
Kristof VAN MALDEREN,1499.5782056651901,1,2010,BEL,30-May-83
Boaz Kiplagat LALANG,1499.5709759434953,1,2010,KEN,8-Feb-89
Mitchell KEALEY,1499.5701852222157,1,2010,AUS,28-Jan-84
Thomas Solberg EIDE,1499.5667076291832,1,2011,NOR,20-Nov-92
Evan JAGER,1499.5636212008803,1,2010,USA,8-Mar-89
Thomas LANCASHIRE,1499.5318451212984,3,2015,GBR,2-Jul-85
Eliud KIPCHOGE,1499.5012505637874,1,2010,KEN,5-Nov-84
Alistair Ian CRAGG,1499.4931142878877,1,2010,IRL,13-Jun-80
Nick MCCORMICK,1499.4355048102057,2,2010,GBR,11-Sep-81
Andrew WHEATING,1499.42358457739,5,2012,USA,21-Nov-87
Geoff MARTINSON,1499.4222639902273,2,2011,CAN,26-Mar-86
Sindre BURAAS,1499.4190640553522,1,2011,NOR,8-May-89
Hans Kristian FLØYSTAD,1499.3419987445936,1,2011,NOR,3-Apr-89
Will LEER,1499.2797185078298,2,2012,USA,15-Apr-85
Juan Carlos HIGUERO,1499.2486247406289,3,2011,ESP,3-Aug-78
Eduard VILLANUEVA,1499.244791147822,4,2012,VEN,29-Dec-84
Abubaker KAKI,1499.2383303634115,2,2012,SUD,21-Jun-89
Otmane BELHARBAZI,1499.2326172715193,1,2011,FRA,3-Nov-88
Alan WEBB,1499.2310286464576,1,2012,USA,13-Jan-83
Lewis MOSES,1499.2042737383467,1,2010,GBR,9-Jan-87
Jeremy ROFF,1499.1786770742942,1,2010,AUS,22-Nov-83
Håkon BROX,1499.1576696248476,1,2011,NOR,18-Jan-85
Romain VOGT,1499.1374080967964,1,2013,FRA,26-Dec-87
Remmy Limo NDIWA,1499.1318481374255,3,2011,KEN,3-Feb-88
Colin MCCOURT,1499.1244525746358,2,2011,GBR,11-Dec-84
James BREWER,1499.1232002686575,1,2012,GBR,18-Jun-88
Craig MILLER,1499.0169305022432,1,2011,USA,3-Aug-87
Daniel Kipchirchir KOMEN,1499.0110390061936,13,2013,KEN,27-Nov-84
Oliver PREAU,1498.9641597370314,1,2015,FRA,6-Nov-88
Yegor NIKOLAYEV,1498.9478257677356,2,2012,RUS,28-Apr-88
James SHANE,1498.93159746642,1,2011,GBR,18-Dec-89
Alex KIPCHIRCHIR,1498.9277160118654,2,2010,KEN,26-Nov-84
Deresse MEKONNEN,1498.9198244896993,6,2011,ETH,20-Oct-87
Craig MOTTRAM,1498.9075123191276,1,2012,AUS,18-Jun-80
Linus KIPLAGAT,1498.850331021095,1,2012,KEN,23-Dec-94
Andrew J. ACOSTA,1498.7894056923437,1,2012,USA,13-Apr-88
Shouchun WEI,1498.7439606409062,1,2011,CHN,29-Aug-88
Jeffrey RISELEY,1498.6647983320627,4,2011,AUS,11-Nov-86
Jeroen D'HOEDT,1498.6598596073202,1,2011,BEL,10-Jan-90
Bernard LAGAT,1498.6484741831691,6,2015,USA,12-Dec-74
Hamish CARSON,1498.6411459386404,1,2012,NZL,1-Nov-88
Chaminda Indika WIJEKOON,1498.6404934185248,2,2011,SRI,15-Sep-81
Morten VELDE,1498.5129264419922,2,2011,NOR,19-Dec-84
Geoffrey Kipkoech RONO,1498.5100996682222,6,2011,KEN,21-Apr-87
Ryan MCNIFF,1498.4439504507027,1,2012,USA,13-Jan-88
Mohammed Ayoub TIOUALI,1498.4437072558235,1,2013,MAR,26-May-91
Gideon GATHIMBA,1498.4116377297341,4,2012,KEN,9-Mar-80
Yann LOMBARDOT,1498.3937098011302,1,2013,FRA,18-May-89
