Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Hiwot AYALEW,1603.7518377096208,20,2014,ETH,6-Mar-90
Sofia ASSEFA,1587.9267411248634,35,2014,ETH,14-Nov-87
Milcah CHEMOS,1585.8120189940769,30,2014,KEN,24-Feb-86
Habiba GHRIBI,1575.3810792227823,14,2014,TUN,9-Apr-84
Emma COBURN,1550.7238273396524,12,2014,USA,19-Oct-90
Lidya CHEPKURUI,1519.75062940503,20,2014,KEN,23-Aug-84
Etenesh DIRO,1517.5371088943311,18,2014,ETH,10-May-91
Mercy Wanjiku NJOROGE,1509.916366961018,15,2012,KEN,10-Jun-86
Purity KIRUI,1509.5208186771479,12,2014,KEN,13-Aug-91
Hyvin KIYENG,1508.524596160722,7,2014,KEN,13-Jan-92
Ruth JEBET,1506.986889148497,1,2014,BRN,17-Nov-96
Yuliya ZARIPOVA,1505.2426205629858,2,2010,RUS,26-Apr-86
Antje MÖLDNER-SCHMIDT,1505.0865444198437,6,2013,GER,13-Jun-84
Valentyna ZHUDINA,1503.4385798460244,3,2013,UKR,12-Mar-83
Gulnara GALKINA,1503.2760147550066,2,2012,RUS,9-Jul-78
Yelena ORLOVA,1501.9319331998895,1,2012,RUS,30-May-80
Zemzem AHMED,1500.741242591893,2,2012,ETH,27-Dec-84
Amina BETTICHE,1500.6573582218803,1,2013,ALG,14-Dec-87
Fionnuala MCCORMACK,1500.075507509257,4,2011,IRL,24-Sep-84
Valentyna HORPYNYCH-ZHUDINA,1499.539624752717,1,2012,UKR,12-Mar-83
Gülcan MINGIR,1499.2956844735695,2,2012,TUR,21-May-89
Giulia MARTINELLI,1499.261542458857,1,2011,ITA,16-Jun-91
Tina BROWN,1499.205349397239,1,2010,GBR,22-Aug-76
Shayla HOULIHAN,1499.010810365553,1,2010,USA,26-Feb-85
Ulrika FLODIN,1498.9841504719516,1,2010,SWE,9-Feb-75
Lyudmila REMESLOVA,1498.930466495276,1,2012,RUS,13-Aug-87
Lydia Chebet ROTICH,1498.928099917187,21,2013,KEN,8-Aug-88
Hatti ARCHER,1498.9044783639306,2,2011,GBR,2-Feb-82
Ruth Bosibori NYANGAU,1498.70647031428,1,2013,KEN,2-Jan-88
Zenaide VIEIRA,1498.6666898940928,1,2010,BRA,25-Jun-85
Barbara PARKER,1498.665033321794,10,2012,GBR,8-Nov-82
Kara JUNE,1498.6187707214094,1,2010,USA,10-Aug-82
Delilah DICRESCENZO,1498.5764233293608,2,2011,USA,9-Feb-83
Christine Kambua MUYANGA,1498.5413897047222,1,2011,KEN,21-Mar-91
Eunice JEPKORIR,1498.5407295741556,1,2012,KEN,17-Feb-82
Mardrea HYMAN,1498.5019355428658,1,2011,JAM,22-Dec-72
Zhenzhu LI,1498.1641140237668,2,2012,CHN,13-Dec-85
Minori HAYAKARI,1498.129948624382,1,2011,JPN,29-Nov-72
Elizabeth MUENI,1498.1099180239553,2,2010,KEN,28-Dec-91
Helen CLITHEROE,1498.095216407542,2,2010,GBR,2-Jan-74
Eva ARIAS,1497.943793981779,1,2011,ESP,8-Oct-80
Elodie OLIVARES,1497.9173168276277,1,2012,FRA,22-May-76
Sophie DUARTE,1497.821380939256,3,2011,FRA,31-Jul-81
Lindsay ALLEN,1497.8178735282224,1,2011,USA,30-Jun-86
Jana SUSSMANN,1497.788235311582,1,2011,GER,12-Oct-90
Natalya GORCHAKOVA,1497.737813309906,2,2013,RUS,17-Apr-83
Almaz AYANA,1497.6951757523825,6,2013,ETH,21-Nov-91
Emily STEWART,1497.0237200669599,1,2012,GBR,24-Dec-91
Phanencer CHEMION,1496.7499866811172,2,2012,KEN,8-Apr-89
Lennie WAITE,1496.7431753758897,1,2013,GBR,4-Feb-86
Clarisse CRUZ,1496.6754485818306,3,2013,POR,9-Jul-78
Bridget FRANEK,1496.6607496259621,12,2013,USA,8-Nov-87
Yuan JIN,1496.5206972172373,1,2012,CHN,11-Feb-88
Svitlana SHMIDT,1496.358459348476,1,2011,UKR,20-Mar-90
Marcela LUSTIGOVÁ,1496.357594543435,1,2011,CZE,11-Nov-82
Kaltoum BOUAASAYRIYA,1496.3055138509803,1,2012,MAR,23-Aug-82
Wioletta FRANKIEWICZ,1496.2911676280178,3,2012,POL,9-Jun-77
Salima EL OUALI ALAMI,1496.1590524965068,9,2014,MAR,29-Dec-83
Ancuţa BOBOCEL,1495.9875650964004,12,2013,ROU,3-Oct-87
Dorcus INZIKURU,1495.8913402821026,3,2012,UGA,2-Feb-82
Tigest Getent MEKONEN,1495.8619782225155,1,2014,ETH,7-Jul-97
Mary BALLINGER,1495.8072897956968,1,2013,USA,5-May-88
Karoline Bjerkeli GRØVDAL,1495.477568973377,4,2011,NOR,14-Jun-90
Stephanie REILLY,1495.453262640729,3,2012,IRL,23-Feb-78
Birtukan Fente ALEMU,1495.2779471316271,6,2013,ETH,18-Jun-89
Magdalyne MASAI,1495.1105438211512,1,2014,KEN,21-Nov-93
Annuo YIN,1494.9892996857457,1,2012,CHN,23-Mar-92
Özlem KAYA,1494.9158648452626,1,2012,TUR,20-Apr-90
Sviatlana KUDZELICH,1494.830832177117,2,2014,BLR,7-May-87
Lisa AGUILERA,1494.676624065699,7,2011,USA,30-Nov-79
Virginia NYAMBURA,1494.458157948698,1,2013,KEN,20-Jul-93
Lyudmila LEBEDEVA,1494.2660720094273,1,2013,RUS,23-May-90
Claire PERRAUX,1494.0908542558436,2,2013,FRA,6-Oct-87
Matylda KOWAL,1493.405507438028,1,2012,POL,11-Jan-89
Cristina CASANDRA,1493.2709611440314,4,2012,ROU,1-Feb-77
Diana MARTÍN,1492.8657773268092,5,2013,ESP,1-Apr-81
Helen HOFSTEDE,1492.7822319959655,2,2013,NED,31-Dec-80
Shalaya KIPP,1492.7733041018919,3,2013,USA,19-Aug-90
Polina JELIZAROVA,1492.363551841384,6,2013,LAT,1-May-89
Korene HINDS,1492.1012397364238,6,2012,JAM,18-Jan-76
Silvia DANEKOVA,1491.7275031795643,3,2013,BUL,7-Feb-83
