Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Ruth JEBET,1675.3057136927114,12,2016,BRN,17-Nov-96
Hyvin KIYENG,1631.6309912083498,21,2016,KEN,13-Jan-92
Habiba GHRIBI,1575.583355870888,22,2016,TUN,9-Apr-84
Emma COBURN,1572.0209646499022,22,2016,USA,19-Oct-90
Sofia ASSEFA,1551.503453303265,49,2016,ETH,14-Nov-87
Beatrice CHEPKOECH,1550.6481075593915,6,2016,KEN,6-Jul-91
Hiwot AYALEW,1544.7279981635286,29,2016,ETH,6-Mar-90
Gesa Felicitas KRAUSE,1532.206196284915,21,2016,GER,3-Aug-92
Milcah CHEMOS,1530.8923268378676,30,2014,KEN,24-Feb-86
Virginia NYAMBURA,1529.1504218251048,13,2016,KEN,20-Jul-93
Etenesh DIRO,1523.118420538241,26,2016,ETH,10-May-91
Stephanie GARCIA,1514.7713104322356,13,2016,USA,3-May-88
Courtney FRERICHS,1513.5287095324375,2,2016,USA,18-Jan-93
Lalita BABAR,1513.3650084374717,5,2016,IND,2-Jun-89
Madeleine HILLS,1513.137539833657,5,2016,AUS,15-May-87
Lydia Chebet ROTICH,1512.4391212604132,24,2016,KEN,8-Aug-88
Colleen QUIGLEY,1509.4569331015114,7,2016,USA,20-Nov-92
Genevieve LACAZE,1508.8269255538899,13,2016,AUS,4-Aug-89
Gladys Jerotich KIPKEMOI,1504.2920845761305,10,2016,KEN,15-Oct-86
Madeleine HEINER,1504.1803584779327,4,2015,AUS,15-May-87
Marіya SHATALOVA,1503.6456261692074,2,2016,UKR,1-Mar-89
Mercy Wanjiku NJOROGE,1503.5698921059666,15,2012,KEN,10-Jun-86
Yuliya ZARIPOVA,1501.887343402675,2,2010,RUS,26-Apr-86
Antje MÖLDNER-SCHMIDT,1501.8311559911435,6,2013,GER,13-Jun-84
Valentyna ZHUDINA,1501.2378887445686,3,2013,UKR,12-Mar-83
Gulnara GALKINA,1501.179365311802,2,2012,RUS,9-Jul-78
Yelena ORLOVA,1500.69549595196,1,2012,RUS,30-May-80
Aisha PRAUGHT-LEER,1500.5456026449615,6,2016,USA,14-Dec-89
Zemzem AHMED,1500.2668473330814,2,2012,ETH,27-Dec-84
Fionnuala MCCORMACK,1500.0271827033325,4,2011,IRL,24-Sep-84
Valentyna HORPYNYCH-ZHUDINA,1499.834264910978,1,2012,UKR,12-Mar-83
Gülcan MINGIR,1499.746446410485,2,2012,TUR,21-May-89
Giulia MARTINELLI,1499.7341552851885,1,2011,ITA,16-Jun-91
Tina BROWN,1499.7139257830063,1,2010,GBR,22-Aug-76
Shayla HOULIHAN,1499.643891731599,1,2010,USA,26-Feb-85
Ulrika FLODIN,1499.6342941699027,1,2010,SWE,9-Feb-75
Lyudmila REMESLOVA,1499.6149679382993,1,2012,RUS,13-Aug-87
Hatti ARCHER,1499.6056122110149,2,2011,GBR,2-Feb-82
Ruth Bosibori NYANGAU,1499.534329313141,1,2013,KEN,2-Jan-88
Zenaide VIEIRA,1499.5200083618734,1,2010,BRA,25-Jun-85
Barbara PARKER,1499.519411995846,10,2012,GBR,8-Nov-82
Kara JUNE,1499.5027574597073,1,2010,USA,10-Aug-82
Delilah DICRESCENZO,1499.4875123985698,2,2011,USA,9-Feb-83
Christine Kambua MUYANGA,1499.4749002937,1,2011,KEN,21-Mar-91
Mardrea HYMAN,1499.4606967954314,1,2011,JAM,22-Dec-72
Zhenzhu LI,1499.3390810485562,2,2012,CHN,13-Dec-85
Minori HAYAKARI,1499.3267815047775,1,2011,JPN,29-Nov-72
Elizabeth MUENI,1499.3195704886239,2,2010,KEN,28-Dec-91
Helen CLITHEROE,1499.3142779067152,2,2010,GBR,2-Jan-74
Eva ARIAS,1499.2597658334403,1,2011,ESP,8-Oct-80
Elodie OLIVARES,1499.2502340579458,1,2012,FRA,22-May-76
Daisy JEPKEMEI,1499.233038041346,1,2015,KEN,13-Feb-96
Sophie DUARTE,1499.215697138132,3,2011,FRA,31-Jul-81
Lindsay ALLEN,1499.21443447016,1,2011,USA,30-Jun-86
Jana SUSSMANN,1499.2037647121695,1,2011,GER,12-Oct-90
Natalya GORCHAKOVA,1499.1856127915662,2,2013,RUS,17-Apr-83
Almaz AYANA,1499.1702632708575,6,2013,ETH,21-Nov-91
Emily STEWART,1498.9285392241056,1,2012,GBR,24-Dec-91
Phanencer CHEMION,1498.829995205202,2,2012,KEN,8-Apr-89
Clarisse CRUZ,1498.803161489459,3,2013,POR,9-Jul-78
Magdalyne MASAI,1498.7938974478038,2,2015,KEN,21-Nov-93
Caroline TUIGONG,1498.7936024922083,3,2016,KEN,12-Mar-90
Yuan JIN,1498.7474509982053,1,2012,CHN,11-Feb-88
Svitlana SHMIDT,1498.6890453654512,1,2011,UKR,20-Mar-90
Marcela LUSTIGOVÁ,1498.6887340356366,1,2011,CZE,11-Nov-82
Kaltoum BOUAASAYRIYA,1498.669984986353,1,2012,MAR,23-Aug-82
Wioletta FRANKIEWICZ,1498.6648203460863,3,2012,POL,9-Jun-77
Dorcus INZIKURU,1498.5208825015568,3,2012,UGA,2-Feb-82
Mary BALLINGER,1498.4906243264509,1,2013,USA,5-May-88
Karoline Bjerkeli GRØVDAL,1498.371924830416,4,2011,NOR,14-Jun-90
Stephanie REILLY,1498.3631745506625,3,2012,IRL,23-Feb-78
Shalaya KIPP,1498.2150028719193,4,2016,USA,19-Aug-90
Annuo YIN,1498.1961478868682,1,2012,CHN,23-Mar-92
Celliphine Chepteek CHESPOL,1498.153826381907,2,2016,KEN,23-Mar-99
Lisa AGUILERA,1498.0835846636514,7,2011,USA,30-Nov-79
