Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Kirani JAMES,1610.0702534002858,5,2011,GRN,1-Sep-92
Jeremy WARINER,1574.7734943809057,9,2011,USA,31-Jan-84
Jermaine GONZALES,1566.0933879146614,15,2011,JAM,26-Nov-84
LaShawn MERRITT,1554.2093743461614,5,2011,USA,27-Jun-86
Jonathan BORLÉE,1542.2957212137842,12,2011,BEL,22-Feb-88
Christopher BROWN,1538.691787857127,10,2011,BAH,15-Oct-78
Kevin BORLÉE,1531.312921246078,11,2011,BEL,22-Feb-88
Angelo TAYLOR,1514.3440356317942,6,2011,USA,29-Dec-78
Gary KIKAYA,1512.6114999015786,2,2010,COD,4-Feb-78
Calvin SMITH,1511.1224065347465,3,2011,USA,10-Dec-87
Tabarie HENRY,1510.5030355548506,5,2011,ISV,1-Dec-87
Rondell BARTHOLOMEW,1505.329756267084,7,2011,GRN,7-Apr-90
Ricardo CHAMBERS,1503.6235886744562,5,2011,JAM,7-Oct-84
Andretti BAIN,1503.2618072554828,1,2010,BAH,1-Dec-85
LeJerald BETTERS,1502.284531763135,2,2010,USA,6-Feb-88
Nery BRENES,1501.204370391706,5,2011,CRC,25-Sep-85
Ramon MILLER,1501.191727258311,2,2011,BAH,17-Feb-87
Rabah YOUSIF,1500.5187117613125,4,2011,SUD,11-Dec-86
Allodin FOTHERGILL,1499.1079591392236,2,2011,JAM,2-Jul-87
Robert TOBIN,1498.766443116474,1,2010,GBR,20-Dec-83
Taegeon PARK,1498.2254105667243,1,2011,KOR,8-May-91
Oral THOMPSON,1496.69370533054,1,2010,JAM,11-Dec-82
Xiaosheng LIU,1496.3063965679323,1,2010,CHN,5-Jan-88
Femi OGUNODE,1495.757969019794,3,2011,QAT,15-May-91
Claudio LICCIARDELLO,1495.5135342464055,1,2010,ITA,11-Jan-86
Michael MATHIEU,1495.340076130155,1,2010,BAH,24-Jun-84
Conrad WILLIAMS,1495.2732216425284,1,2010,GBR,20-Mar-82
Leslie DJHONE,1495.215722863718,2,2010,FRA,18-Mar-81
Teddy ATINE-VENEL,1495.118720703527,1,2011,FRA,16-Mar-85
Cedric VAN BRANTEGHEM,1494.978717449062,1,2010,BEL,13-Mar-79
Mathieu GNANLIGO,1494.885476785544,1,2011,BEN,13-Dec-86
Pavel TRENIKHIN,1494.66999538847,2,2011,RUS,24-Mar-86
Bershawn JACKSON,1494.3861516184893,1,2011,USA,8-May-83
Sean WROE,1493.7313166924891,1,2011,AUS,18-Mar-85
Marco Francesco VISTALLI,1493.5420773087974,1,2011,ITA,3-Oct-87
Andrae WILLIAMS,1493.4516247205825,1,2010,BAH,12-Jul-83
Nicolau Ernesto PALANCA,1493.3664691563117,1,2011,ANG,15-Nov-88
David GREENE,1493.3348149841436,1,2010,GBR,11-Apr-86
Danny MCFARLANE,1493.2268074348972,1,2010,JAM,14-Feb-72
Tony MCQUAY,1493.023518659142,1,2011,USA,16-Apr-90
Pako SERIBE,1492.6912752549301,1,2011,BOT,7-Apr-91
Greg NIXON,1492.6304632492127,8,2011,USA,12-Sep-81
Josh SCOTT,1492.4046524009445,1,2011,USA,3-Sep-85
David GILLICK,1492.3804248793267,2,2010,IRL,9-Jul-83
Chris CLARKE,1492.0501327201964,1,2011,GBR,25-Jan-90
Jianxin CHEN,1491.99063064357,1,2011,CHN,10-Jul-87
Yuzo KANEMARU,1491.8775540385377,3,2011,JPN,18-Sep-87
Demetrius PINDER,1490.148190973207,3,2011,BAH,13-Feb-89
Yoann DECIMUS,1489.9387122326661,1,2011,FRA,30-Nov-87
Ben OFFEREINS,1489.9121009262997,3,2010,AUS,12-Mar-86
William COLLAZO,1489.869069067102,3,2011,CUB,31-Aug-86
Michael BINGHAM,1489.5796181859655,8,2011,GBR,13-Apr-86
Marcin MARCINISZYN,1489.543696692666,3,2011,POL,7-Sep-82
Nelson STONE,1489.250767154873,1,2011,PNG,2-Jun-84
Augusto José STANLEY,1489.2111202613614,1,2011,PAR,3-Aug-87
Antoine GILLET,1489.0944934418176,1,2011,BEL,22-Mar-88
Jordan BOASE,1489.046517359754,1,2011,USA,10-Oct-85
Shijie DENG,1488.9954378208477,1,2011,CHN,2-Aug-89
Riker HYLTON,1488.8979589985445,2,2011,JAM,13-Dec-88
Arnold SORINA,1487.9924392139974,1,2011,VAN,6-Jan-88
David NEVILLE,1486.5038093528553,8,2011,USA,1-Jun-84
Ak. Hafiy Tajuddin ROSITI,1485.4905952400547,1,2011,BRU,4-Jul-91
Ahmed Mohamed AL MERJABI,1485.2048031590798,1,2011,OMA,9-Sep-90
Jamaal TORRANCE,1485.059902927912,6,2011,USA,20-Jul-83
Johan WISSMAN,1484.9757884170554,2,2011,SWE,2-Nov-82
Bahaa AL FARRA,1484.589917322378,1,2011,PLE,10-Mar-91
Camara KERFALA,1484.1127991219591,1,2011,GUI,7-May-88
Renny QUOW,1483.6225034065315,9,2011,TTO,25-Aug-87
Erison HURTAULT,1482.066617060033,5,2011,DMA,29-Dec-84
Oscar PISTORIUS,1481.4531374868247,6,2011,RSA,22-Nov-86
Martyn ROONEY,1472.0563301110815,8,2011,GBR,3-Apr-87
