Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Vivian Jepkemoi CHERUIYOT,1651.952918685653,9,2011,KEN,11-Sep-83
Meseret DEFAR,1568.8102866277031,5,2011,ETH,19-Nov-83
Tirunesh DIBABA,1545.2469362364063,3,2010,ETH,1-Oct-85
Sentayehu EJIGU,1544.025504519503,11,2011,ETH,28-Jun-85
Sylvia Jebiwot KIBET,1540.8245859163935,7,2011,KEN,28-Mar-84
Sally KIPYEGO,1536.870517193257,7,2011,KEN,19-Dec-85
Linet Chepkwemoi MASAI,1535.5264634166851,8,2011,KEN,5-Dec-89
Lauren FLESHMAN,1516.2185186414858,6,2011,USA,26-Sep-81
Mercy CHERONO,1514.4712644995916,9,2011,KEN,7-May-91
Genzebe DIBABA,1507.1424600330784,3,2011,ETH,8-Feb-91
Elvan ABEYLEGESSE,1503.4940327804266,2,2010,TUR,11-Sep-82
Priscah Jepleting CHERONO,1501.1961908053586,4,2011,KEN,27-Jun-80
Tejitu DABA,1500.6914422468117,2,2011,BRN,20-Aug-91
Meselech MELKAMU,1499.7656516139832,6,2011,ETH,19-Apr-85
Shalane FLANAGAN,1499.0131404296276,5,2011,USA,8-Jul-81
Ines CHENONGE,1497.8960779195872,2,2010,KEN,1-Feb-82
Lisa UHL,1497.1015266878157,1,2010,USA,31-Aug-87
Kara GOUCHER,1496.9776436041416,1,2011,USA,9-Jul-78
Aheza KIROS,1496.9049328686433,1,2010,ETH,16-Oct-85
Belaynesh OLJIRA,1496.6665852237593,1,2010,ETH,26-Jun-90
Emebet ANTENEH,1496.6500781499149,5,2011,ETH,13-Jan-92
Lineth CHEPKURUI,1496.3500468137713,1,2011,KEN,23-Feb-87
Stephanie TWELL,1496.3149136536292,1,2010,GBR,17-Aug-89
Joanne PAVEY,1496.1500106868261,1,2010,GBR,20-Sep-73
Sule UTURA,1495.804790541626,5,2011,ETH,8-Feb-90
Magdalena LEWY-BOULET,1495.557288590388,1,2011,USA,1-Aug-73
Megumi KINUKAWA,1495.5438059002431,1,2011,JPN,7-Aug-89
Freya MURRAY,1495.5166149874876,1,2010,GBR,20-Sep-83
Gladys CHEMWENO,1495.4368666004366,1,2010,KEN,4-Jul-88
Renee BAILLIE,1495.2944117734833,1,2010,USA,25-Dec-81
Shitaye ESHETE,1495.2127026745873,1,2010,BRN,21-May-90
Viola Jelagat KIBIWOT,1495.1760694342752,4,2011,KEN,22-Dec-83
Grace MOMANYI,1495.0259489910445,2,2011,KEN,13-Feb-81
Elizabeth MALOY,1494.982572005144,1,2011,USA,10-Aug-85
Dolores CHECA,1494.8499310150341,3,2011,ESP,27-Dec-82
Azmera GEBRU,1494.72996062649,1,2011,ETH,21-Oct-95
Jenny SIMPSON,1494.6986191884653,1,2011,USA,23-Aug-86
Zakia Mrisho MOHAMED,1494.5953599310074,3,2011,TAN,19-Feb-84
Sara MOREIRA,1494.5642623508281,1,2011,POR,17-Oct-85
Lidia CHOJECKA,1494.313152977993,1,2011,POL,25-Jan-77
Emily PIDGEON,1494.1815614580953,1,2010,GBR,1-Jun-89
Kayo SUGIHARA,1494.115984971574,1,2011,JPN,24-Feb-83
René KALMER,1494.0795662050118,1,2010,RSA,3-Nov-80
Ferhiwot GOSHU,1493.8601601114951,1,2010,ETH,28-Jun-90
Hiwot AYALEW,1493.5777498294842,2,2011,ETH,6-Mar-90
Pauline Chemning KORIKWIANG,1493.5774336514642,7,2011,KEN,1-Mar-88
Yelena ZADOROZHNAYA,1493.2537528246826,3,2011,RUS,3-Dec-77
Helen CLITHEROE,1493.08749339901,4,2011,GBR,2-Jan-74
Alice Aprot NAWOWUNA,1493.0801354748437,2,2010,KEN,2-Jan-94
Desiree DAVILA,1492.4550705456854,3,2011,USA,26-Jul-83
Megan WRIGHT,1492.3956041064512,3,2011,CAN,27-Jan-82
Mercy Wanjiku NJOROGE,1492.2758906569088,1,2011,KEN,10-Jun-86
Waganesh MEKASHA,1491.6153945850615,1,2011,ETH,16-Jan-92
Florence KIPLAGAT,1491.5814276840033,3,2010,KEN,27-Feb-87
Hitomi NIIYA,1491.5485687346845,2,2011,JPN,26-Feb-88
Jessica AUGUSTO,1491.2041651117281,3,2011,POR,8-Nov-81
Wude AYALEW,1491.2022305676999,3,2011,ETH,4-Jul-87
Amy YODER BEGLEY,1491.13244702014,3,2011,USA,11-Jan-78
Jackie ARESON,1490.2423432684377,1,2011,USA,31-Mar-88
Layes ABDULLAYEVA,1490.1657473754126,1,2011,AZE,29-May-91
Julia BLEASDALE,1488.9062039652704,1,2011,GBR,9-Sep-81
Alia SAEED MOHAMMED,1488.5388392604045,1,2011,UAE,18-May-91
Esther CHEMTAI,1487.2150854863726,3,2011,KEN,4-Jun-88
Purity Cherotich RIONORIPO,1486.9059153168944,2,2011,KEN,10-Jun-93
Eloise WELLINGS,1484.393591711333,3,2011,AUS,9-Nov-82
Molly HUDDLE,1483.9920229230872,4,2011,USA,31-Aug-84
Viktoriya POLYUDINA,1483.5659218031326,1,2011,KGZ,29-Jun-89
Pauline NIYONGERE,1483.3737131360322,1,2011,BDI,12-Apr-88
Margaret Wangari MURIUKI,1479.4665916793997,5,2011,KEN,21-Mar-86
Genet YALEW,1479.049076545372,4,2011,ETH,31-Dec-92
Jennifer RHINES,1476.1068685708374,5,2011,USA,1-Jul-74
Amy CRAGG,1472.2893551774014,5,2011,USA,21-Jan-84
