Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Conseslus KIPRUTO,1654.6248717156673,42,2018,KEN,8-Dec-94
Soufiane EL BAKKALI,1599.9029513154615,14,2018,MAR,7-Jan-96
Evan JAGER,1569.1573849716074,24,2018,USA,8-Mar-89
Benjamin KIGEN,1557.814679588812,8,2018,KEN,5-Jul-93
Chala BEYO,1556.6003823082838,7,2018,ETH,18-Jan-96
Mahiedine MEKHISSI,1530.9448643531155,21,2018,FRA,15-Mar-85
Jairus Kipchoge BIRECH,1522.671696311796,42,2018,KEN,14-Dec-92
Nicholas Kiptanui BETT,1516.924525872081,11,2018,KEN,20-Dec-96
Ezekiel KEMBOI,1513.0142850333723,32,2017,KEN,25-May-82
Stanley Kipkoech KEBENEI,1510.1258850853983,8,2018,USA,6-Nov-89
Matthew HUGHES,1509.9400408504268,23,2018,CAN,3-Aug-89
Hillary BOR,1509.4834673284877,11,2018,USA,22-Nov-89
Abraham KIBIWOT,1506.925405475814,13,2018,KEN,6-Apr-96
Brimin Kiprop KIPRUTO,1506.7044611693018,39,2017,KEN,31-Jul-85
Tafese SOBOKA,1506.458120259963,5,2017,ETH,29-Sep-93
Paul Kipsiele KOECH,1505.3723246842642,49,2018,KEN,10-Nov-81
Albert CHEMUTAI,1504.908502514825,4,2018,UGA,25-Nov-99
Lawrence Kemboi KIPSANG,1504.8209494701707,13,2018,KEN,15-Jun-93
Barnabas KIPYEGO,1504.5600865088647,11,2018,KEN,12-Jun-95
Brahim TALEB,1504.5316793780185,12,2015,MAR,16-Feb-85
Leonard Kipkemoi BETT,1504.2908195702385,2,2018,KEN,3-Nov-00
Getnet WALE,1503.9044663322616,3,2018,ETH,16-Jul-00
Hamid EZZINE,1502.9488461578535,15,2016,MAR,5-Oct-83
Hillary Kipsang YEGO,1502.4804324797474,28,2016,KEN,2-Apr-92
Jonathan Muia NDIKU,1501.2477349017706,11,2015,KEN,18-Sep-91
Daniel HULING,1501.1092250592847,18,2015,USA,16-Jul-83
Bouabdellah TAHRI,1500.8385629420213,4,2011,FRA,20-Dec-78
Willy Rutto KOMEN,1500.7405155617373,1,2011,KEN,22-Dec-87
Dikotsi LEKOPA,1500.4667793660078,1,2015,RSA,7-Jul-88
Abel Kiprop MUTAI,1500.4469937141143,23,2016,KEN,2-Oct-88
De'Sean TURNER,1500.2168386293524,2,2013,USA,16-Sep-88
Brian OLINGER,1500.1884188219692,2,2011,USA,2-Jun-83
Linus Kipwambok CHUMBA,1500.1837682329435,5,2011,KEN,9-Feb-80
Donald CABRAL,1500.1012201685257,14,2017,USA,12-Dec-89
Saif Saaeed SHAHEEN,1499.9928879118975,1,2010,QAT,15-Oct-82
Albert Kiptoo YATOR,1499.9899692098325,1,2010,KEN,6-Sep-93
Roba GARI,1499.9542851550768,17,2013,ETH,12-Apr-82
Abdelmadjed TOUIL,1499.9526620131664,1,2013,ALG,11-Feb-89
Anthony FAMIGLIETTI,1499.9428937350372,1,2010,USA,8-Nov-78
Michael KIPYEGO,1499.9336865212736,4,2010,KEN,2-Oct-83
Bisluke Kipkorir KIPLAGAT,1499.9336592061932,1,2010,KEN,8-Aug-88
Yoann KOWAL,1499.928589326465,20,2018,FRA,28-May-87
Patrick Kipyegon TERER,1499.9117720770917,1,2010,KEN,6-Jul-89
Wesley KIPROTICH,1499.891312026269,1,2010,KEN,1-Aug-79
Richard Kipkemboi MATEELONG,1499.875274548187,13,2013,KEN,14-Oct-83
Mário TEIXEIRA,1499.8645312640383,1,2010,POR,20-Sep-74
Nouredine SMAIL,1499.8530139099562,3,2013,FRA,6-Feb-87
Nordine GEZZAR,1499.8434461348565,2,2011,FRA,17-Feb-80
Rabie MAKHLOUFI,1499.8355323598707,1,2010,ALG,11-Nov-86
Irba LAKHAL,1499.835166024487,1,2010,FRA,12-Dec-75
Scott MACPHERSON,1499.8262736602856,1,2010,USA,27-Feb-87
Hubert POKROP,1499.8198318821562,1,2011,POL,2-Nov-85
Yang LE,1499.791608908673,1,2011,CHN,9-Apr-87
Birhan GETAHUN,1499.784887410477,1,2012,ETH,5-Sep-91
Mohamed-Khaled BELABBAS,1499.7801706313007,4,2012,FRA,4-Jul-81
Mustafa MOHAMED,1499.7748217266042,2,2010,SWE,1-Mar-79
Łukasz OSLIZLO,1499.7719625781822,1,2012,POL,14-May-89
Andrew POORE,1499.74115712714,1,2013,USA,3-Dec-88
Xiangqian LIN,1499.7329666700011,1,2011,CHN,27-Jan-87
Tomas TAJADURA JUEZ,1499.6834262470156,1,2011,ESP,25-Jun-85
Abraham CHIRCHIR,1499.6609596539738,3,2011,KEN,1-Aug-80
Abdelkader HACHLAF,1499.6391269282435,1,2011,MAR,3-Jul-79
Abdelhakim ZILALI,1499.628246119028,2,2011,FRA,20-Jun-83
Timothy TOROITICH,1499.5911366751234,1,2013,UGA,10-Oct-91
Simon AYEKO,1499.548239378032,3,2012,UGA,10-May-87
Tanguy PEPIOT,1499.526883098031,1,2012,FRA,6-Jul-91
Jacob ARAPTANY,1499.5224115183405,10,2017,UGA,11-Feb-92
Krijn VAN KOOLWIJK,1499.5166141338132,3,2011,BEL,30-Aug-81
Silas Kosgei KITUM,1499.5136167448873,7,2012,KEN,25-May-90
Ali Ahmed AL AMRI,1499.5023361138706,3,2012,KSA,28-Dec-87
Artem KOSINOV,1499.4521673997688,1,2012,KAZ,31-Jul-86
Ruben RAMOLEFI,1499.4521387038494,11,2012,RSA,17-Jul-78
Weynay GHEBRESELASSIE,1499.4352812371094,1,2012,ERI,24-Mar-94
Ivan LUKYANOV,1499.424719938569,12,2014,MDA,31-Jan-81
Altobeli SANTOS DA SILVA,1499.4173787890704,4,2017,BRA,3-Dec-90
Antonio David JIMÉNEZ,1499.3950145877084,4,2012,ESP,18-Feb-77
Mario BAZÁN,1499.3535733284725,1,2012,PER,1-Sep-87
Hichem BOUCHICHA,1499.34235373408,5,2017,ALG,19-May-89
Albert MINCZÉR,1499.3326976803453,1,2012,HUN,1-Oct-86
Elijah CHELIMO,1499.315487635948,8,2013,KEN,20-Apr-87
Kyle ALCORN,1499.306248562159,4,2012,USA,18-Mar-85
Jukka KESKISALO,1499.2727234572508,5,2014,FIN,27-Mar-81
Amor BEN YAHIA,1499.2395773118903,4,2016,TUN,1-Jul-85
Steve SLATTERY,1499.2394952708978,6,2011,USA,14-Aug-80
Mark DRAPER,1499.2296718988887,2,2013,GBR,28-Jun-84
Andrey FARNOSOV,1499.224549290934,3,2012,RUS,9-Jul-80
Emmanuel KIPRONO,1499.1276210773576,2,2018,KEN,14-Jul-95
Nahom Mesfin TARIKU,1499.0937368251607,7,2013,ETH,3-Jun-89
Stuart STOKES,1499.0654279184425,2,2012,GBR,5-Dec-76
Festus KIPRONO,1499.0579101613816,1,2015,KEN,29-Dec-95
Vadim SLOBODENYUK,1499.0516239634876,2,2013,UKR,17-Mar-81
Gilbert KIRUI,1499.02227768706,12,2015,KEN,22-Jan-94
William NELSON,1498.9522814798256,7,2012,USA,11-Sep-84
Víctor GARCÍA,1498.877701236814,4,2015,ESP,13-Mar-85
Ángel MULLERA,1498.854699552859,8,2015,ESP,20-Apr-84
Tareq Mubarak TAHER,1498.8078029772746,5,2013,BRN,1-Dec-86
Alberto Casimiro PAULO,1498.7646043796083,5,2012,POR,3-Oct-85
Patrick NASTI,1498.7607397093948,1,2013,ITA,30-Aug-89
Meresa KAHSAY,1498.7595052621969,3,2014,ETH,23-May-96
Tomasz SZYMKOWIAK,1498.7423648454019,7,2013,POL,5-Jul-83
Ben BRUCE,1498.7173638241238,9,2013,USA,10-Sep-82
Abubaker Ali KAMAL,1498.6897142970486,3,2014,QAT,8-Nov-83
Youcef ABDI,1498.618063014152,9,2012,AUS,7-Dec-77
Sisay KORME,1498.5548264585573,1,2015,ETH,9-Jan-85
Vincent ZOUAOUI DANDRIEUX,1498.5303734957324,8,2012,FRA,12-Oct-80
Steffen ULICZKA,1498.4765695009828,4,2013,GER,17-Jul-84
Habtamu FAYISA,1498.4287547223867,2,2014,ETH,19-Apr-93
Daniel LUNDGREN,1498.3042279557146,1,2015,SWE,4-Jul-85
Nikolay CHAVKIN,1498.225891084422,3,2015,RUS,24-Apr-84
Ala ZOGHLAMI,1498.0168945016553,2,2017,ITA,19-Jun-94
Tao YANG,1497.9905723441523,1,2015,CHN,23-Mar-87
Aras KAYA,1497.980374880663,1,2016,TUR,4-Apr-94
Valentin PEPIOT,1497.7719456193522,1,2016,FRA,6-Jul-91
Jakob INGEBRIGTSEN,1497.7695475596063,1,2017,NOR,19-Sep-00
James WILKINSON,1497.7637766986645,4,2014,GBR,13-Jul-90
Ibrahim EZZAYDOUNI,1497.757292918458,3,2018,ESP,28-Apr-91
Jamel CHATBI,1497.661891578396,2,2016,ITA,30-Apr-84
Hicham SIGUENI,1497.4930195501724,6,2017,MAR,30-Jan-93
Bjørnar Ustad KRISTENSEN,1497.377324489707,5,2015,NOR,26-Jan-82
Younés KNIYA,1497.3397155363737,1,2016,MAR,15-Aug-95
Roberto ALAIZ,1497.337389619025,3,2015,ESP,20-Jul-90
Alexandre GENEST,1497.326849583514,6,2015,CAN,30-Jun-86
Gerald Nicolas GIRALDO VILLA,1497.2984367817494,1,2015,COL,21-Mar-89
Tumisang MONNATLALA,1497.1668108124536,1,2015,RSA,31-Oct-95
James NIPPERESS,1496.8884621792904,2,2015,AUS,21-May-90
Łukasz PARSZCZYŃSKI,1496.783535258676,8,2014,POL,4-May-85
Ilgizar SAFIULIN,1496.7185501946897,7,2015,RUS,9-Dec-92
Mateusz DEMCZYSZAK,1496.5833335911043,3,2015,POL,18-Jan-86
Sapolai YAO,1496.511269584049,1,2015,PNG,15-Sep-82
Halil AKKAŞ,1496.4043245223486,2,2016,TUR,1-Jul-83
Jaouad CHEMLAL,1496.3191422101622,4,2016,MAR,11-Apr-94
Kazuya SHIOJIRI,1496.1868126308282,1,2016,JPN,8-Nov-96
Cory LESLIE,1496.0208754451942,4,2016,USA,24-Oct-89
Bilal TABTI,1495.9170971020817,5,2017,ALG,7-Jun-93
Kennedy NJIRU,1495.9007871049323,2,2018,KEN,1987
Haron LAGAT,1495.5916382343194,4,2017,KEN,15-Aug-83
Luke GUNN,1495.566840287127,5,2016,GBR,22-Mar-85
Tesfaye DERIBA,1495.4284817320085,5,2018,ETH,11-Sep-98
Jonathan ROMEO,1495.367724512723,1,2017,ESP,13-Aug-94
Emil BLOMBERG,1495.282924944903,1,2017,SWE,9-Apr-92
Djilali BEDRANI,1495.2663206210113,2,2018,FRA,1-Oct-93
Hashim Mohamed SALAH,1494.976240386002,2,2015,QAT,15-Apr-94
Benjamin KIPLAGAT,1494.8964023338785,23,2016,UGA,4-Mar-89
Amos KIRUI,1494.8649773233865,10,2018,KEN,9-Feb-98
Hosein KEYHANI,1494.6049023590112,1,2017,IRI,26-Apr-90
Hailemariyam AMARE,1494.2005153185191,5,2018,ETH,22-Feb-97
Mason FERLIC,1494.0895400842023,1,2018,USA,5-Aug-93
Boniface Abel SIKOWO,1493.889597326219,1,2017,UGA,27-Jul-99
Kaur KIVISTIK,1493.69466599825,2,2016,EST,29-Apr-91
Clement Kimutai KEMBOI,1493.4794791085578,13,2018,KEN,10-Feb-92
Chris WINTER,1493.414736002328,6,2016,CAN,22-Jul-86
Abdelhamid ZERRIFI,1493.3197274782272,4,2016,ALG,20-Jun-86
Kosei YAMAGUCHI,1493.2495156860232,1,2018,JPN,19-Aug-91
Hironori TSUETAKI,1493.181717716166,1,2017,JPN,8-May-93
Bernard NGANGA,1493.1758818628177,16,2016,KEN,17-Jan-85
Mohamed ISMAIL IBRAHIM,1492.8309442874133,4,2017,DJI,1-Jan-97
Stewart MCSWEYN,1492.7738126853533,1,2017,AUS,1-Jun-95
Justus LAGAT,1492.7612098645718,2,2018,KEN,20-May-96
Tolosa NURGI,1492.7344026529943,5,2018,ETH,29-Mar-90
Taylor MILNE,1492.6815053970945,5,2016,CAN,14-Sep-81
Raouf BOUBAKER,1492.3134588861747,1,2017,TUN,21-Oct-88
Abdoulla BAMOUSSA,1492.2873778093453,3,2017,ITA,8-Jun-86
Abdalla Targan YOUSIF,1492.0753483526942,2,2016,SUD,28-Sep-96
Abdelkarim BEN ZAHRA,1491.567052462895,2,2018,MAR,27-Oct-98
Abdelaziz MERZOUGUI,1491.471085749377,3,2016,ESP,30-Aug-91
Ole HESSELBJERG,1491.1472621881821,3,2017,DEN,23-Apr-90
Nelson KIPKOGEI,1490.9940673890733,3,2017,KEN,9-Mar-93
Yuri FLORIANI,1490.8545970058026,6,2017,ITA,25-Dec-81
Martin GRAU,1490.6834224395825,1,2018,GER,26-Mar-92
José Gregorio PEÑA,1490.3396914131201,5,2017,VEN,12-Jan-87
Tesfaye GIRMA,1490.2063680577794,3,2018,ETH,24-Jan-97
Yohanes CHIAPPINELLI,1490.1752875139503,4,2018,ITA,18-Aug-97
Jeroen D'HOEDT,1489.9869928166686,3,2016,BEL,10-Jan-90
Muhand Khamis SAIFELDIN,1489.8779646815556,1,2018,QAT,13-Jan-99
Krystian ZALEWSKI,1489.3520772595657,13,2017,POL,11-Apr-89
Tarik Langat AKDAG,1489.072040174523,15,2017,KEN,16-Jun-88
Cleophas Kandie MEYAN,1488.818670791472,2,2018,KEN,14-Aug-00
Mohamed TINDOUFT,1488.3596407901375,5,2018,MAR,12-Mar-93
Napoleon SOLOMON,1487.5925224405019,3,2018,SWE,14-Feb-94
Yemane HAILESELASSIE,1486.2995950099762,10,2018,ERI,21-Feb-98
Sebastián MARTOS,1486.26222952003,9,2017,ESP,20-Jun-89
Rob MULLETT,1483.355114784591,5,2017,GBR,31-Jul-87
John KOECH,1482.5491495008255,12,2018,KEN,23-Aug-95
Zak SEDDON,1482.066351090076,3,2018,GBR,28-Jun-94
Ieuan THOMAS,1481.3582464540827,2,2018,GBR,17-Jul-89
Andrew BAYER,1480.5397323766838,14,2018,USA,3-Feb-90
Fernando CARRO,1479.9211233684223,7,2018,ESP,1-Apr-92
Mitko TSENOV,1477.4000881537345,8,2017,BUL,13-Jun-93
