Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Dafne SCHIPPERS,1636.31300546807,25,2017,NED,15-Jun-92
Elaine THOMPSON,1595.0280633962113,14,2017,JAM,28-Jun-92
Marie-Josée TA LOU,1579.0932659181963,14,2017,CIV,18-Nov-88
Shaunae MILLER-UIBO,1572.9925114838538,9,2017,BAH,15-Apr-94
Tori BOWIE,1570.6217308520877,9,2017,USA,27-Aug-90
Murielle AHOURÉ,1553.2409850298804,21,2017,CIV,23-Aug-87
Dina ASHER-SMITH,1542.9383895712103,14,2017,GBR,4-Dec-95
Deajah STEVENS,1536.079114504074,6,2017,USA,19-May-95
Allyson FELIX,1534.2685026256895,31,2017,USA,18-Nov-85
Rebekka HAASE,1520.1893244217035,3,2017,GER,2-Jan-93
Ivet LALOVA-COLLIO,1520.1343703926755,23,2017,BUL,18-May-84
Blessing OKAGBARE-IGHOTEGUONOR,1519.0649465218462,15,2017,NGR,9-Oct-88
Michelle-Lee AHYE,1517.2605040716417,4,2016,TTO,10-Apr-92
Veronica CAMPBELL-BROWN,1513.7579098243268,17,2017,JAM,15-May-82
Kimberlyn DUNCAN,1513.5183888270499,14,2017,USA,2-Aug-91
Simone FACEY,1513.108972763178,14,2017,JAM,7-May-85
Sabrina GROS,1512.33,1,2016,FRA,3-Sep-91
Kyra JEFFERSON,1512.1221324164949,3,2017,USA,23-Sep-94
Shelly-Ann FRASER-PRYCE,1511.3782830679697,14,2014,JAM,27-Dec-86
Jeneba TARMOH,1510.3051832091878,22,2016,USA,27-Sep-89
Edidiong Ofinome ODIONG,1509.0423215124501,4,2017,BRN,13-Mar-97
Tiffany TOWNSEND,1508.9771980479911,11,2016,USA,14-Jun-89
Shashalee FORBES,1506.3873311471057,2,2017,JAM,10-May-96
Myriam SOUMARE,1504.8880398289689,17,2014,FRA,29-Oct-86
Tianna BARTOLETTA,1504.4665157667591,1,2014,USA,30-Aug-85
Mariya RYEMYEN,1504.3912574910041,14,2013,UKR,2-Aug-87
Gina LÜCKENKEMPER,1504.1970532386933,3,2017,GER,21-Nov-96
Sherone SIMPSON,1503.1603953941021,21,2015,JAM,12-Aug-84
Carmelita JETER,1503.018225132506,15,2013,USA,24-Nov-79
Mujinga KAMBUNDJI,1502.786535190261,13,2017,SUI,17-Jun-92
Nercely SOTO,1502.5618754477819,4,2016,VEN,23-Aug-90
Lucie KUDELA,1502.5549512883485,1,2016,FRA,28-Jun-97
Kauiza MOREIRA VENANCIO,1502.5292727545968,1,2016,BRA,11-Jun-87
Kerron STEWART,1502.5152798428355,11,2015,JAM,16-Apr-84
Crystal EMMANUEL,1502.0775914110013,11,2017,CAN,27-Nov-91
Lea SPRUNGER,1501.9961857474145,3,2013,SUI,5-Mar-90
Jamile SAMUEL,1501.331503574027,2,2016,NED,24-Apr-92
Bianca KNIGHT,1501.1687479274192,20,2014,USA,2-Jan-89
Candyce MCGRONE,1501.1118044338082,10,2016,USA,24-Mar-89
Maria BELIMPASAKI,1500.888176627815,8,2017,GRE,19-Jun-91
Jenna PRANDINI,1500.8528188228483,8,2017,USA,20-Nov-92
Elisabeth SLETTUM,1500.8043364827795,1,2013,NOR,31-Aug-86
Desiree HENRY,1500.736095168316,3,2017,GBR,26-Aug-95
Kai SELVON,1500.7178281071963,6,2013,TTO,13-Apr-92
Lenora GUION FIRMIN,1500.573326254775,2,2013,FRA,7-Aug-91
Marshevet HOOKER,1500.3975814666687,1,2011,USA,25-Sep-84
Abiodun OYEPITAN,1500.3608498899894,5,2012,GBR,30-Dec-79
Franciela KRASUCKI,1500.2715966348878,1,2013,BRA,26-Apr-88
Natasha HASTINGS,1500.1934332010314,3,2014,USA,23-Jul-86
Natalia POHREBNIAK,1500.1823651608565,4,2016,UKR,19-Feb-88
Rose-Marie WHYTE-ROBINSON,1500.1572383188418,1,2010,JAM,8-Sep-86
Agné ŠERKŠNIENĖ,1500.1047018635104,1,2013,LTU,18-Feb-88
Anneisha MCLAUGHLIN-WHILBY,1500.0945365099765,15,2016,JAM,6-Jan-86
Olesya POVH,1500.052324811819,1,2011,UKR,18-Oct-87
LaShauntea MOORE,1500.004705509829,6,2013,USA,31-Jul-83
Janelle REDHEAD,1499.9704497288033,4,2012,GRN,27-Dec-89
Mikele BARBER,1499.9688713897222,1,2012,USA,4-Oct-80
Alexandria ANDERSON,1499.951627651338,1,2011,USA,28-Jan-87
Johanna DANOIS,1499.949446075941,3,2013,FRA,4-Apr-87
Christine AMERTIL,1499.9256161878216,1,2010,BAH,18-Aug-79
Ashlee KIDD,1499.8440725239457,1,2010,USA,26-Jul-85
Natalie KNIGHT,1499.835212552216,1,2010,USA,24-Oct-86
Christy UDOH,1499.8275610037908,1,2012,NGR,30-Sep-91
Semoy HACKETT,1499.80709620594,6,2017,TTO,27-Nov-88
Endurance ABINUWA,1499.7935190799867,1,2011,NGR,31-Jul-87
Ebonie FLOYD,1499.7809867627534,1,2010,USA,21-Oct-83
Kelly-Ann BAPTISTE,1499.7621765700596,3,2010,TTO,14-Oct-86
Ezinne OKPARAEBO,1499.7473665744374,1,2012,NOR,3-Mar-88
Evelyn Carolina de Oliveira DOS SANTOS,1499.747039761738,2,2012,BRA,11-Apr-85
Joëlle GOLAY,1499.7237444966686,1,2013,SUI,15-Oct-87
Cydonie MOTHERSILL,1499.7220744467545,5,2011,CAY,19-Mar-78
Lina JACQUES-SEBASTIEN,1499.695030259254,1,2010,FRA,10-May-85
Monica HARGROVE,1499.6946300933116,1,2010,USA,30-Dec-82
Samantha HENRY-ROBINSON,1499.685129342309,3,2013,JAM,25-Sep-88
Yana KACHUR,1499.6676265700844,1,2017,UKR,13-Jan-97
Vanda FERREIRA GOMES,1499.6534789686498,1,2011,BRA,7-Nov-88
Porscha LUCAS,1499.6422822322324,2,2010,USA,18-Jun-88
Sanya RICHARDS-ROSS,1499.6399870544724,7,2015,USA,26-Feb-85
Emily FREEMAN,1499.6269899072568,2,2010,GBR,24-Nov-80
Libania GRENOT,1499.6090638484188,1,2012,ITA,12-Jul-83
Marika POPOWICZ-DRAPAŁA,1499.5970756652482,1,2013,POL,28-Apr-88
Norma GONZÁLEZ,1499.567562039484,1,2012,COL,11-Aug-82
Sheri-Ann BROOKS,1499.5340090694885,3,2012,JAM,11-Feb-83
Nivea SMITH,1499.5323030632917,3,2013,BAH,18-Feb-90
Stephanie DURST,1499.5006763766587,1,2011,USA,6-Jan-82
Phumlile Sibonakele NDZINISA,1499.487436078481,1,2011,SWZ,21-Aug-92
Natalya RUSAKOVA,1499.4867521866022,1,2012,RUS,12-Dec-79
Fanette HUMAIR,1499.4574006531798,1,2013,SUI,8-Oct-91
Maryam TOOSI,1499.4547513932648,1,2011,IRI,5-Dec-88
Mary WINEBERG,1499.4451221859583,1,2012,USA,3-Jan-80
Yuliya GUSHCHINA,1499.4345345479574,2,2011,RUS,4-Mar-83
Lisa MAYER,1499.3701099864616,2,2016,GER,2-May-96
Aleksandra FEDORIVA-SPAYER,1499.3294757155536,9,2012,RUS,13-Sep-88
Gloria ASUMNU,1499.321545139705,1,2012,NGR,22-May-85
Erika Belinda CHÁVEZ,1499.2804936173047,1,2012,ECU,4-Jun-90
Tessa VAN SCHAGEN,1499.1988730869084,1,2016,NED,2-Feb-94
Mary Jane VINCENT,1499.1975425486607,1,2011,MRI,25-Jan-88
Marie DUVIGNEAU,1499.19739104657,1,2016,FRA,10-Apr-99
Hanne CLAES,1499.1914386429776,1,2012,BEL,4-Aug-91
Shan JIANG,1499.1826573962758,1,2012,CHN,4-Feb-91
Fanny SHONOBI,1499.182361566176,1,2011,GAM,4-Aug-87
Folake AKINYEMI,1499.1557743256021,1,2012,NOR,31-Mar-90
Aliann Tabitha POMPEY,1499.1316539380427,1,2012,GUY,9-Mar-78
Patricia HALL,1499.1299209308704,4,2013,JAM,16-Oct-82
Vida ANIM,1499.0845909776135,1,2012,GHA,7-Dec-83
Kamaria BROWN,1499.0800202046858,1,2015,USA,21-Dec-92
Kirsten NIEUWENDAM,1499.0542109987387,1,2012,SUR,26-Aug-91
Khamica BINGHAM,1498.9840040876702,2,2015,CAN,15-Jun-94
Klára SEIDLOVÁ,1498.9734280407347,1,2013,CZE,10-Mar-94
Andreea OGRĂZEANU,1498.9627746140634,2,2013,ROU,24-Mar-90
Allison PETER,1498.9384000153218,4,2012,ISV,14-Jul-92
Lauryn WILLIAMS,1498.923886008305,2,2013,USA,11-Sep-83
Aleen BAILEY,1498.8580009533189,4,2012,JAM,25-Nov-80
Shannon HYLTON,1498.8394716084526,1,2017,GBR,19-Dec-96
Nelky CASABONA,1498.7932153035372,3,2012,CUB,12-May-84
Consuella MOORE,1498.7319734390776,4,2011,USA,29-Aug-81
Ndeye SOUMAH FATOU,1498.7099375457906,1,2012,SEN,6-Apr-86
Greta TASLAKIAN,1498.6746123708856,1,2012,LBN,16-Aug-85
Vladislava OVCHARENKO,1498.6597708463764,1,2012,TJK,18-Dec-86
Anyika ONUORA,1498.6560200497102,8,2015,GBR,28-Oct-84
Luan GABRIEL,1498.612782285627,1,2012,DMA,3-May-96
Déborah SANANES,1498.5554653001682,1,2013,FRA,26-Oct-95
Barbara PIERRE,1498.5095618967598,1,2014,USA,28-Apr-87
Yelizaveta DEMIROVA,1498.3705903485074,5,2013,RUS,14-Aug-87
DeeDee TROTTER,1498.268163956368,2,2013,USA,8-Dec-82
Alyssa CONLEY,1498.2444782293446,1,2016,RSA,27-Apr-91
English GARDNER,1498.180859619973,2,2014,USA,22-Apr-92
Seyha CHAN,1497.9868691496736,2,2012,CAM,8-Sep-94
Hinkissia Albertina NDIKERT,1497.9109977382013,2,2012,CHA,15-Sep-92
Karene KING,1497.905140883206,1,2013,IVB,24-Oct-87
Danah HUSSEIN,1497.8650352787945,1,2013,IRQ,3-Jan-86
Anthonique STRACHAN,1497.8544559728607,16,2017,BAH,22-Aug-93
Ramona PAPAIOANNOU,1497.8373426250268,2,2016,CYP,15-Jun-89
Melissa BREEN,1497.7822112716135,1,2013,AUS,17-Sep-90
Sindija BUKŠA,1497.7640824885152,1,2017,LAT,14-Dec-97
Olga SAFRONOVA,1497.7127947935599,3,2016,KAZ,5-Nov-91
Dezerea BRYANT,1497.6057076885,2,2015,USA,27-Apr-93
Regina GEORGE,1497.561602454885,1,2014,NGR,17-Feb-91
Debbie FERGUSON-MCKENZIE,1497.5056764819155,17,2013,BAH,16-Jan-76
Yekaterina SMIRNOVA,1497.4843924023876,1,2015,RUS,8-Sep-88
Benedicte LOISON,1497.2231202371722,1,2016,FRA,15-Nov-87
Marta JESCHKE,1497.1274137026571,1,2015,POL,2-Jun-86
Hanna Maari LATVALA,1497.1135100937956,3,2014,FIN,30-Oct-87
Shalonda SOLOMON,1497.0783220418302,15,2016,USA,19-Dec-85
Jessica ENNIS-HILL,1496.8686468817336,2,2015,GBR,28-Jan-86
Ana Claudia LEMOS,1496.830987846533,6,2013,BRA,6-Nov-88
Moa HJELMER,1496.7699422039668,3,2015,SWE,19-Jun-90
Yongli WEI,1496.635015312515,3,2016,CHN,11-Oct-91
Rosângela SANTOS,1496.5435596184716,5,2017,BRA,20-Dec-90
Ashley KELLY,1496.510161145804,1,2016,IVB,25-Mar-91
Cornelia HALBHEER,1496.5065806235327,1,2017,SUI,16-Aug-92
Hrystyna STUY,1496.5051896829711,12,2015,UKR,3-Feb-88
Finette AGYAPONG,1496.2844502890684,1,2017,GBR,1-Feb-97
Reyare THOMAS,1496.2789390065423,3,2016,TTO,23-Nov-87
Jessica YOUNG-WARREN,1496.2064799572104,1,2015,USA,6-Apr-87
Kamaria DURANT,1496.1178366069346,1,2015,TTO,24-Feb-91
Ángela Gabriela TENORIO,1496.040838717911,3,2016,ECU,27-Jan-96
Xiaojing LIANG,1496.017180201624,1,2015,CHN,7-Apr-97
Matilda HELLQVIST,1495.9749707319352,1,2015,SWE,28-Jul-93
Yelizaveta BRYZGINA,1495.7212011089032,7,2016,UKR,28-Nov-89
Adeline FERNANDEZ,1495.5333154827517,1,2016,FRA,16-Dec-90
Eleni ARTYMATA,1495.2523493474978,4,2016,CYP,16-May-86
Kimberly HYACINTHE,1495.0821286759228,7,2016,CAN,28-Mar-89
Srabani NANDA,1494.9981747079369,1,2016,IND,7-May-91
Celiangely MORALES,1494.8988843729926,2,2016,PUR,2-Nov-85
Tameka WILLIAMS,1494.6909291821949,1,2016,SKN,31-Aug-89
Kelly PROPER,1494.6402447711394,1,2015,IRL,1-May-88
Veronica Shanti PEREIRA,1494.4528539961107,1,2015,SGP,20-Sep-96
Olga LENSKAY YARKO,1494.416434849259,1,2015,ISR,24-Dec-92
Nigina SHARIPOVA,1494.407239559578,1,2016,UZB,10-Aug-95
Anna KUKUSHKINA,1494.347405558366,1,2015,RUS,13-Dec-92
Brigitte NTIAMOAH,1494.0343142728839,1,2016,FRA,5-Mar-94
Huijun LIN,1493.8094048543749,1,2016,CHN,1-Feb-93
Justine PALFRAMAN,1493.719027752112,6,2017,RSA,4-Nov-93
Helene RØNNINGEN,1493.7040395893914,1,2016,NOR,4-Sep-98
Sada WILLIAMS,1493.5377799145745,1,2017,BAR,1-Dec-97
Tynia GAITHER,1493.3174856095889,5,2017,BAH,16-Mar-93
Aurelie BELLUNE,1493.1612219451572,1,2016,FRA,14-Sep-87
Aurelle ALCINDOR,1493.1259515448646,1,2016,MRI,20-Mar-94
Kineke ALEXANDER,1493.0885733568525,2,2015,VIN,21-Feb-86
Brenessa THOMPSON,1492.979292637171,1,2016,GUY,22-Jul-96
Jodie WILLIAMS,1492.8766965090513,12,2016,GBR,28-Sep-93
Margaret ADEOYE,1492.8218875938064,7,2016,GBR,22-Apr-85
Jodean WILLIAMS,1492.8106556737778,2,2017,JAM,11-Nov-93
Diana KHUBESERYAN,1492.7286806952143,1,2016,ARM,5-May-94
Chisato FUKUSHIMA,1492.6844046685796,6,2016,JPN,27-Jun-88
Sabina VEIT,1492.4422361100414,2,2016,SLO,2-Dec-85
Maroussia PARÉ,1492.2417907859503,1,2017,FRA,18-Jul-96
Sarah ATCHO,1492.1668348895023,4,2017,SUI,1-Jun-95
Estelle RAFFAI,1491.9952029821684,2,2017,FRA,6-Feb-98
Arialis Josefa GANDULLA,1491.5838455682504,2,2016,CUB,22-Jun-95
Joanna ATKINS,1491.4365558715476,5,2017,USA,31-Jan-89
Maja MIHALINEC,1491.1223410750458,3,2016,SLO,17-Dec-89
Janet AMPONSAH,1491.0712691393824,3,2017,GHA,12-Apr-93
Nadine GONSKA,1490.864209869003,2,2017,GER,23-Jan-90
Vitoria Cristina ROSA,1490.8484180693297,4,2017,BRA,12-Jan-96
Irene SIRAGUSA,1490.835731795593,1,2017,ITA,23-Jun-93
Nediam VARGAS,1490.6470884615228,1,2017,VEN,5-Sep-94
Natalіya STROHOVA,1490.4258203101456,2,2016,UKR,26-Dec-92
LaVerne JONES-FERRETTE,1490.2559985195917,4,2016,ISV,16-Sep-81
Gayane CHILOYAN,1490.1587490218192,1,2016,ARM,27-Sep-00
Abdul Rahim MAIZURAH,1490.0111560228922,1,2016,BRU,15-Apr-99
Irene EKELUND,1489.8539875855997,3,2016,SWE,8-Mar-97
Margaret Rumat HASSAN,1489.7793296806635,1,2016,SSD,12-Aug-97
Anna KIEŁBASIŃSKA,1489.7544484685818,8,2017,POL,26-Jun-90
Najma PARVEEN,1489.7412915711811,1,2016,PAK,20-Dec-90
Yelena RYABOVA,1489.7306986896363,1,2016,TKM,3-Nov-90
Kayelle CLARKE,1489.6930267633234,1,2017,TTO,28-Feb-96
Lorène Dorcas BAZOLO,1489.3887948427841,2,2017,POR,4-May-83
Elin ÖSTLUND,1489.078890253098,1,2017,SWE,14-Feb-91
Olivia BORLÉE,1488.851117800073,4,2016,BEL,10-Apr-86
Charonda WILLIAMS,1488.621514858563,21,2016,USA,27-Mar-87
Viktoriya ZYABKINA,1488.1277527427906,7,2017,KAZ,4-Sep-92
Afa ISMAIL,1487.1018022993462,3,2016,MDV,1-Nov-93
Kaylin WHITNEY,1486.9906151550435,5,2016,USA,9-Mar-98
Sheniqua FERGUSON,1485.8899193893517,2,2016,BAH,24-Nov-89
Riley DAY,1485.6749976907126,1,2017,AUS,30-Mar-00
Estela GARCÍA,1485.1167073728136,3,2017,ESP,20-Mar-89
Kristina PRONZHENKO,1484.8022929870863,2,2016,TJK,10-Dec-88
Regine Kate TUGADE,1484.721008021958,1,2017,GUM,28-Jan-98
Ulfa SILPIANA,1484.0448706187674,1,2017,INA,8-Mar-97
Cynthia BOLINGO,1483.5882678425487,3,2016,BEL,12-Jan-93
Toea WISIL,1482.678040687551,2,2017,PNG,1-Jan-88
Mariely SÁNCHEZ,1481.9905296505976,5,2017,DOM,30-Dec-88
Fanny PELTIER,1481.8879048021513,2,2017,FRA,25-May-97
Gina BASS,1481.5186420639839,2,2017,GAM,3-May-95
Ella NELSON,1478.628910034206,7,2017,AUS,10-May-94
Isidora JIMÉNEZ,1478.513370791792,4,2017,CHI,10-Aug-93
Gloria HOOPER,1477.9156861063166,9,2017,ITA,3-Mar-92
Bianca WILLIAMS,1477.3545568130558,10,2017,GBR,18-Dec-93
