Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Conseslus KIPRUTO,1690.6416245339215,35,2017,KEN,8-Dec-94
Soufiane EL BAKKALI,1613.8958307810954,11,2017,MAR,7-Jan-96
Evan JAGER,1590.312898210306,21,2017,USA,8-Mar-89
Mahiedine MEKHISSI,1552.7346935190697,20,2017,FRA,15-Mar-85
Jairus Kipchoge BIRECH,1545.0325873296883,41,2017,KEN,14-Dec-92
Stanley Kipkoech KEBENEI,1533.9632046110578,7,2017,USA,6-Nov-89
Paul Kipsiele KOECH,1529.8495249306598,47,2016,KEN,10-Nov-81
Ezekiel KEMBOI,1521.6904750556203,32,2017,KEN,25-May-82
Matthew HUGHES,1520.7332020712547,18,2017,CAN,3-Aug-89
Tesfaye DERIBA,1518.330183153067,2,2017,ETH,11-Sep-98
Hillary BOR,1514.845711162539,6,2017,USA,22-Nov-89
Nicholas Kiptanui BETT,1513.4304076605822,7,2017,KEN,20-Dec-96
Getnet WALE,1511.821270713328,2,2017,ETH,16-Jul-00
Brimin Kiprop KIPRUTO,1511.1741019488363,39,2017,KEN,31-Jul-85
Tafese SOBOKA,1510.7635337666052,5,2017,ETH,29-Sep-93
Albert CHEMUTAI,1509.7805717067831,2,2017,UGA,25-Nov-99
Amos KIRUI,1509.4251753840504,5,2017,KEN,9-Feb-98
Brahim TALEB,1507.5527989633642,12,2015,MAR,16-Feb-85
Yoann KOWAL,1505.986707990982,19,2017,FRA,28-May-87
Barnabas KIPYEGO,1505.0283077133258,10,2017,KEN,12-Jun-95
Hamid EZZINE,1504.9147435964228,15,2016,MAR,5-Oct-83
Abraham KIBIWOT,1504.8111926924262,9,2017,KEN,6-Apr-96
Hillary Kipsang YEGO,1504.1340541329123,28,2016,KEN,2-Apr-92
Benjamin KIGEN,1503.8207045133277,2,2017,KEN,5-Jul-93
Jonathan Muia NDIKU,1502.0795581696175,11,2015,KEN,18-Sep-91
Daniel HULING,1501.8487084321414,18,2015,USA,16-Jul-83
Bouabdellah TAHRI,1501.397604903369,4,2011,FRA,20-Dec-78
Willy Rutto KOMEN,1501.2341926028957,1,2011,KEN,22-Dec-87
Dikotsi LEKOPA,1500.7779656100129,1,2015,RSA,7-Jul-88
Abel Kiprop MUTAI,1500.744989523524,23,2016,KEN,2-Oct-88
De'Sean TURNER,1500.3613977155874,2,2013,USA,16-Sep-88
Brian OLINGER,1500.3140313699487,2,2011,USA,2-Jun-83
Linus Kipwambok CHUMBA,1500.3062803882392,5,2011,KEN,9-Feb-80
Donald CABRAL,1500.1687002808762,14,2017,USA,12-Dec-89
Saif Saaeed SHAHEEN,1499.9881465198287,1,2010,QAT,15-Oct-82
Albert Kiptoo YATOR,1499.9832820163872,1,2010,KEN,6-Sep-93
Roba GARI,1499.923808591795,17,2013,ETH,12-Apr-82
Abdelmadjed TOUIL,1499.9211033552774,1,2013,ALG,11-Feb-89
Anthony FAMIGLIETTI,1499.9048228917284,1,2010,USA,8-Nov-78
Michael KIPYEGO,1499.889477535456,4,2010,KEN,2-Oct-83
Bisluke Kipkorir KIPLAGAT,1499.889432010322,1,2010,KEN,8-Aug-88
Patrick Kipyegon TERER,1499.8529534618197,1,2010,KEN,6-Jul-89
Wesley KIPROTICH,1499.8188533771147,1,2010,KEN,1-Aug-79
Chala BEYO,1499.810368298035,2,2017,ETH,18-Jan-96
Richard Kipkemboi MATEELONG,1499.7921242469783,13,2013,KEN,14-Oct-83
Mário TEIXEIRA,1499.7742187733975,1,2010,POR,20-Sep-74
Nouredine SMAIL,1499.7550231832606,3,2013,FRA,6-Feb-87
Nordine GEZZAR,1499.7390768914277,2,2011,FRA,17-Feb-80
Rabie MAKHLOUFI,1499.725887266451,1,2010,ALG,11-Nov-86
Irba LAKHAL,1499.7252767074783,1,2010,FRA,12-Dec-75
Scott MACPHERSON,1499.7104561004758,1,2010,USA,27-Feb-87
Hubert POKROP,1499.6997198035938,1,2011,POL,2-Nov-85
Yang LE,1499.6526815144553,1,2011,CHN,9-Apr-87
Birhan GETAHUN,1499.6414790174617,1,2012,ETH,5-Sep-91
Mohamed-Khaled BELABBAS,1499.6336177188346,4,2012,FRA,4-Jul-81
Mustafa MOHAMED,1499.6247028776734,2,2010,SWE,1-Mar-79
Łukasz OSLIZLO,1499.6199376303034,1,2012,POL,14-May-89
Andrew POORE,1499.5685952119,1,2013,USA,3-Dec-88
Xiangqian LIN,1499.5549444500018,1,2011,CHN,27-Jan-87
Tomas TAJADURA JUEZ,1499.4723770783594,1,2011,ESP,25-Jun-85
Abraham CHIRCHIR,1499.4349327566233,3,2011,KEN,1-Aug-80
Abdelkader HACHLAF,1499.398544880406,1,2011,MAR,3-Jul-79
Abdelhakim ZILALI,1499.38041019838,2,2011,FRA,20-Jun-83
Timothy TOROITICH,1499.3185611252054,1,2013,UGA,10-Oct-91
Simon AYEKO,1499.2470656300532,3,2012,UGA,10-May-87
Tanguy PEPIOT,1499.2114718300518,1,2012,FRA,6-Jul-91
Jacob ARAPTANY,1499.2040191972346,10,2017,UGA,11-Feb-92
Krijn VAN KOOLWIJK,1499.1943568896886,3,2011,BEL,30-Aug-81
Silas Kosgei KITUM,1499.1893612414783,7,2012,KEN,25-May-90
Ali Ahmed AL AMRI,1499.1705601897843,3,2012,KSA,28-Dec-87
Artem KOSINOV,1499.0869456662813,1,2012,KAZ,31-Jul-86
Ruben RAMOLEFI,1499.0868978397493,11,2012,RSA,17-Jul-78
Weynay GHEBRESELASSIE,1499.0588020618488,1,2012,ERI,24-Mar-94
Ivan LUKYANOV,1499.0411998976156,12,2014,MDA,31-Jan-81
Altobeli SANTOS DA SILVA,1499.0289646484507,4,2017,BRA,3-Dec-90
Antonio David JIMÉNEZ,1498.9916909795138,4,2012,ESP,18-Feb-77
Mario BAZÁN,1498.922622214121,1,2012,PER,1-Sep-87
Hichem BOUCHICHA,1498.903922890133,5,2017,ALG,19-May-89
Albert MINCZÉR,1498.8878294672422,1,2012,HUN,1-Oct-86
Elijah CHELIMO,1498.8591460599132,8,2013,KEN,20-Apr-87
Kyle ALCORN,1498.8437476035979,4,2012,USA,18-Mar-85
Jukka KESKISALO,1498.7878724287511,5,2014,FIN,27-Mar-81
Amor BEN YAHIA,1498.7326288531508,4,2016,TUN,1-Jul-85
Steve SLATTERY,1498.732492118163,6,2011,USA,14-Aug-80
Mark DRAPER,1498.7161198314811,2,2013,GBR,28-Jun-84
Andrey FARNOSOV,1498.7075821515568,3,2012,RUS,9-Jul-80
Ibrahim EZZAYDOUNI,1498.5888320378142,1,2017,ESP,28-Apr-91
Clement Kimutai KEMBOI,1498.4955510134885,12,2017,KEN,10-Feb-92
Nahom Mesfin TARIKU,1498.4895613752674,7,2013,ETH,3-Jun-89
Stuart STOKES,1498.442379864071,2,2012,GBR,5-Dec-76
Festus KIPRONO,1498.429850268969,1,2015,KEN,29-Dec-95
Vadim SLOBODENYUK,1498.4193732724793,2,2013,UKR,17-Mar-81
Gilbert KIRUI,1498.370462811767,12,2015,KEN,22-Jan-94
William NELSON,1498.2538024663759,7,2012,USA,11-Sep-84
Víctor GARCÍA,1498.1295020613563,4,2015,ESP,13-Mar-85
Ángel MULLERA,1498.0911659214314,8,2015,ESP,20-Apr-84
Tareq Mubarak TAHER,1498.013004962124,5,2013,BRN,1-Dec-86
Alberto Casimiro PAULO,1497.9410072993473,5,2012,POR,3-Oct-85
Patrick NASTI,1497.9345661823247,1,2013,ITA,30-Aug-89
Meresa KAHSAY,1497.932508770328,3,2014,ETH,23-May-96
Tomasz SZYMKOWIAK,1497.9039414090032,7,2013,POL,5-Jul-83
Ben BRUCE,1497.8622730402062,9,2013,USA,10-Sep-82
Abubaker Ali KAMAL,1497.8161904950807,3,2014,QAT,8-Nov-83
Youcef ABDI,1497.6967716902536,9,2012,AUS,7-Dec-77
Sisay KORME,1497.5913774309288,1,2015,ETH,9-Jan-85
Vincent ZOUAOUI DANDRIEUX,1497.5506224928872,8,2012,FRA,12-Oct-80
Steffen ULICZKA,1497.4609491683045,4,2013,GER,17-Jul-84
Habtamu FAYISA,1497.3812578706447,2,2014,ETH,19-Apr-93
Daniel LUNDGREN,1497.1737132595244,1,2015,SWE,4-Jul-85
Nikolay CHAVKIN,1497.0431518073701,3,2015,RUS,24-Apr-84
Ala ZOGHLAMI,1496.6948241694254,2,2017,ITA,19-Jun-94
Tao YANG,1496.6509539069204,1,2015,CHN,23-Mar-87
Aras KAYA,1496.6339581344387,1,2016,TUR,4-Apr-94
Valentin PEPIOT,1496.2865760322538,1,2016,FRA,6-Jul-91
Jakob INGEBRIGTSEN,1496.2825792660105,1,2017,NOR,19-Sep-00
James WILKINSON,1496.2729611644404,4,2014,GBR,13-Jul-90
Jamel CHATBI,1496.1031526306604,2,2016,ITA,30-Apr-84
Hicham SIGUENI,1495.8216992502876,6,2017,MAR,30-Jan-93
Bjørnar Ustad KRISTENSEN,1495.6288741495118,5,2015,NOR,26-Jan-82
Younés KNIYA,1495.566192560623,1,2016,MAR,15-Aug-95
Roberto ALAIZ,1495.5623160317082,3,2015,ESP,20-Jul-90
Alexandre GENEST,1495.5447493058564,6,2015,CAN,30-Jun-86
Gerald Nicolas GIRALDO VILLA,1495.4973946362495,1,2015,COL,21-Mar-89
Djilali BEDRANI,1495.4352115201805,1,2017,FRA,1-Oct-93
Tumisang MONNATLALA,1495.278018020756,1,2015,RSA,31-Oct-95
Yemane HAILESELASSIE,1495.2428003117066,8,2017,ERI,21-Feb-98
James NIPPERESS,1494.8141036321504,2,2015,AUS,21-May-90
Napoleon SOLOMON,1494.686626876125,1,2017,SWE,14-Feb-94
Łukasz PARSZCZYŃSKI,1494.6392254311268,8,2014,POL,4-May-85
Ilgizar SAFIULIN,1494.5309169911493,7,2015,RUS,9-Dec-92
Andrew BAYER,1494.433021715125,11,2017,USA,3-Feb-90
Mateusz DEMCZYSZAK,1494.3055559851737,3,2015,POL,18-Jan-86
Sapolai YAO,1494.1854493067485,1,2015,PNG,15-Sep-82
Tesfaye GIRMA,1494.1803665965228,2,2017,ETH,24-Jan-97
Halil AKKAŞ,1494.0072075372477,2,2016,TUR,1-Jul-83
Jaouad CHEMLAL,1493.865237016937,4,2016,MAR,11-Apr-94
Hailemariyam AMARE,1493.7296580239868,4,2017,ETH,22-Feb-97
Kazuya SHIOJIRI,1493.644687718047,1,2016,JPN,8-Nov-96
Cory LESLIE,1493.3681257419905,4,2016,USA,24-Oct-89
Bilal TABTI,1493.195161836803,5,2017,ALG,7-Jun-93
Tolosa NURGI,1492.900868240019,4,2016,ETH,29-Mar-90
Haron LAGAT,1492.6527303905323,4,2017,KEN,15-Aug-83
Luke GUNN,1492.611400478545,5,2016,GBR,22-Mar-85
Zak SEDDON,1492.3134598997954,1,2017,GBR,28-Jun-94
Jonathan ROMEO,1492.2795408545383,1,2017,ESP,13-Aug-94
Emil BLOMBERG,1492.1382082415053,1,2017,SWE,9-Apr-92
Hashim Mohamed SALAH,1491.6270673100032,2,2015,QAT,15-Apr-94
Benjamin KIPLAGAT,1491.4940038897976,23,2016,UGA,4-Mar-89
Hosein KEYHANI,1491.008170598352,1,2017,IRI,26-Apr-90
