Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Jehue GORDON,1607.2593225416442,27,2013,TTO,15-Dec-91
Michael TINSLEY,1584.2049575861429,23,2013,USA,21-Apr-84
Javier CULSON,1576.7181908166995,32,2013,PUR,25-Jul-84
Angelo TAYLOR,1540.3218502223312,17,2012,USA,29-Dec-78
Omar CISNEROS,1538.2574376245745,15,2013,CUB,19-Nov-89
Félix SÁNCHEZ,1536.928801912755,26,2013,DOM,30-Aug-77
Johnny DUTCH,1536.068537775722,9,2013,USA,20-Jan-89
Emir BEKRIĆ,1531.4308272876601,7,2013,SRB,14-Mar-91
David GREENE,1524.5379337443565,23,2013,GBR,11-Apr-86
Varg KÖNIGSMARK,1523.3357142857142,1,2013,GER,28-Apr-92
Leford GREEN,1515.91546038126,12,2013,JAM,14-Nov-86
Mamadou Kasse HANN,1515.7409075699463,10,2013,SEN,10-Oct-86
Bershawn JACKSON,1513.470512920942,21,2013,USA,8-May-83
Annsert WHYTE,1508.7717057780037,2,2013,JAM,4-Oct-87
Brent LARUE,1507.294676501958,2,2012,SLO,26-Apr-87
Kariem HUSSEIN,1506.5917045251635,1,2013,SUI,4-Jan-89
Brendan COLE,1502.5306328994582,2,2012,AUS,29-May-81
Stanislav MELNYIKOV,1501.1169897895022,4,2012,UKR,26-Feb-87
Silvio SCHIRRMEISTER,1501.0603136733348,1,2012,GER,7-Dec-88
Øyvind Strømmen KJERPESET,1501.0005870011678,1,2013,NOR,12-Dec-91
Tetsuya TATENO,1499.9536254799764,1,2012,JPN,5-Aug-91
Rhys WILLIAMS,1498.4035240566277,12,2013,GBR,27-Feb-84
Sébastien MAILLARD,1498.3946720980507,1,2010,FRA,2-May-81
LaRon BENNETT,1498.2445700758235,1,2011,USA,25-Nov-82
Jeshua ANDERSON,1498.2403517679668,4,2013,USA,22-Jun-89
Jack GREEN,1498.2281303514412,7,2012,GBR,6-Oct-91
Nathan WOODWARD,1498.1912750251595,3,2012,GBR,17-Oct-89
Michal BROŽ,1497.9968670619537,1,2013,CZE,16-Jun-92
Kenneth MEDWOOD,1497.9335689158338,3,2012,BIZ,14-Dec-87
Nils DUERINCK,1497.7493169170637,1,2010,BEL,20-Mar-84
Andreas TOTSÅS,1497.605503986479,1,2010,NOR,1-Jul-81
Bandar Yahya AL SHARAKILI,1497.6043346487754,1,2010,KSA,6-Mar-87
Aleksandr DEREVYAGIN,1497.251180832537,5,2012,RUS,24-Mar-79
Periklis IAKOVAKIS,1497.177917772684,1,2012,GRE,24-Mar-79
Amaurys VALLE,1496.9852253461354,2,2012,CUB,18-Jan-90
Amaechi MORTON,1496.916500891557,1,2012,NGR,30-Oct-89
Vyacheslav SAKAYEV,1496.8894918639257,1,2012,RUS,12-Jan-88
Roxroy CATO,1496.8874003212186,1,2012,JAM,1-May-88
Yasuhiro FUEKI,1496.0308144880614,1,2013,JPN,20-Dec-85
Denis KUDRYAVTSEV,1495.953435839709,1,2013,RUS,13-Apr-92
Adrien CLEMENCEAU,1495.9117730653666,1,2012,FRA,25-May-88
Jesper ARTS,1495.9096277708363,1,2013,NED,2-Apr-92
Richard DAVENPORT,1495.7802939177222,1,2011,GBR,12-Sep-85
José Reynaldo BENCOSME DE LEON,1495.3876777428159,3,2012,ITA,16-May-92
Kerron CLEMENT,1495.3202092225033,16,2013,USA,31-Oct-85
Takayuki KISHIMOTO,1495.1908690168748,3,2013,JPN,6-May-90
Seung-yun LEE,1494.9314490233223,1,2011,KOR,28-Feb-89
Wen CHENG,1494.901014745708,3,2012,CHN,6-Apr-89
Timofey CHALYY,1494.7956204531824,2,2013,RUS,7-Apr-94
Bonface MUCHERU,1494.473079331745,1,2012,KEN,2-May-92
Jean Antonio VIEILLESSE,1494.316632953389,1,2011,MRI,24-Jan-86
Jamele MASON,1494.269218835898,2,2012,PUR,19-Oct-89
Justin GAYMON,1494.2264669442998,18,2013,USA,13-Dec-86
Andreas RITZ,1494.1133884965238,1,2013,SUI,3-Aug-89
Josef ROBERTSON,1493.6005668785629,3,2012,JAM,14-May-87
Chieh CHEN,1493.0801015508614,1,2012,TPE,8-May-92
Josef PROROK,1493.0354241353625,1,2012,CZE,16-Nov-87
Artem DYATLOV,1492.6289436168845,1,2012,UZB,22-May-89
Leonardo CAPOTOSTI,1492.4841886783329,1,2013,ITA,24-Jul-88
Héni KECHI,1492.302084583985,2,2012,FRA,31-Aug-80
Stephane YATO,1492.1431541513462,1,2013,FRA,11-Sep-92
Richard YATES,1491.9105345685757,3,2012,GBR,26-Jan-86
Michael BULTHEEL,1491.8883035092354,5,2012,BEL,30-Jun-86
Yuta IMAZEKI,1491.8362043788775,2,2012,JPN,6-Nov-87
Cornel FREDERICKS,1491.1672509620435,14,2013,RSA,3-Mar-90
Jorge PAULA,1490.876562361132,2,2012,POR,8-Oct-84
Stef VANHAEREN,1490.6275321265935,1,2013,BEL,15-Jan-92
Vincent Kiplangat KOSGEI,1490.5835328853263,3,2012,KEN,11-Nov-85
Miloud RAHMANI,1490.3441579383384,1,2013,ALG,30-Oct-83
Mowen BOINO,1490.3358890322397,1,2013,PNG,16-Dec-79
LJ VAN ZYL,1490.3313782402147,17,2013,RSA,20-Jul-85
Jeffery GIBSON,1490.084231111218,2,2013,BAH,15-Aug-90
Rasmus MÄGI,1490.0328450465502,3,2013,EST,4-May-92
Viktor LEPTIKOV,1489.9481467637768,1,2012,KAZ,2-Jul-87
Winder Bolivar CUEVAS,1489.752536079627,1,2012,DOM,1-Aug-88
Jonathan PUEMI,1488.9089567072942,1,2013,SUI,7-Apr-91
Yoann DECIMUS,1488.4298891079275,1,2013,FRA,30-Nov-87
Kurt Leone COUTO,1487.6373448919985,5,2012,MOZ,14-May-85
Eric ALEJANDRO,1486.701897149876,4,2013,PUR,15-Apr-86
Sebastian RODGER,1485.4200243011228,3,2013,GBR,29-Jun-91
Eric CRAY,1484.9284232175876,1,2013,PHI,6-Nov-88
Zhilong LI,1484.7401002626484,3,2012,CHN,9-Mar-88
Pieter BENEKE,1484.2828723093598,1,2013,RSA,18-Jul-90
Isa PHILLIPS,1483.9723139091466,12,2013,JAM,22-Apr-84
Takatoshi ABE,1483.107975286337,2,2013,JPN,12-Nov-91
