Athlete,Rating,Number Of Races
"Wote, Aman",1485.0105194720813,16
"Mousab, Adam",1484.7259834779352,4
"Sundstrom, Simon",1484.0852236862015,1
"Birgen, Bethwell",1483.6083504627582,22
"Riva, Federico",1483.5429105491735,1
"Grice, Charles",1482.7974752013022,13
"Lemi, Teddese",1482.7899833860465,2
"Mouhyadin, Abdi",1482.4043564451126,2
"Rotich, Abraham",1482.3299575375659,1
"Rogestedt, Johan",1481.1869876226044,4
"Garrido, Lucirio",1479.9412785757447,1
"Matthews, Luke",1479.787694375097,5
"Keddar, Salim",1479.54782216147,2
"Sasinek, Filip",1478.3550142887213,3
"Manangoi, George",1477.7606690092373,6
"Ouladha, Hicham",1477.6153494669682,3
"Tison, Quentin",1476.8897938949347,2
"Hassan, Abdirahman",1471.7728398422882,1
"Wol, Yach",1471.0942206127704,1
"Lokoro, Paulo",1470.3918144442505,1
"Dzholomanov, Musulman",1470.3271342827454,1
"Mohamed, Abdullahi",1468.443164852719,1
"Taki, Kumari",1468.3501409178953,4
"Johnson, Jinson",1463.8917192501776,1
"Ramsden, Matthew",1463.348748819571,5
"Holusa, Jakub",1455.6184086321366,17
"Mechaal, Adel",1449.9651550547546,8
"Gregson, Ryan",1447.1400174585435,33
"Debjani, Ismael",1423.632382700796,9
