Athlete,Rating,Number Of Races
"Korir, Emmanuel",1624.9675872588714,9
"Amos, Nijel",1622.2552220249318,16
"Bosse, Pierre-Ambroise",1536.2750458320666,14
"Kinyamal, Wycliffe",1534.6530112011583,6
"Rudisha, David",1532.0170613804714,7
"Rotich, Ferguson",1528.8314269465131,22
"Kitilit, Jonathan",1528.3597606681083,7
"Lewandowski, Marcin",1528.1581298463816,16
"Makhloufi, Taofik",1523.883507677388,4
"Brazier, Donovan",1518.0903579911032,6
"Berian, Boris",1517.605574790879,4
"Manangoi, Elijah",1516.2386390927536,3
"Bett, Kipyegon",1512.3745623977386,12
"McBride, Brandon",1511.4285053906533,16
"Kszczot, Adam",1511.3037296689336,20
"Murphy, Clayton",1510.2888971693476,8
"Ordonez, Saul",1509.480774151157,2
"Van Rensburg, Reinhardt",1508.631,1
"Hethat, Yassine",1507.394708276704,2
"Rozmys, Michal",1505.8643552586536,2
"Biwott, Robert",1505.0550354192692,4
"Souleiman, Ayanleh",1504.9961578996765,2
"Harris, Isaiah",1503.202005768303,3
"Belferar, Amine",1502.4900513582488,2
"Mikhou, Sadik",1502.0094316879902,1
"Tuwei, Cornelius",1501.852524738386,2
"Mohamed, Hamada",1501.6566680664605,2
"Bube, Andreas",1500.9984257403776,3
"Abdalla, Abubaker",1500.92080185327,3
"Kleberson, Davide",1500.1042365327314,2
"Ralph, Joshua",1499.8586919577765,1
"Arroyo, Andres",1499.8446436323304,3
"Kramer, Andreas",1499.6978853479284,3
"Andre, Thiago",1499.4753857942248,4
"Rotich, Andrew",1499.2031150656167,1
"Wightman, Jake",1499.0654202878766,5
"Aman, Mohammed",1498.9714068499686,8
"Kipkoech, Nicholas",1498.9649268131525,4
"Elguesse, Abdelatif",1498.5274659975012,1
"Bodena, Tolesa",1498.4527406128532,1
"Ayouni, Abdessalem",1498.384806235662,2
"Rimmer, Michael",1497.4029591936664,5
"Lopez, Jesus",1497.3572243363624,1
"Benedetti, Giordano",1497.2637035312164,3
"Grice, Charles",1497.2583405165442,1
"van Rensburg, Reinhardt",1497.220881636379,2
"El Manaoui, Amine",1497.1715354944845,1
"Symmonds, Nick",1497.1595353707185,1
"Kupers, Thijmen",1497.0154116038834,5
"Kipketer, Alfred",1496.8797482194054,12
"Kitum, Timothy",1496.7992823257982,2
"Langford, Kyle",1496.7407546211596,7
"Tuka, Amel",1496.6235134132953,8
"El Guesse, Abdelati",1496.3389313219955,1
"Ibadin, Edose",1496.2739643977102,1
"Wheating, Andrew",1496.0584279051159,1
"Deng, Joseph",1495.7911399788386,2
"Loxsom, Casimir",1495.7278771555802,1
"Rozani, Jacob",1495.6969970156015,1
"Rowden, Daniel",1495.5568755609568,1
"Repcik, Jozef",1495.5397784905365,1
"Mayanja, Abu",1494.9949134308672,1
"van Rensburg, Rynhardt",1494.9178894738916,1
"Alzaabi, Saud",1494.4229408192218,1
"Paris, Leandro",1494.3351402596506,1
"Kawamoto, Sho",1494.3308713903975,1
"Amankwah, Alex",1494.309145331149,2
"English, Mark",1494.3080509105514,5
"Grethen, Charles",1494.2480060623536,1
"Paes, Lutmar",1494.224651129398,1
"Berglund, Kalle",1494.0792105664402,2
"Tarbei, Willy",1494.0670274732915,1
"Zhang, Dashan",1494.043527926297,1
"Enzema, Benjamin",1493.9996710604594,1
"Smaili, Mostafa",1493.9498656062078,4
"Biel, Yiech",1493.7284044991532,1
"Lekuta, Solomon",1493.7222503256273,1
"Romaniw, Anthony",1493.6908741776647,1
"De Arriba, Alvaro",1493.6751058499979,2
"Vazquez, Wesley",1493.4914229051526,2
"Andujar, Daniel",1493.4862668047315,1
"Masilo, Boitumelo",1493.3975524182295,1
"Riseley, Jeffrey",1493.1666301256964,2
"Crestan, Eliott",1493.042909257204,1
"Beddoes, Alex",1492.9139355396364,1
"Kiprop, Asbel",1492.3733286141592,3
"Jock, Charles",1492.3639422915512,2
"Mbotto, Francky",1492.3542591184107,1
"Kryeziu, Astrit",1492.297865829995,1
"Sanchez, Ryan",1492.2338416801388,1
"Maung, Pyae",1491.9828132572864,1
"Farah, Ahmed",1491.740317857343,1
"Hajdari, Musa",1491.528149253923,1
"Rodriguez, Rafith",1490.6973169444034,1
"Mubarak, Rabi",1490.6840680255953,1
"Matthews, Luke",1490.6537052914373,3
"Kinyor, Job",1490.4759080515385,3
"Learmonth, Guy",1490.4111051944928,5
"Johnson, Jinson",1490.2938667919755,1
"Ma, Junyi",1489.5301272837312,1
"Alzofairi, Ebrahim",1489.4130272202717,3
"Rudolf, Zan",1489.2060995739776,1
"Etes, Brice",1489.0291706812554,2
"Lopez, Kevin",1488.8426384220875,3
"de Arriba, Alvaro",1487.9491254006384,3
"Dahmani, Samir",1487.0800926023212,4
"Reuther, Marc",1486.7479244685687,2
"Moya, Pol",1486.654463335834,2
"Osagie, Andrew",1485.2440439886375,4
"Hassan, Abdirahman",1484.2727362762125,1
"Hairane, Jamal",1483.655483211523,3
"Windle, Drew",1482.233260679435,5
"Giles, Elliot",1481.2433888423886,8
"Gakeme, Antoine",1477.9603033765231,9
"Bol, Peter",1476.9690649683475,4
"Sowinski, Erik",1465.6217313500604,10
