Athlete,Rating,Number Of Races
"Lokoro, Paulo",1450.6530240737507,1
"Dzholomanov, Musulman",1450.5452238045752,1
"Sasinek, Filip",1449.9398284205138,2
"Gregson, Ryan",1449.8384467315705,30
"Mohamed, Abdullahi",1447.4052747545318,1
"Johnson, Jinson",1439.8195320836296,1
"Holusa, Jakub",1426.0306810535608,17
"Ramsden, Matthew",1422.1008216644382,3
"Mechaal, Adel",1416.6085917579242,8
"Taki, Kumari",1391.8063892291675,3
"Debjani, Ismael",1359.1149690275568,8
