Athlete,Rating,Number Of Races
"Amos, Nijel",1679.8501383232199,20
"Brazier, Donovan",1651.677955404805,10
"Korir, Emmanuel",1604.02722374508,15
"Rotich, Ferguson",1598.0108816818065,30
"Tuka, Amel",1565.0999322671146,14
"McBride, Brandon",1564.9859628658473,23
"Kinyamal, Wycliffe",1558.435962420424,10
"Arop, Marco",1551.6279710164608,2
"Hoppel, Bryce",1536.850697651086,2
"Murphy, Clayton",1533.8207122259405,15
"Vazquez, Wesley",1533.1070962703698,8
"Rudisha, David",1532.0170613804714,7
"Sanchez, Ryan",1524.2076062237904,4
"Makhloufi, Taofik",1523.883507677388,4
"Ben, Adrian",1522.0711769599366,2
"Berian, Boris",1517.605574790879,4
"Manangoi, Elijah",1516.2386390927536,3
"Lewandowski, Marcin",1514.1729118010485,20
"Tuwei, Cornelius",1513.9335482999513,4
"English, Mark",1513.506548961704,7
"Bett, Kipyegon",1512.3745623977386,12
"Kipketer, Alfred",1510.0995238192002,13
"Ordonez, Saul",1509.480774151157,2
"Kidder, Brannon",1508.6932895409896,2
"Van Rensburg, Reinhardt",1508.631,1
"Saruni, Michael",1507.308453249088,2
"Nabil, Oussama",1506.726227348663,1
"Rozmys, Michal",1506.6130361643204,3
"de Arriba, Alvaro",1506.293568908244,6
"Bosse, Pierre-Ambroise",1505.1082884948428,18
"Biwott, Robert",1505.0550354192692,4
"Souleiman, Ayanleh",1504.9961578996765,2
"Harris, Isaiah",1503.202005768303,3
"Belferar, Amine",1502.4900513582488,2
"Mikhou, Sadik",1502.0094316879902,1
"Mohamed, Hamada",1501.6566680664605,2
"Zahafi, Mouad",1501.1045239178636,1
"Bube, Andreas",1500.9984257403776,3
"Kleberson, Davide",1500.1042365327314,2
"Kitilit, Jonathan",1499.892941549546,9
"Ralph, Joshua",1499.8586919577765,1
"Kipruto, Collins",1499.6900581073332,1
"Andre, Thiago",1499.4753857942248,4
"Rotich, Andrew",1499.2031150656167,1
"Aman, Mohammed",1498.9714068499686,8
"Elguesse, Abdelatif",1498.5274659975012,1
"Bodena, Tolesa",1498.4527406128532,1
"Rimmer, Michael",1497.4029591936664,5
"Lopez, Jesus",1497.3572243363624,1
"Benedetti, Giordano",1497.2637035312164,3
"Grice, Charles",1497.2583405165442,1
"van Rensburg, Reinhardt",1497.220881636379,2
"El Manaoui, Amine",1497.1715354944845,1
"Symmonds, Nick",1497.1595353707185,1
"Kupers, Thijmen",1497.0154116038834,5
"Kitum, Timothy",1496.7992823257982,2
"Tshite, Tshepo",1496.3420929991512,3
"El Guesse, Abdelati",1496.3389313219955,1
"Wheating, Andrew",1496.0584279051159,1
"Loxsom, Casimir",1495.7278771555802,1
"Rozani, Jacob",1495.6969970156015,1
"Rowden, Daniel",1495.5568755609568,1
"Repcik, Jozef",1495.5397784905365,1
"Mayanja, Abu",1494.9949134308672,1
"van Rensburg, Rynhardt",1494.9178894738916,1
"Alzaabi, Saud",1494.4229408192218,1
"Paris, Leandro",1494.3351402596506,1
"Kawamoto, Sho",1494.3308713903975,1
"Amankwah, Alex",1494.309145331149,2
"Grethen, Charles",1494.2480060623536,1
"Paes, Lutmar",1494.224651129398,1
"Berglund, Kalle",1494.0792105664402,2
"Tarbei, Willy",1494.0670274732915,1
"Zhang, Dashan",1494.043527926297,1
"Biel, Yiech",1493.7284044991532,1
"Lekuta, Solomon",1493.7222503256273,1
"Romaniw, Anthony",1493.6908741776647,1
"De Arriba, Alvaro",1493.6751058499979,2
